"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE997054529918";"Sportplatz";"In Betrieb";"12.4.2023";"14.12.2023";"Solare Strahlungsenergie";"9,84";"9,84";"85098";"Großmehring";"(natürliche Person)";"ABR922095304231";"18.12.2023"
"SEE911257581535";"Erzeugungsanlage_Christian Schuster";"In Betrieb";"6.12.2023";"14.12.2023";"Solare Strahlungsenergie";"10,32";"10";"95032";"Hof";"(natürliche Person)";"ABR991261637473";"14.12.2023"
"SEE972241080847";"Hausdach";"In Betrieb";"6.12.2023";"14.12.2023";"Solare Strahlungsenergie";"6,525";"6";"96049";"Bamberg";"(natürliche Person)";"ABR909256743306";"16.2.2024"
"SEE961028076807";"IBC Monosol 410 Wp PV-Anlage 12,30 kWp";"In Betrieb";"29.11.2023";"14.12.2023";"Solare Strahlungsenergie";"12,3";"12";"91346";"Wiesenttal";"(natürliche Person)";"ABR931339000303";"14.12.2023"
"SEE999715807410";"ABR961901799526";"In Betrieb";"28.11.2023";"14.12.2023";"Solare Strahlungsenergie";"13,12";"10";"82256";"Fürstenfeldbruck";"(natürliche Person)";"ABR961901799526";"14.12.2023"
"SEE986909034929";"Forst18";"In Betrieb";"3.7.2023";"14.12.2023";"Solare Strahlungsenergie";"16";"10,4";"91056";"Erlangen";"(natürliche Person)";"ABR993476672331";"14.12.2023"
"SEE950946933699";"Hallendach Erweiterung";"In Betrieb";"16.9.2023";"14.12.2023";"Solare Strahlungsenergie";"16,415";"11,8";"85309";"Pörnbach";"(natürliche Person)";"ABR909931493434";"2.1.2024"
"SEE951561362819";"PV-Anlage Fam. Braun";"In Betrieb";"9.3.2023";"14.12.2023";"Solare Strahlungsenergie";"7,5";"7,5";"96126";"Maroldsweisach";"(natürliche Person)";"ABR960279522378";"14.12.2023"
"SEE934009947298";"Garagendächer";"In Betrieb";"30.11.2023";"14.12.2023";"Solare Strahlungsenergie";"10,935";"9";"95511";"Mistelbach";"(natürliche Person)";"ABR929628231156";"27.12.2023"
"SEE957186242796";"Hausdach";"In Betrieb";"13.9.2023";"14.12.2023";"Solare Strahlungsenergie";"10,32";"10";"96215";"Lichtenfels";"(natürliche Person)";"ABR921028906061";"9.2.2024"
"SEE901637133904";"PV Wohnhaus";"In Betrieb";"14.12.2023";"14.12.2023";"Solare Strahlungsenergie";"7,75";"7,75";"91731";"Langfurth";"(natürliche Person)";"ABR971530158809";"14.12.2023"
"SEE951906702058";"PV-Dachanlage";"In Betrieb";"9.5.2023";"14.12.2023";"Solare Strahlungsenergie";"22,8";"22,8";"93352";"Rohr";"(natürliche Person)";"ABR902860846296";"14.12.2023"
"SEE943891489083";"Balkonkraftwerk";"In Betrieb";"23.8.2023";"14.12.2023";"Solare Strahlungsenergie";"0,6";"0,6";"91550";"Dinkelsbühl";"(natürliche Person)";"ABR908922947581";"14.12.2023"
"SEE952878459834";"Photovoltaikanlage 9,88 KW";"In Betrieb";"14.12.2023";"14.12.2023";"Solare Strahlungsenergie";"9,88";"3";"91207";"Lauf";"(natürliche Person)";"ABR985906734375";"14.12.2023"
"SEE933654774891";"PV-Carhaus";"In Betrieb";"14.11.2023";"14.12.2023";"Solare Strahlungsenergie";"10,125";"10";"91161";"Hilpoltstein";"(natürliche Person)";"ABR978378214537";"14.12.2023"
"SEE982907177132";"Hausdach";"In Betrieb";"2.2.2023";"14.12.2023";"Solare Strahlungsenergie";"9,75";"9,75";"94121";"Salzweg";"(natürliche Person)";"ABR936534496067";"14.12.2023"
"SEE930506803785";"C000882593_WW_Hausdach";"In Betrieb";"16.11.2023";"14.12.2023";"Solare Strahlungsenergie";"12,3";"10";"86564";"Brunnen";"(natürliche Person)";"ABR951286771958";"14.12.2023"
"SEE993095698002";"C000868787_TS_Hausdach";"In Betrieb";"8.12.2023";"14.12.2023";"Solare Strahlungsenergie";"5,74";"5";"86486";"Bonstetten";"(natürliche Person)";"ABR909722368811";"14.12.2023"
"SEE917796353343";"Dach/Kraftwerk";"In Betrieb";"1.1.2023";"14.12.2023";"Solare Strahlungsenergie";"12";"12";"92318";"Neumarkt";"(natürliche Person)";"ABR934531526206";"14.12.2023"
"SEE968442587728";"Anlage1";"In Betrieb";"13.12.2023";"14.12.2023";"Solare Strahlungsenergie";"15,12";"13,5";"86637";"Wertingen";"(natürliche Person)";"ABR912548563087";"19.12.2023"
"SEE929710398439";"Balkonkraftwerk";"In Betrieb";"31.1.2023";"14.12.2023";"Solare Strahlungsenergie";"0,6";"0,6";"85653";"Aying";"(natürliche Person)";"ABR998782694596";"14.12.2023"
"SEE989360904688";"PV-Anlage";"In Betrieb";"13.12.2023";"14.12.2023";"Solare Strahlungsenergie";"8,91";"8";"96332";"Pressig";"(natürliche Person)";"ABR962083256357";"14.12.2023"
"SEE924615750863";"Hausdach";"In Betrieb";"23.10.2023";"14.12.2023";"Solare Strahlungsenergie";"14,45";"10";"86911";"Dießen";"(natürliche Person)";"ABR987238223695";"14.12.2023"
"SEE992218211586";"Betonwerk";"In Betrieb";"1.6.2023";"14.12.2023";"Solare Strahlungsenergie";"36,08";"32,5";"85098";"Großmehring";"Bacher Beton Bau GmbH";"ABR930400561422";"14.12.2023"
