"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE918550017990";"Garagendach";"In Betrieb";"7.12.2020";"5.3.2021";"Solare Strahlungsenergie";"5,3";"5";"93336";"Altmannstein";"(natürliche Person)";"ABR984949324666";"15.4.2021"
"SEE958819423100";"Hausdachanlage";"In Betrieb";"18.2.2021";"5.3.2021";"Solare Strahlungsenergie";"7,26";"7,26";"82008";"Unterhaching";"(natürliche Person)";"ABR924224108017";"21.3.2021"
"SEE906512416653";"Hausdach";"In Betrieb";"15.12.2016";"5.3.2021";"Solare Strahlungsenergie";"3,54";"3,5";"87600";"Kaufbeuren";"(natürliche Person)";"ABR941730338110";"5.3.2021"
"SEE900982522647";"PV-Wohnhaus";"In Betrieb";"26.2.2021";"5.3.2021";"Solare Strahlungsenergie";"9,9";"9,9";"91757";"Treuchtlingen";"(natürliche Person)";"ABR966698018300";"24.4.2021"
"SEE951208898398";"Am Lerchenberg, 7,59 kWp";"In Betrieb";"2.2.2021";"5.3.2021";"Solare Strahlungsenergie";"7,59";"7,59";"97509";"Kolitzheim";"(natürliche Person)";"ABR913285474209";"16.8.2021"
"SEE976281800687";"PV-Anlage";"In Betrieb";"4.3.2021";"5.3.2021";"Solare Strahlungsenergie";"4,12";"4";"82441";"Ohlstadt";"(natürliche Person)";"ABR963565147460";"5.3.2021"
"SEE970734099987";"PV-Halle";"In Betrieb";"26.2.2021";"5.3.2021";"Solare Strahlungsenergie";"29,7";"29,7";"91710";"Gunzenhausen";"Autohaus Wagner GmbH";"ABR964736110665";"19.10.2021"
"SEE900614863780";"Hausdach";"In Betrieb";"5.3.2021";"5.3.2021";"Solare Strahlungsenergie";"7,92";"7,92";"83026";"Rosenheim";"(natürliche Person)";"ABR980853777550";"13.6.2023"
"SEE950524735073";"Haus64 mit 9,045kWp";"In Betrieb";"4.3.2021";"5.3.2021";"Solare Strahlungsenergie";"9,045";"9,045";"85104";"Pförring";"(natürliche Person)";"ABR964105205305";"5.3.2021"
"SEE991537787505";"Hammer2";"In Betrieb";"22.9.2020";"5.3.2021";"Solare Strahlungsenergie";"7,48";"5";"91785";"Pleinfeld";"(natürliche Person)";"ABR971405942182";"17.9.2021"
