"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE970176912929";"Balkonkraftwerk Garagendach";"In Betrieb";"24.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,83";"0,6";"96465";"Neustadt";"(natürliche Person)";"ABR960378317431";"31.8.2023"
"SEE979577553724";"MaineEnergie";"In Betrieb";"13.6.2023";"26.8.2023";"Solare Strahlungsenergie";"9,72";"9,2";"97340";"Marktbreit";"(natürliche Person)";"ABR933454963716";"7.3.2024"
"SEE947127935054";"Rimpar5kWp";"In Betrieb";"25.8.2023";"26.8.2023";"Solare Strahlungsenergie";"4,92";"4";"97222";"Rimpar";"(natürliche Person)";"ABR972545805924";"26.8.2023"
"SEE978176720315";"Maxi2";"In Betrieb";"24.8.2023";"26.8.2023";"Solare Strahlungsenergie";"8,91";"8";"93170";"Bernhardswald";"(natürliche Person)";"ABR904197958192";"5.11.2023"
"SEE944482999615";"Solar auf dem Dach";"In Betrieb";"25.8.2023";"26.8.2023";"Solare Strahlungsenergie";"3,2";"3";"84424";"Isen";"(natürliche Person)";"ABR959342281878";"26.8.2023"
"SEE984587283936";"Eusse PV";"In Betrieb";"22.8.2023";"26.8.2023";"Solare Strahlungsenergie";"20";"20";"97776";"Eußenheim";"(natürliche Person)";"ABR902579932624";"22.2.2024"
"SEE947559263473";"Hausdach";"In Betrieb";"26.4.2023";"26.8.2023";"Solare Strahlungsenergie";"6,375";"6";"82229";"Seefeld";"(natürliche Person)";"ABR917580252074";"4.11.2023"
"SEE968236743354";"Balkonkraftwerk";"In Betrieb";"25.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,84";"0,6";"90513";"Zirndorf";"(natürliche Person)";"ABR992549981776";"13.10.2023"
"SEE927288605324";"Carport Kraftwerk";"In Betrieb";"13.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,96";"0,6";"87616";"Marktoberdorf";"(natürliche Person)";"ABR910586987483";"27.9.2023"
"SEE948980488633";"PV Dach";"In Betrieb";"1.8.2023";"26.8.2023";"Solare Strahlungsenergie";"15,77";"15";"86947";"Weil";"(natürliche Person)";"ABR972379485422";"23.2.2024"
"SEE931439425907";"Garagendach";"In Betrieb";"10.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,6";"0,6";"95365";"Rugendorf";"(natürliche Person)";"ABR903310202655";"5.11.2023"
"SEE907505365408";"PV Hausdach";"In Betrieb";"25.8.2023";"26.8.2023";"Solare Strahlungsenergie";"11,4";"10";"85540";"Haar";"(natürliche Person)";"ABR915871117941";"14.12.2023"
"SEE946527538704";"pSol F&S. Öhrlein";"In Betrieb";"17.8.2023";"26.8.2023";"Solare Strahlungsenergie";"13,69";"10";"97276";"Margetshöchheim";"(natürliche Person)";"ABR915036530554";"26.8.2023"
"SEE979890682958";"BKWDach";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,89";"0,6";"97332";"Volkach";"(natürliche Person)";"ABR943653336877";"26.8.2023"
"SEE965804136464";"16292 gSol Mönchshof";"In Betrieb";"8.8.2023";"26.8.2023";"Solare Strahlungsenergie";"25,73";"20";"97286";"Sommerhausen";"(natürliche Person)";"ABR947867386123";"26.8.2023"
"SEE944605286295";"Alexander12345?";"In Betrieb";"12.8.2023";"26.8.2023";"Solare Strahlungsenergie";"8,5";"8";"89284";"Pfaffenhofen";"(natürliche Person)";"ABR983733421239";"26.8.2023"
"SEE926204661703";"DachSchmeller8";"In Betrieb";"7.6.2023";"26.8.2023";"Solare Strahlungsenergie";"3,2";"3";"92665";"Altenstadt";"(natürliche Person)";"ABR982770810013";"26.8.2023"
"SEE942970965296";"Stecker-Solar";"In Betrieb";"25.7.2023";"26.8.2023";"Solare Strahlungsenergie";"0,74";"0,6";"81825";"München";"(natürliche Person)";"ABR948933743871";"26.8.2023"
"SEE926889128768";"PV Solar";"In Betrieb";"25.8.2023";"26.8.2023";"Solare Strahlungsenergie";"9,75";"8";"86899";"Landsberg";"(natürliche Person)";"ABR939722154923";"26.8.2023"
"SEE923573923555";"Hausdach";"In Betrieb";"4.8.2023";"26.8.2023";"Solare Strahlungsenergie";"30";"25";"83098";"Brannenburg";"(natürliche Person)";"ABR916172405386";"26.8.2023"
"SEE953678774431";"PV-Anlage";"In Betrieb";"1.10.2023";"26.8.2023";"Solare Strahlungsenergie";"10,79";"10";"86653";"Daiting";"(natürliche Person)";"ABR986126075026";"22.2.2024"
"SEE939763940226";"Balkonkraftwerk";"In Betrieb";"11.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,6";"0,6";"85221";"Dachau";"(natürliche Person)";"ABR901347522029";"30.10.2023"
"SEE995629973852";"Balkonkraftwerk SP7";"In Betrieb";"12.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,82";"0,6";"82418";"Murnau";"(natürliche Person)";"ABR933798701319";"24.11.2023"
"SEE942288512830";"Garage_PV_Neuendettelsau";"In Betrieb";"22.8.2023";"26.8.2023";"Solare Strahlungsenergie";"10,56";"10";"91564";"Neuendettelsau";"(natürliche Person)";"ABR966069457660";"20.12.2023"
"SEE981172313122";"Hausdach Nr. 2";"In Betrieb";"16.7.2023";"26.8.2023";"Solare Strahlungsenergie";"10,95";"10";"83119";"Obing";"(natürliche Person)";"ABR965125216999";"18.1.2024"
"SEE959331957272";"PV Garage";"In Betrieb";"1.9.2023";"26.8.2023";"Solare Strahlungsenergie";"11,205";"10";"91315";"Höchstadt";"(natürliche Person)";"ABR948592222762";"23.11.2023"
"SEE930754703585";"Mikro PV Hdf";"In Betrieb";"1.4.2023";"26.8.2023";"Solare Strahlungsenergie";"0,81";"0,6";"97520";"Röthlein";"(natürliche Person)";"ABR948315229146";"28.8.2023"
"SEE922135308762";"Balkonkraftwerk";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,86";"0,6";"96472";"Rödental";"(natürliche Person)";"ABR943270847503";"26.9.2023"
"SEE969355966785";"BKW";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,8";"0,8";"87767";"Niederrieden";"(natürliche Person)";"ABR971440011195";"26.8.2023"
"SEE943952884109";"PV-Haus";"In Betrieb";"31.8.2023";"26.8.2023";"Solare Strahlungsenergie";"10,2";"10";"95676";"Wiesau";"(natürliche Person)";"ABR914970243391";"8.12.2023"
"SEE986848999297";"Balkonkraftwerk 16";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,85";"0,6";"94405";"Landau";"(natürliche Person)";"ABR980414905200";"2.11.2023"
"SEE901210167456";"R+M+A";"In Betrieb";"9.8.2023";"26.8.2023";"Solare Strahlungsenergie";"8,17";"8,17";"86477";"Adelsried";"(natürliche Person)";"ABR904535373052";"10.12.2023"
"SEE974634368907";"PV-Anlage";"In Betrieb";"12.4.2023";"26.8.2023";"Solare Strahlungsenergie";"8";"8";"90455";"Nürnberg";"(natürliche Person)";"ABR998808837235";"16.1.2024"
"SEE906354361951";"Hausdach";"In Betrieb";"2.6.2023";"26.8.2023";"Solare Strahlungsenergie";"13,77";"10";"92253";"Schnaittenbach";"(natürliche Person)";"ABR958549950006";"20.10.2023"
"SEE949001637849";"WW33_GartenPV";"In Betrieb";"10.7.2023";"26.8.2023";"Solare Strahlungsenergie";"0,8";"0,6";"90475";"Nürnberg";"(natürliche Person)";"ABR908478692423";"26.8.2023"
"SEE951660634497";"PV Anlage";"In Betrieb";"1.7.2023";"26.8.2023";"Solare Strahlungsenergie";"21,75";"19";"92536";"Pfreimd";"(natürliche Person)";"ABR995920644666";"20.12.2023"
"SEE972472856839";"Hausdach";"In Betrieb";"31.7.2023";"26.8.2023";"Solare Strahlungsenergie";"5,53";"5,5";"63868";"Großwallstadt";"(natürliche Person)";"ABR987205956960";"14.2.2024"
"SEE911137807786";"PV-Kipfenberg-Keltenweg 14";"In Betrieb";"20.4.2023";"26.8.2023";"Solare Strahlungsenergie";"5,88";"4";"85110";"Kipfenberg";"(natürliche Person)";"ABR935598898398";"9.1.2024"
"SEE915851585708";"Effenberger PV Geretsried";"In Betrieb";"16.10.2023";"26.8.2023";"Solare Strahlungsenergie";"4,5";"4,5";"82538";"Geretsried";"(natürliche Person)";"ABR918585651909";"1.1.2024"
"SEE977148210670";"Balkonkraftwerk";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,6";"0,6";"87435";"Kempten";"(natürliche Person)";"ABR941367006444";"26.8.2023"
"SEE934734001227";"Werkstatt + Stalldach";"In Betrieb";"26.6.2023";"26.8.2023";"Solare Strahlungsenergie";"283,5";"220";"84556";"Kastl";"(natürliche Person)";"ABR994635326256";"14.2.2024"
"SEE973699757183";"Wölfel PV Lenggries";"In Betrieb";"23.5.2023";"26.8.2023";"Solare Strahlungsenergie";"10,395";"10";"83661";"Lenggries";"(natürliche Person)";"ABR989142688959";"29.8.2023"
"SEE992591072354";"Schmuck PV Greiling";"In Betrieb";"29.4.2023";"26.8.2023";"Solare Strahlungsenergie";"8,47";"8";"83677";"Greiling";"(natürliche Person)";"ABR923271729176";"26.8.2023"
"SEE963175894914";"TDNLD";"In Betrieb";"21.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,83";"0,6";"96479";"Weitramsdorf";"(natürliche Person)";"ABR952707166667";"8.12.2023"
"SEE986128311481";"Garage";"In Betrieb";"24.8.2023";"26.8.2023";"Solare Strahlungsenergie";"8";"8";"93494";"Waffenbrunn";"(natürliche Person)";"ABR990864923785";"25.9.2023"
"SEE994276265778";"Kronseder PV Greiling";"In Betrieb";"22.9.2022";"26.8.2023";"Solare Strahlungsenergie";"7,98";"7,98";"83677";"Greiling";"(natürliche Person)";"ABR916480840947";"26.8.2023"
"SEE991489976552";"Hausdach";"In Betrieb";"23.8.2023";"26.8.2023";"Solare Strahlungsenergie";"13,2";"13,2";"94249";"Bodenmais";"(natürliche Person)";"ABR985397421297";"18.2.2024"
"SEE942577771481";"Kotterisch PV Lenggries";"In Betrieb";"20.6.2023";"26.8.2023";"Solare Strahlungsenergie";"4,56";"4,56";"83661";"Lenggries";"(natürliche Person)";"ABR905335871403";"1.12.2023"
"SEE985659938136";"PV-Anlage Haus";"In Betrieb";"5.10.2023";"26.8.2023";"Solare Strahlungsenergie";"8,1";"8,1";"96472";"Rödental";"(natürliche Person)";"ABR907648198819";"14.12.2023"
"SEE947910626459";"Habermann PV Waakirchen";"In Betrieb";"2.5.2023";"26.8.2023";"Solare Strahlungsenergie";"23,1";"20";"83666";"Waakirchen";"(natürliche Person)";"ABR927274392429";"23.2.2024"
"SEE993492825902";"Hausdach";"In Betrieb";"3.8.2023";"26.8.2023";"Solare Strahlungsenergie";"5,6";"5,6";"94368";"Perkam";"(natürliche Person)";"ABR986023379487";"15.2.2024"
"SEE908870371780";"BKW R+F";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,75";"0,6";"83626";"Valley";"(natürliche Person)";"ABR977859731419";"26.8.2023"
"SEE986087473527";"Balkon";"In Betrieb";"10.7.2023";"26.8.2023";"Solare Strahlungsenergie";"1,68";"1,2";"86343";"Königsbrunn";"(natürliche Person)";"ABR920408403282";"26.8.2023"
"SEE973057536429";"Balkon-Solarmodule";"In Betrieb";"12.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,6";"0,6";"83026";"Rosenheim";"(natürliche Person)";"ABR977244354452";"26.8.2023"
"SEE976528533453";"Balkonkraftwerk";"In Betrieb";"18.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,8";"0,6";"86697";"Oberhausen";"(natürliche Person)";"ABR925850001451";"13.11.2023"
"SEE926153010553";"C000574829_WH_Hausdach";"In Betrieb";"10.8.2023";"26.8.2023";"Solare Strahlungsenergie";"16,4";"11";"90587";"Obermichelbach";"(natürliche Person)";"ABR947458989528";"26.8.2023"
"SEE937359116192";"C000564334_HT_Hausdach";"In Betrieb";"25.8.2023";"26.8.2023";"Solare Strahlungsenergie";"13,94";"10";"84066";"Mallersdorf-Pfaffenberg";"(natürliche Person)";"ABR942127299311";"28.2.2024"
"SEE967302476974";"Bachmann Jochen PV";"In Betrieb";"16.6.2023";"26.8.2023";"Solare Strahlungsenergie";"9,88";"9,88";"63872";"Heimbuchenthal";"(natürliche Person)";"ABR989523581152";"6.11.2023"
"SEE916042173193";"Balkon";"In Betrieb";"26.8.2023";"26.8.2023";"Solare Strahlungsenergie";"0,6";"0,6";"90482";"Nürnberg";"(natürliche Person)";"ABR953225493112";"24.2.2024"
"SEE984318892895";"PV-OettlH";"In Betrieb";"7.6.2023";"26.8.2023";"Solare Strahlungsenergie";"5,81";"4,6";"82319";"Starnberg";"(natürliche Person)";"ABR991226598856";"26.8.2023"
"SEE974762762967";"Erlenstrasse 3 PV-Anlage";"In Betrieb";"5.7.2022";"26.8.2023";"Solare Strahlungsenergie";"9,75";"8";"92670";"Windischeschenbach";"(natürliche Person)";"ABR977555723442";"7.11.2023"
