"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE960001251835";"PV-Anlage Wohnhaus und Anbau 2022";"In Betrieb";"28.9.2022";"2.11.2022";"Solare Strahlungsenergie";"9,75";"9,2";"91487";"Vestenbergsgreuth";"(natürliche Person)";"ABR965907897187";"14.6.2023"
"SEE987542365975";"Am Weilerhof 7";"In Betrieb";"15.6.2022";"2.11.2022";"Solare Strahlungsenergie";"9,6";"9,6";"63762";"Großostheim";"(natürliche Person)";"ABR916161579227";"16.12.2022"
"SEE949986975158";"Dachkraftwerk";"In Betrieb";"13.10.2021";"2.11.2022";"Solare Strahlungsenergie";"11,25";"11,25";"84567";"Erlbach";"(natürliche Person)";"ABR994787666521";"4.9.2023"
"SEE933928087085";"Hausdach";"In Betrieb";"2.11.2022";"2.11.2022";"Solare Strahlungsenergie";"10,64";"10,64";"95111";"Rehau";"(natürliche Person)";"ABR986471314009";"2.11.2022"
"SEE922968705691";"Hausdach";"In Betrieb";"28.10.2022";"2.11.2022";"Solare Strahlungsenergie";"4,4";"4";"90537";"Feucht";"(natürliche Person)";"ABR971034636056";"2.11.2022"
"SEE958874907638";"Bartsch PV-Anlage";"In Betrieb";"26.10.2022";"2.11.2022";"Solare Strahlungsenergie";"12,555";"9,2";"82041";"Furth";"(natürliche Person)";"ABR906814786478";"13.6.2023"
"SEE938890400122";"SCHUSS  Alfons PV";"In Betrieb";"25.10.2022";"2.11.2022";"Solare Strahlungsenergie";"9,875";"9,875";"93191";"Rettenbach";"(natürliche Person)";"ABR957036143327";"17.7.2023"
"SEE945525567006";"PV-Anlage";"In Betrieb";"17.9.2022";"2.11.2022";"Solare Strahlungsenergie";"9,75";"9,75";"86685";"Huisheim";"(natürliche Person)";"ABR942138016808";"26.4.2023"
"SEE949457692867";"PVA Zirgesheimer Str. 33 (Garage)";"In Betrieb";"26.10.2022";"2.11.2022";"Solare Strahlungsenergie";"12,8";"8";"86609";"Donauwörth";"VL Energy GmbH & Co. KG";"ABR909551221462";"17.2.2023"
"SEE999628227435";"PV Anlage";"In Betrieb";"12.9.2022";"2.11.2022";"Solare Strahlungsenergie";"9,38";"9,38";"91448";"Emskirchen";"(natürliche Person)";"ABR982338112368";"21.11.2022"
