"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE975739802099";"733 Riemenschneiderstraße 8";"In Betrieb";"18.5.2016";"13.9.2020";"Solare Strahlungsenergie";"17,64";"12,5";"90766";"Fürth";"Solarpark der Fürther Wohnungsbaugenossenschaften GmbH";"ABR931340104397";"15.9.2020"
"SEE943867588192";"PV-Anlage 2020";"In Betrieb";"10.8.2020";"13.9.2020";"Solare Strahlungsenergie";"8,16";"8,16";"97514";"Oberaurach";"(natürliche Person)";"ABR957627250106";"17.8.2021"
"SEE917360987066";"734 Finkenschlag 21";"In Betrieb";"23.9.2016";"13.9.2020";"Solare Strahlungsenergie";"18";"12,5";"90766";"Fürth";"Solarpark der Fürther Wohnungsbaugenossenschaften GmbH";"ABR931340104397";"15.9.2020"
"SEE932279069962";"734 Finkenschlag 23";"In Betrieb";"23.9.2016";"13.9.2020";"Solare Strahlungsenergie";"18";"12,5";"90766";"Fürth";"Solarpark der Fürther Wohnungsbaugenossenschaften GmbH";"ABR931340104397";"15.9.2020"
"SEE978354051125";"PV Süddach";"In Betrieb";"14.7.2020";"13.9.2020";"Solare Strahlungsenergie";"9,92";"8,76";"97440";"Werneck";"(natürliche Person)";"ABR992226557539";"3.11.2020"
"SEE997006165300";"Ferkelstall";"In Betrieb";"31.3.2018";"13.9.2020";"Solare Strahlungsenergie";"62,7";"60";"92369";"Sengenthal";"(natürliche Person)";"ABR962166773375";"13.9.2020"
"SEE965901681164";"737 Georgenstraße 24";"In Betrieb";"31.1.2018";"13.9.2020";"Solare Strahlungsenergie";"12";"12";"90765";"Fürth";"Solarpark der Fürther Wohnungsbaugenossenschaften GmbH";"ABR931340104397";"22.1.2021"
"SEE964081020190";"737 Wiesenstraße 31-33";"In Betrieb";"31.1.2018";"13.9.2020";"Solare Strahlungsenergie";"6";"4,8";"90765";"Fürth";"Solarpark der Fürther Wohnungsbaugenossenschaften GmbH";"ABR931340104397";"21.1.2021"
"SEE997117657800";"Dach1";"In Betrieb";"30.11.2017";"13.9.2020";"Solare Strahlungsenergie";"4,8";"4,6";"90602";"Pyrbaum";"(natürliche Person)";"ABR929529447175";"13.9.2020"
"SEE972388650798";"738 Paul-Keller-Straße 19";"In Betrieb";"14.2.2018";"13.9.2020";"Solare Strahlungsenergie";"45";"40";"90768";"Fürth";"Solarpark der Fürther Wohnungsbaugenossenschaften GmbH";"ABR931340104397";"21.1.2021"
"SEE981844442501";"Nummer6Ost";"In Betrieb";"24.10.2017";"13.9.2020";"Solare Strahlungsenergie";"12";"12";"82541";"Münsing";"(natürliche Person)";"ABR914743622118";"24.9.2020"
"SEE900433147153";"Solardach";"In Betrieb";"26.10.2017";"13.9.2020";"Solare Strahlungsenergie";"7,56";"7";"87650";"Baisweil";"(natürliche Person)";"ABR924811096246";"24.9.2020"
"SEE976974039585";"privat";"In Betrieb";"2.1.2018";"13.9.2020";"Solare Strahlungsenergie";"6,21";"6";"94348";"Atting";"(natürliche Person)";"ABR933291323933";"13.9.2020"
"SEE956781812205";"Halle";"In Betrieb";"10.9.2015";"13.9.2020";"Solare Strahlungsenergie";"15,405";"10,25";"92256";"Hahnbach";"(natürliche Person)";"ABR947567930701";"25.12.2020"
"SEE930707400189";"PV Am Schleiferberg 1a";"In Betrieb";"19.10.2015";"13.9.2020";"Solare Strahlungsenergie";"9,5";"7";"85256";"Vierkirchen";"(natürliche Person)";"ABR928934922451";"6.2.2022"
"SEE964432714150";"PV-Anlage Hausdach";"In Betrieb";"28.8.2020";"13.9.2020";"Solare Strahlungsenergie";"9,52";"9,52";"95643";"Tirschenreuth";"(natürliche Person)";"ABR933191265333";"30.9.2020"
"SEE992097114756";"Haus";"In Betrieb";"7.9.2018";"13.9.2020";"Solare Strahlungsenergie";"6,2";"6";"86940";"Schwifting";"(natürliche Person)";"ABR958106987063";"1.1.2021"
"SEE911763324008";"Sabine V.";"In Betrieb";"10.9.2020";"13.9.2020";"Solare Strahlungsenergie";"9,9";"9,9";"91177";"Thalmässing";"(natürliche Person)";"ABR979197360177";"11.4.2021"
"SEE921299751247";"Hausdach";"In Betrieb";"7.11.2016";"13.9.2020";"Solare Strahlungsenergie";"8,37";"8,37";"88171";"Weiler-Simmerberg";"(natürliche Person)";"ABR949388888445";"13.9.2020"
"SEE966666768954";"PV JL privat NÖ";"In Betrieb";"31.7.2018";"13.9.2020";"Solare Strahlungsenergie";"9,6";"9,6";"86720";"Nördlingen";"(natürliche Person)";"ABR917734291379";"26.11.2020"
"SEE926925607936";"Hüttendach";"In Betrieb";"25.7.2017";"13.9.2020";"Solare Strahlungsenergie";"9,7";"9,7";"89349";"Burtenbach";"(natürliche Person)";"ABR927849009646";"13.9.2020"
"SEE931006100404";"Lena-Christ-Weg 2";"In Betrieb";"3.8.2020";"13.9.2020";"Solare Strahlungsenergie";"14,3";"12";"82065";"Baierbrunn";"(natürliche Person)";"ABR927984960321";"7.11.2020"
"SEE940081121532";"Photovoltaikanlage Eichenstr. 70";"In Betrieb";"29.4.2020";"13.9.2020";"Solare Strahlungsenergie";"7,36";"7";"89269";"Vöhringen";"(natürliche Person)";"ABR985833109987";"11.10.2020"
"SEE952634139550";"Hausdach";"In Betrieb";"17.7.2020";"13.9.2020";"Solare Strahlungsenergie";"7,8";"7,8";"87730";"Bad Grönenbach";"(natürliche Person)";"ABR977979851158";"7.12.2020"
"SEE910417023243";"jeemand";"In Betrieb";"28.4.2015";"13.9.2020";"Solare Strahlungsenergie";"5,2";"4,6";"86368";"Gersthofen";"(natürliche Person)";"ABR993064930447";"13.9.2020"
"SEE952046059927";"PV Hausdach";"In Betrieb";"10.9.2020";"13.9.2020";"Solare Strahlungsenergie";"9,52";"9,52";"86551";"Aichach";"(natürliche Person)";"ABR987052799314";"13.9.2020"
"SEE932780554629";"Garten";"In Betrieb";"27.7.2019";"13.9.2020";"Solare Strahlungsenergie";"0,6";"0,6";"86179";"Augsburg";"(natürliche Person)";"ABR947716325198";"13.9.2020"
"SEE947518155269";"Anlage Dach";"In Betrieb";"21.7.2017";"13.9.2020";"Solare Strahlungsenergie";"6,76";"6";"84186";"Vilsheim";"(natürliche Person)";"ABR933074889847";"16.10.2020"
"SEE908080613717";"B275877";"In Betrieb";"20.11.2017";"13.9.2020";"Solare Strahlungsenergie";"4,58";"4,58";"94469";"Deggendorf";"(natürliche Person)";"ABR970108906040";"13.9.2020"
"SEE916781611772";"LUS4";"In Betrieb";"16.7.2020";"13.9.2020";"Solare Strahlungsenergie";"7,44";"7,44";"87730";"Bad Grönenbach";"(natürliche Person)";"ABR993224556425";"28.4.2021"
"SEE939831618286";"Sonnenflat-Hausdach-Weidenanger";"In Betrieb";"11.9.2020";"13.9.2020";"Solare Strahlungsenergie";"9,45";"7";"86517";"Wehringen";"(natürliche Person)";"ABR927187641249";"15.4.2021"
"SEE915457469839";"ABR962757194008";"In Betrieb";"19.8.2020";"13.9.2020";"Solare Strahlungsenergie";"9,72";"9,72";"96250";"Ebensfeld";"(natürliche Person)";"ABR962757194008";"1.6.2021"
"SEE984860920374";"Hausdach";"In Betrieb";"5.5.2020";"13.9.2020";"Solare Strahlungsenergie";"6,5";"6,5";"85521";"Riemerling";"(natürliche Person)";"ABR996286825515";"13.9.2020"
"SEE966114427662";"Hausdach";"In Betrieb";"16.8.2017";"13.9.2020";"Solare Strahlungsenergie";"9,99";"8";"83224";"Grassau";"(natürliche Person)";"ABR929160735105";"4.10.2020"
