"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE931698656173";"PV-Anlage";"In Betrieb";"2.3.2023";"2.3.2023";"Solare Strahlungsenergie";"7,6";"7,6";"95463";"Bindlach";"(natürliche Person)";"ABR964462711129";"3.3.2023"
"SEE995867559153";"Garage";"In Betrieb";"3.3.2023";"2.3.2023";"Solare Strahlungsenergie";"0,46";"0,3";"85290";"Geisenfeld";"(natürliche Person)";"ABR954837260789";"24.7.2023"
"SEE959397157555";"priFlat Duo";"In Betrieb";"26.2.2023";"2.3.2023";"Solare Strahlungsenergie";"0,75";"0,6";"91282";"Betzenstein";"(natürliche Person)";"ABR946532336296";"2.3.2023"
"SEE908743572146";"Module Aufdach 1";"In Betrieb";"27.2.2023";"1.3.2023";"Solare Strahlungsenergie";"9,52";"9,52";"84576";"Teising";"(natürliche Person)";"ABR946497784521";"1.3.2023"
"SEE924904232322";"Zuhause";"In Betrieb";"5.7.2022";"1.3.2023";"Solare Strahlungsenergie";"5,1";"5";"63911";"Klingenberg";"(natürliche Person)";"ABR914171826751";"1.3.2023"
"SEE998770703811";"FeldmannSolar";"In Betrieb";"24.2.2023";"1.3.2023";"Solare Strahlungsenergie";"7,99";"7,99";"85247";"Schwabhausen";"(natürliche Person)";"ABR923176456344";"1.8.2023"
"SEE908162472584";"Stall";"In Betrieb";"27.2.2023";"1.3.2023";"Solare Strahlungsenergie";"9,3";"9,3";"83364";"Neukirchen a.Teisenberg";"(natürliche Person)";"ABR962845944966";"17.3.2023"
"SEE919238965206";"Balkonsolar";"In Betrieb";"11.2.2023";"1.3.2023";"Solare Strahlungsenergie";"0,6";"0,6";"63743";"Aschaffenburg";"(natürliche Person)";"ABR946392201550";"1.3.2023"
"SEE912846366182";"PV - Wohnhaus";"In Betrieb";"26.9.2022";"1.3.2023";"Solare Strahlungsenergie";"6,29";"5,5";"85778";"Haimhausen";"(natürliche Person)";"ABR986025842545";"7.12.2023"
"SEE934754909794";"PV - Wohnhaus";"In Betrieb";"26.9.2022";"1.3.2023";"Solare Strahlungsenergie";"5,12";"3";"85778";"Haimhausen";"(natürliche Person)";"ABR968706638364";"7.12.2023"
"SEE942147889523";"Gartenhaus";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"0,83";"0,6";"91083";"Baiersdorf";"(natürliche Person)";"ABR921768437481";"1.3.2023"
"SEE900228216774";"Weiß Walter";"In Betrieb";"1.9.2022";"1.3.2023";"Solare Strahlungsenergie";"6,75";"4,6";"86650";"Wemding";"(natürliche Person)";"ABR909341140553";"1.3.2023"
"SEE940918273656";"Balkonkraftwerk";"In Betrieb";"30.12.2022";"1.3.2023";"Solare Strahlungsenergie";"1,64";"0,6";"63814";"Mainaschaff";"(natürliche Person)";"ABR986172901584";"2.3.2023"
"SEE916900973569";"BSB I";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"8999,04";"7740";"91790";"Burgsalach";"Burgsalach Netz GbR";"ABR954391000142";"20.2.2024"
"SEE965532355106";"Aufdachanlage";"In Betrieb";"28.2.2023";"1.3.2023";"Solare Strahlungsenergie";"10,65";"10,65";"83543";"Rott";"Ziegler / Wolff Photovoltaikanlage GbR";"ABR947514528517";"1.3.2023"
"SEE987147220020";"PV Anlage Haus und Garage";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"14,99";"10";"84174";"Eching";"(natürliche Person)";"ABR924656773357";"8.8.2023"
"SEE984120982241";"Keesburgstr-10-Balkon-PV-OG";"In Betrieb";"1.1.2023";"1.3.2023";"Solare Strahlungsenergie";"0,8";"0,6";"97074";"Würzburg";"(natürliche Person)";"ABR993231217937";"1.3.2023"
"SEE955345872815";"Dach";"In Betrieb";"22.2.2023";"1.3.2023";"Solare Strahlungsenergie";"134,82";"100";"93413";"Cham";"Herrnberger Fahrzeug und Lacktechnik Inhaber: Erich Herrnberger";"ABR947029139642";"5.4.2023"
"SEE980033523113";"PV-Anlage";"In Betrieb";"23.11.2022";"1.3.2023";"Solare Strahlungsenergie";"7,79";"7,79";"86836";"Graben";"(natürliche Person)";"ABR973749442199";"5.9.2023"
"SEE910898120059";"Solar14";"In Betrieb";"7.2.2023";"1.3.2023";"Solare Strahlungsenergie";"9,84";"9,84";"93342";"Saal";"(natürliche Person)";"ABR929913995923";"5.9.2023"
"SEE912417203908";"PV Anlage Dach";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"8";"8";"83544";"Albaching";"(natürliche Person)";"ABR977844433021";"1.3.2023"
"SEE952623788431";"micro_PV";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"0,8";"0,6";"97450";"Arnstein";"(natürliche Person)";"ABR926647631417";"16.5.2023"
"SEE937399160230";"Volleinspeisung Hauptstraße 115";"In Betrieb";"1.2.2023";"1.3.2023";"Solare Strahlungsenergie";"10,5";"10";"63928";"Eichenbühl";"(natürliche Person)";"ABR911342020840";"17.5.2023"
"SEE962394079409";"PriFlat Duo";"In Betrieb";"16.2.2023";"1.3.2023";"Solare Strahlungsenergie";"0,78";"0,6";"97239";"Aub";"(natürliche Person)";"ABR929866583536";"18.6.2023"
"SEE952596300630";"Hausdach_5,67kwp";"In Betrieb";"20.2.2023";"1.3.2023";"Solare Strahlungsenergie";"5,67";"5";"83080";"Oberaudorf";"(natürliche Person)";"ABR938588177916";"1.3.2023"
"SEE975027003450";"PV-Anlage 2023";"In Betrieb";"3.1.2023";"1.3.2023";"Solare Strahlungsenergie";"8,58";"8,2";"92286";"Rieden";"(natürliche Person)";"ABR901798905280";"6.5.2023"
"SEE987337043125";"Balkonkraftwerk";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"0,75";"0,6";"81247";"München";"(natürliche Person)";"ABR977217068683";"31.3.2023"
"SEE955822852408";"PV Aletsberg";"In Betrieb";"2.2.2023";"1.3.2023";"Solare Strahlungsenergie";"10,4";"10";"94469";"Deggendorf";"(natürliche Person)";"ABR958542447343";"23.4.2023"
"SEE975842628500";"Balkon-PV (SelfPV 760Wp/600W)";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"0,76";"0,6";"90469";"Nürnberg";"(natürliche Person)";"ABR900341821220";"15.3.2023"
"SEE972870968769";"Hausdach";"In Betrieb";"25.11.2022";"1.3.2023";"Solare Strahlungsenergie";"7,22";"7,22";"88131";"Bodolz";"(natürliche Person)";"ABR946217230789";"3.9.2023"
"SEE959232763002";"Giebeldach";"In Betrieb";"23.1.2023";"1.3.2023";"Solare Strahlungsenergie";"2,72";"2,72";"93049";"Regensburg";"(natürliche Person)";"ABR903357689624";"14.12.2023"
"SEE970980871313";"Hausdach";"In Betrieb";"18.2.2023";"1.3.2023";"Solare Strahlungsenergie";"1,68";"0,6";"85716";"Unterschleißheim";"(natürliche Person)";"ABR972347221250";"1.3.2023"
"SEE942411376698";"PV Hausdach";"In Betrieb";"30.1.2023";"1.3.2023";"Solare Strahlungsenergie";"9,75";"9,75";"97475";"Zeil";"(natürliche Person)";"ABR920305390807";"1.3.2023"
"SEE931967974755";"PV Osh";"In Betrieb";"22.2.2023";"1.3.2023";"Solare Strahlungsenergie";"1,05";"0,6";"85764";"Oberschleißheim";"(natürliche Person)";"ABR940949298635";"22.4.2023"
"SEE933292261982";"EtW-DG";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"1,38";"1,2";"96120";"Bischberg";"(natürliche Person)";"ABR912275008431";"1.3.2023"
"SEE964330582738";"4,0";"In Betrieb";"5.12.2022";"1.3.2023";"Solare Strahlungsenergie";"4";"3,68";"90522";"Oberasbach";"(natürliche Person)";"ABR964617036930";"15.3.2023"
"SEE960189781032";"Balkonkraftwerk";"In Betrieb";"24.2.2023";"1.3.2023";"Solare Strahlungsenergie";"0,6";"0,6";"85368";"Moosburg";"(natürliche Person)";"ABR931647907790";"8.3.2023"
"SEE904498171238";"Balkonkraftwerk 600W, Bayreuth";"In Betrieb";"15.4.2023";"1.3.2023";"Solare Strahlungsenergie";"0,68";"0,6";"95448";"Bayreuth";"(natürliche Person)";"ABR912596772257";"17.4.2023"
"SEE978085507625";"Balkonkraftwerk";"In Betrieb";"28.2.2023";"1.3.2023";"Solare Strahlungsenergie";"0,8";"0,6";"86368";"Gersthofen";"(natürliche Person)";"ABR943251302298";"1.3.2023"
"SEE972853418977";"Potovoltaik 18kw";"In Betrieb";"1.3.2023";"1.3.2023";"Solare Strahlungsenergie";"17,82";"17,82";"97799";"Zeitlofs";"(natürliche Person)";"ABR925187324728";"1.3.2023"
"SEE905731972735";"PV Anlage Hausdach";"In Betrieb";"4.2.2023";"1.3.2023";"Solare Strahlungsenergie";"9,72";"9,72";"87700";"Memmingen";"(natürliche Person)";"ABR968384856258";"22.2.2024"
"SEE963028008000";"Wohnhaus_GuI_Woringen";"In Betrieb";"10.2.2023";"1.3.2023";"Solare Strahlungsenergie";"14,7";"11,9";"87789";"Woringen";"(natürliche Person)";"ABR995477033586";"30.3.2023"
"SEE930608633655";"Balkonkraftwerk";"In Betrieb";"23.2.2023";"1.3.2023";"Solare Strahlungsenergie";"0,76";"0,6";"85452";"Moosinning";"(natürliche Person)";"ABR930372169671";"1.3.2023"
