"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE937611486643";"PV Hausdach";"In Betrieb";"18.12.2019";"20.12.2019";"Solare Strahlungsenergie";"7,13";"7,13";"91207";"Lauf";"(natürliche Person)";"ABR923715076026";"6.9.2023"
"SEE931417343254";"C3PO";"In Betrieb";"7.5.2018";"20.12.2019";"Solare Strahlungsenergie";"6,6";"6,6";"63741";"Aschaffenburg";"(natürliche Person)";"ABR983282367309";"29.3.2020"
"SEE937264022199";"Dach_Süd_KIWI";"In Betrieb";"30.9.2019";"20.12.2019";"Solare Strahlungsenergie";"12,16";"9";"84155";"Bodenkirchen";"(natürliche Person)";"ABR997863681197";"17.9.2020"
"SEE962996712063";"Des Ding auf unserem Dach halt.";"In Betrieb";"4.9.2018";"20.12.2019";"Solare Strahlungsenergie";"8,55";"8,2";"97218";"Gerbrunn";"(natürliche Person)";"ABR952848306816";"20.12.2019"
"SEE942795537487";"PV Anlage  Hausdach";"In Betrieb";"26.9.2018";"20.12.2019";"Solare Strahlungsenergie";"9,69";"9,69";"93055";"Regensburg";"(natürliche Person)";"ABR997557571889";"12.12.2020"
"SEE970632441086";"Hausdach";"In Betrieb";"13.8.2018";"20.12.2019";"Solare Strahlungsenergie";"5,31";"5,05";"97274";"Leinach";"(natürliche Person)";"ABR923181632061";"24.9.2020"
"SEE913202299571";"CARPE DIEM";"In Betrieb";"29.11.2019";"20.12.2019";"Solare Strahlungsenergie";"9,75";"9,75";"97082";"Würzburg";"(natürliche Person)";"ABR903657969402";"8.1.2020"
"SEE967609364356";"PVabdach";"In Betrieb";"24.4.2017";"20.12.2019";"Solare Strahlungsenergie";"2,36";"2,36";"63739";"Aschaffenburg";"(natürliche Person)";"ABR945092694693";"19.3.2020"
"SEE996470004511";"Angermühle 11B";"In Betrieb";"30.8.2018";"20.12.2019";"Solare Strahlungsenergie";"7,625";"7";"85080";"Gaimersheim";"(natürliche Person)";"ABR965108573200";"18.5.2022"
"SEE915043144881";"Sunymaster";"In Betrieb";"25.7.2018";"20.12.2019";"Solare Strahlungsenergie";"5,985";"5,5";"63843";"Niedernberg";"(natürliche Person)";"ABR974158146661";"19.3.2020"
"SEE909674999354";"Haus Ehingen";"In Betrieb";"25.7.2019";"20.12.2019";"Solare Strahlungsenergie";"6,12";"6";"86678";"Ehingen";"(natürliche Person)";"ABR988536343825";"5.10.2022"
"SEE933576370805";"Hausdach";"In Betrieb";"17.4.2015";"20.12.2019";"Solare Strahlungsenergie";"5,61";"5";"85123";"Karlskron";"(natürliche Person)";"ABR980731815145";"20.12.2019"
"SEE920021616380";"ASO-542132-15";"In Betrieb";"12.2.2015";"20.12.2019";"Solare Strahlungsenergie";"16,83";"16,83";"97520";"Röthlein";"(natürliche Person)";"ABR965311624416";"4.8.2021"
"SEE905769934002";"PV 9KW Sinzing";"In Betrieb";"7.9.2018";"20.12.2019";"Solare Strahlungsenergie";"9";"8,5";"93161";"Sinzing";"(natürliche Person)";"ABR909159123465";"29.7.2020"
"SEE982811525494";"Fassade";"In Betrieb";"30.7.2019";"20.12.2019";"Solare Strahlungsenergie";"6";"5,5";"94133";"Röhrnbach";"(natürliche Person)";"ABR910112778134";"4.3.2020"
"SEE929680269210";"PV-Anlage Baumann AB";"In Betrieb";"30.7.2018";"20.12.2019";"Solare Strahlungsenergie";"9,9";"9";"63741";"Aschaffenburg";"(natürliche Person)";"ABR994346593213";"19.3.2020"
"SEE969630646203";"Dach";"In Betrieb";"26.10.2015";"20.12.2019";"Solare Strahlungsenergie";"4,62";"3,52";"87700";"Memmingen";"(natürliche Person)";"ABR930071331232";"20.12.2019"
"SEE926552669062";"Werkstatt";"In Betrieb";"31.10.2019";"20.12.2019";"Solare Strahlungsenergie";"29,7";"27";"94405";"Landau";"(natürliche Person)";"ABR914066722946";"9.6.2021"
"SEE922721541634";"Hausdach Ost West";"In Betrieb";"1.2.2017";"20.12.2019";"Solare Strahlungsenergie";"9,88";"9,88";"93093";"Donaustauf";"(natürliche Person)";"ABR912774616564";"20.12.2019"
"SEE953712116326";"Dach2";"In Betrieb";"30.7.2017";"20.12.2019";"Solare Strahlungsenergie";"7,08";"6";"91809";"Wellheim";"(natürliche Person)";"ABR947077320719";"8.7.2020"
"SEE926291065897";"Hausdach";"In Betrieb";"16.10.2017";"20.12.2019";"Solare Strahlungsenergie";"8,68";"7";"85419";"Mauern";"(natürliche Person)";"ABR905370688820";"12.1.2020"
"SEE942683025119";"Hausdach";"In Betrieb";"16.7.2019";"20.12.2019";"Solare Strahlungsenergie";"7,04";"5";"97616";"Bad Neustadt";"(natürliche Person)";"ABR939184764203";"15.1.2020"
"SEE926554023572";"Photovoltaik-Nordring";"In Betrieb";"19.11.2015";"20.12.2019";"Solare Strahlungsenergie";"7,8";"7";"63843";"Niedernberg";"(natürliche Person)";"ABR941616679658";"20.12.2019"
"SEE914684857754";"1";"In Betrieb";"11.1.2018";"20.12.2019";"Solare Strahlungsenergie";"3,36";"3";"63743";"Aschaffenburg";"(natürliche Person)";"ABR970197273863";"26.3.2020"
"SEE922953174969";"Hausdach";"In Betrieb";"18.10.2017";"20.12.2019";"Solare Strahlungsenergie";"5,6";"5,6";"86450";"Altenmünster";"(natürliche Person)";"ABR992411741736";"21.12.2019"
"SEE951665796411";"DR. GERHARD KONISZEWSKI";"In Betrieb";"12.4.2019";"20.12.2019";"Solare Strahlungsenergie";"8,68";"8,2";"94032";"Passau";"(natürliche Person)";"ABR981390829894";"11.8.2022"
"SEE949823581306";"HAUSTÜRVORDACH";"In Betrieb";"16.8.2019";"20.12.2019";"Solare Strahlungsenergie";"0,32";"0,26";"83512";"Wasserburg";"(natürliche Person)";"ABR915935803513";"30.1.2024"
"SEE956326683932";"""BRUCKHOF""";"In Betrieb";"11.9.2019";"20.12.2019";"Solare Strahlungsenergie";"0,6";"0,6";"83550";"Emmering";"(natürliche Person)";"ABR915935803513";"19.8.2022"
"SEE903573266753";"Kiwisolar";"In Betrieb";"14.9.2015";"19.12.2019";"Solare Strahlungsenergie";"3,75";"3,68";"86399";"Bobingen";"(natürliche Person)";"ABR904552580877";"19.12.2019"
