"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE908719450454";"Am Kirchberg1";"In Betrieb";"14.10.2022";"14.10.2022";"Solare Strahlungsenergie";"6,63";"5";"86751";"Mönchsdeggingen";"(natürliche Person)";"ABR925741831396";"24.7.2023"
"SEE962918797116";"priBalcony 45°";"In Betrieb";"20.10.2022";"14.10.2022";"Solare Strahlungsenergie";"0,36";"0,3";"82178";"Puchheim";"(natürliche Person)";"ABR970231366759";"1.7.2023"
"SEE919086937547";"priFlat duo";"In Betrieb";"15.8.2022";"14.10.2022";"Solare Strahlungsenergie";"0,72";"0,6";"91471";"Illesheim";"(natürliche Person)";"ABR991854512224";"11.11.2022"
"SEE900731295389";"Ding auf dem Dach";"In Betrieb";"24.8.2022";"14.10.2022";"Solare Strahlungsenergie";"8,25";"8";"84335";"Mitterskirchen";"(natürliche Person)";"ABR948323643392";"14.10.2022"
"SEE938814435148";"PV Anlage Schreiner / Hohmann";"In Betrieb";"12.10.2022";"14.10.2022";"Solare Strahlungsenergie";"6,75";"4,6";"97348";"Rödelsee";"Sven Schreiner & Johanna Jessica Hohmann";"ABR946374860041";"29.11.2022"
"SEE939672633622";"PV Postweg";"In Betrieb";"11.10.2022";"14.10.2022";"Solare Strahlungsenergie";"7,11";"7,11";"89231";"Neu-Ulm";"(natürliche Person)";"ABR988923070440";"14.10.2022"
"SEE974118287823";"PV Dach";"In Betrieb";"10.10.2022";"14.10.2022";"Solare Strahlungsenergie";"10";"10";"86529";"Schrobenhausen";"(natürliche Person)";"ABR988675247985";"30.1.2023"
"SEE912636532537";"PV2-K1-H1";"In Betrieb";"21.9.2022";"14.10.2022";"Solare Strahlungsenergie";"9";"8,5";"95326";"Kulmbach";"(natürliche Person)";"ABR995310342066";"7.8.2023"
"SEE977000130054";"Heimarbeit";"In Betrieb";"14.10.2022";"14.10.2022";"Solare Strahlungsenergie";"0,375";"0,375";"82166";"Gräfelfing";"(natürliche Person)";"ABR920769616659";"14.10.2022"
"SEE917776281970";"Kirchdorf_II";"In Betrieb";"14.10.2022";"14.10.2022";"Solare Strahlungsenergie";"2,43";"2,43";"85414";"Kirchdorf";"(natürliche Person)";"ABR942218189729";"26.5.2023"
