"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE902956640043";"ANSORGE PVA2";"In Betrieb";"5.4.2023";"13.4.2023";"Solare Strahlungsenergie";"749,25";"749,25";"87640";"Biessenhofen";"Spedition Ansorge GmbH & Co. KG";"ABR972904817872";"6.5.2023"
"SEE901907258122";"BKW - Kollerstraße 4";"In Betrieb";"13.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,8";"0,6";"93449";"Waldmünchen";"(natürliche Person)";"ABR945599101250";"13.4.2023"
"SEE930921942014";"SONNE SPD-TEH";"In Betrieb";"7.4.2023";"13.4.2023";"Solare Strahlungsenergie";"15,01";"12";"63906";"Erlenbach";"Sunvigo Energy I GmbH";"ABR922330502361";"28.11.2023"
"SEE982325696666";"PV-Rottenfüßer";"In Betrieb";"17.3.2023";"13.4.2023";"Solare Strahlungsenergie";"9,84";"9,84";"82278";"Althegnenberg";"(natürliche Person)";"ABR928358257597";"13.4.2023"
"SEE948308418618";"Hauptdach Südwest";"In Betrieb";"3.4.2023";"13.4.2023";"Solare Strahlungsenergie";"6,56";"6,56";"87772";"Pfaffenhausen";"(natürliche Person)";"ABR980940948689";"13.4.2023"
"SEE969797876567";"E15";"In Betrieb";"31.3.2023";"13.4.2023";"Solare Strahlungsenergie";"29,16";"29,16";"83342";"Tacherting";"DKS GmbH";"ABR909306714355";"5.1.2024"
"SEE995589637061";"Anlage01";"In Betrieb";"13.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,82";"0,6";"90431";"Nürnberg";"(natürliche Person)";"ABR987319318944";"9.9.2023"
"SEE956604209205";"Schuppen";"In Betrieb";"25.10.2022";"13.4.2023";"Solare Strahlungsenergie";"0,83";"0,6";"94535";"Eging a.See";"(natürliche Person)";"ABR941449338364";"21.11.2023"
"SEE940254822013";"Hausdach";"In Betrieb";"7.3.2023";"13.4.2023";"Solare Strahlungsenergie";"10,25";"10";"89269";"Vöhringen";"(natürliche Person)";"ABR932615024167";"11.9.2023"
"SEE994465902422";"PV1";"In Betrieb";"21.3.2023";"13.4.2023";"Solare Strahlungsenergie";"8,295";"8,295";"94089";"Neureichenau";"(natürliche Person)";"ABR942613100350";"10.5.2023"
"SEE928101885237";"PV_Anlage";"In Betrieb";"13.4.2023";"13.4.2023";"Solare Strahlungsenergie";"11,455";"10";"94474";"Vilshofen";"(natürliche Person)";"ABR943201153505";"13.4.2023"
"SEE932291852801";"Holunder";"In Betrieb";"1.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,6";"0,6";"89340";"Leipheim";"(natürliche Person)";"ABR949681050969";"14.4.2023"
"SEE917533189501";"ABR932953157947";"In Betrieb";"1.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,82";"0,6";"90449";"Nürnberg";"(natürliche Person)";"ABR932953157947";"11.8.2023"
"SEE934212038677";"SOKW0600 Flachdach";"In Betrieb";"18.3.2023";"13.4.2023";"Solare Strahlungsenergie";"0,6";"0,6";"84518";"Garching";"(natürliche Person)";"ABR910584121933";"5.7.2023"
"SEE975186447133";"PV-Anlage";"In Betrieb";"15.5.2023";"13.4.2023";"Solare Strahlungsenergie";"8,25";"8";"88167";"Gestratz";"(natürliche Person)";"ABR919901102914";"13.6.2023"
"SEE979499694932";"Balkonkraftwerk 600W";"In Betrieb";"13.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,6";"0,6";"83339";"Chieming";"(natürliche Person)";"ABR904322539937";"13.4.2023"
"SEE950830391796";"TeLa 14";"In Betrieb";"9.1.2023";"13.4.2023";"Solare Strahlungsenergie";"10";"9";"82054";"Sauerlach";"Tela14 PV GbR";"ABR948118207945";"12.6.2023"
"SEE988249947495";"Balkonsolar-Garage";"In Betrieb";"13.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,82";"0,6";"90475";"Nürnberg";"(natürliche Person)";"ABR914344438613";"9.6.2023"
"SEE969343644664";"9,840 KWP";"In Betrieb";"4.4.2023";"13.4.2023";"Solare Strahlungsenergie";"9,84";"8";"94121";"Salzweg";"(natürliche Person)";"ABR962671461583";"10.5.2023"
"SEE954432474215";"Balkon1";"In Betrieb";"15.4.2023";"13.4.2023";"Solare Strahlungsenergie";"0,6";"0,6";"90471";"Nürnberg";"(natürliche Person)";"ABR997425352688";"28.8.2023"
"SEE976094713402";"ABR993476080785";"In Betrieb";"1.4.2023";"13.4.2023";"Solare Strahlungsenergie";"27,75";"25";"94419";"Reisbach";"(natürliche Person)";"ABR993476080785";"6.7.2023"
"SEE942105638941";"PV-Anlage";"In Betrieb";"4.4.2023";"13.4.2023";"Solare Strahlungsenergie";"9,84";"9,84";"91550";"Dinkelsbühl";"(natürliche Person)";"ABR951542116448";"9.1.2024"
"SEE911724983787";"PV P";"In Betrieb";"6.4.2023";"13.4.2023";"Solare Strahlungsenergie";"10,25";"9,2";"85461";"Bockhorn";"(natürliche Person)";"ABR968414532855";"13.4.2023"
"SEE928444637456";"Greifsolar";"In Betrieb";"28.3.2023";"13.4.2023";"Solare Strahlungsenergie";"8,19";"8,19";"86399";"Bobingen";"(natürliche Person)";"ABR920677401422";"8.12.2023"
"SEE999220804522";"Balkonkraftwerk";"In Betrieb";"30.3.2023";"13.4.2023";"Solare Strahlungsenergie";"0,75";"0,6";"88167";"Gestratz";"(natürliche Person)";"ABR940656151759";"3.7.2023"
"SEE944703935361";"Ruchelnheimstr";"In Betrieb";"13.2.2023";"13.4.2023";"Solare Strahlungsenergie";"14,94";"14,94";"63743";"Aschaffenburg";"(natürliche Person)";"ABR916307425050";"8.5.2023"
"SEE930001304466";"A5a_Hausdach_2023";"In Betrieb";"12.4.2023";"13.4.2023";"Solare Strahlungsenergie";"15,99";"15";"90616";"Neuhof";"(natürliche Person)";"ABR900122522445";"27.2.2024"
"SEE919126766434";"Garage";"In Betrieb";"13.4.2023";"13.4.2023";"Solare Strahlungsenergie";"8,2";"8";"90613";"Großhabersdorf";"(natürliche Person)";"ABR996511365793";"10.10.2023"
