"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE996420918134";"Büro";"In Betrieb";"15.5.2023";"9.6.2023";"Solare Strahlungsenergie";"12";"10";"84186";"Vilsheim";"(natürliche Person)";"ABR900419630075";"16.8.2023"
"SEE909760732131";"PV-Balkon-Süd";"In Betrieb";"25.5.2023";"9.6.2023";"Solare Strahlungsenergie";"1,24";"0,6";"89281";"Altenstadt";"(natürliche Person)";"ABR926056249371";"9.6.2023"
"SEE974090160916";"PV-Anlage";"In Betrieb";"1.6.2023";"9.6.2023";"Solare Strahlungsenergie";"15,99";"15,99";"84166";"Adlkofen";"(natürliche Person)";"ABR950129659835";"7.11.2023"
"SEE964719653110";"Kirchenstiftung Schönthal";"In Betrieb";"8.5.2023";"9.6.2023";"Solare Strahlungsenergie";"6,56";"6,56";"93488";"Schönthal";"Katholische Kirchenstiftung Schönthal";"ABR924202941001";"23.6.2023"
"SEE903963055738";"Dachfläche 1";"In Betrieb";"2.6.2023";"9.6.2023";"Solare Strahlungsenergie";"11,18";"10";"90491";"Nürnberg";"(natürliche Person)";"ABR961574393939";"25.9.2023"
"SEE945996455390";"PV";"In Betrieb";"13.5.2023";"9.6.2023";"Solare Strahlungsenergie";"8,2";"8";"90579";"Langenzenn";"(natürliche Person)";"ABR910677621579";"10.8.2023"
"SEE941813261663";"Mini Kraftwerk";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,74";"0,6";"84387";"Julbach";"(natürliche Person)";"ABR986366157230";"25.9.2023"
"SEE984386134491";"PV 14,76 kWp";"In Betrieb";"10.5.2023";"9.6.2023";"Solare Strahlungsenergie";"14,76";"13,2";"92331";"Parsberg";"(natürliche Person)";"ABR983822196956";"3.11.2023"
"SEE998715506910";"PV-Anlage";"In Betrieb";"19.7.2023";"9.6.2023";"Solare Strahlungsenergie";"9,88";"9,88";"63768";"Hösbach";"(natürliche Person)";"ABR947532377159";"6.9.2023"
"SEE962006435678";"PV Anlage Waldststrasse 25";"In Betrieb";"1.3.2023";"9.6.2023";"Solare Strahlungsenergie";"8,2";"8,2";"96132";"Schlüsselfeld";"(natürliche Person)";"ABR994367653927";"17.8.2023"
"SEE920446231670";"Garage";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,3";"0,3";"63939";"Wörth";"(natürliche Person)";"ABR992052231511";"11.12.2023"
"SEE997813214727";"WASA3";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"11,62";"11,62";"94474";"Vilshofen";"(natürliche Person)";"ABR946491179583";"9.6.2023"
"SEE916329649946";"ABR968108087241";"In Betrieb";"23.5.2023";"9.6.2023";"Solare Strahlungsenergie";"10,2";"10";"84347";"Pfarrkirchen";"(natürliche Person)";"ABR968108087241";"9.6.2023"
"SEE942520754493";"Balkonkraftwerk";"In Betrieb";"1.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,82";"0,6";"91413";"Neustadt";"(natürliche Person)";"ABR931269941493";"9.6.2023"
"SEE989228215147";"PV-Anlage2";"In Betrieb";"25.4.2023";"9.6.2023";"Solare Strahlungsenergie";"15,435";"12";"94496";"Ortenburg";"(natürliche Person)";"ABR973632912440";"22.2.2024"
"SEE915921078277";"BalkonPV";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,8";"0,8";"85301";"Schweitenkirchen";"(natürliche Person)";"ABR998453205533";"7.11.2023"
"SEE991435378621";"Garagendach West-Sued-West";"In Betrieb";"18.10.2023";"9.6.2023";"Solare Strahlungsenergie";"7,9";"7,9";"97464";"Niederwerrn";"(natürliche Person)";"ABR926318084306";"24.1.2024"
"SEE925953549126";"Hausdach";"In Betrieb";"20.1.2023";"9.6.2023";"Solare Strahlungsenergie";"7,47";"7,47";"82547";"Eurasburg";"(natürliche Person)";"ABR902952512245";"25.9.2023"
"SEE993144461229";"Futterhalle am Fahrsilo";"In Betrieb";"1.2.2023";"9.6.2023";"Solare Strahlungsenergie";"23,7";"23,7";"87784";"Westerheim";"(natürliche Person)";"ABR938490763214";"27.2.2024"
"SEE978587146407";"PV-Anlage";"In Betrieb";"5.6.2023";"9.6.2023";"Solare Strahlungsenergie";"9,36";"9,36";"84405";"Dorfen";"(natürliche Person)";"ABR933845717072";"6.7.2023"
"SEE923727040473";"Winaico WST 400Wp Gemini";"In Betrieb";"25.5.2023";"9.6.2023";"Solare Strahlungsenergie";"9,2";"9,2";"83026";"Rosenheim";"(natürliche Person)";"ABR956859020808";"28.10.2023"
"SEE997987105326";"FS-Velburg- BKK0,6";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"1,035";"0,6";"92355";"Velburg";"(natürliche Person)";"ABR968562388250";"13.11.2023"
"SEE914735499261";"PV-Anlage";"In Betrieb";"23.2.2023";"9.6.2023";"Solare Strahlungsenergie";"10,4";"10";"85617";"Aßling";"(natürliche Person)";"ABR951154305827";"19.6.2023"
"SEE966785655944";"PV-Anlage Halle16/17";"In Betrieb";"15.11.2022";"9.6.2023";"Solare Strahlungsenergie";"515,475";"440";"87727";"Babenhausen";"Kößler Technologie GmbH";"ABR940828843048";"22.2.2024"
"SEE990598119003";"Hausdach";"In Betrieb";"5.6.2023";"9.6.2023";"Solare Strahlungsenergie";"12,64";"10";"83080";"Oberaudorf";"(natürliche Person)";"ABR983766463084";"9.6.2023"
"SEE982323145517";"Balkon KW";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,6";"0,6";"96181";"Rauhenebrach";"(natürliche Person)";"ABR954069637243";"9.6.2023"
"SEE942909385836";"Balkonkraftwerk Carport Hoymiles HM-1500";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,999";"0,6";"97783";"Karsbach";"(natürliche Person)";"ABR956035147718";"3.11.2023"
"SEE915391486992";"Goethestrasse";"In Betrieb";"19.5.2023";"9.6.2023";"Solare Strahlungsenergie";"22,57";"14";"94447";"Plattling";"(natürliche Person)";"ABR925519199086";"27.10.2023"
"SEE944510852387";"PV-Stier";"In Betrieb";"31.5.2023";"9.6.2023";"Solare Strahlungsenergie";"7,705";"6";"85635";"Höhenkirchen-Siegertsbrunn";"(natürliche Person)";"ABR998539205556";"26.1.2024"
"SEE997015309580";"Pv Anlage";"In Betrieb";"1.6.2023";"9.6.2023";"Solare Strahlungsenergie";"17,22";"15";"84163";"Marklkofen";"(natürliche Person)";"ABR929964598258";"23.10.2023"
"SEE910944868676";"Balkonkraftwerk";"In Betrieb";"1.5.2023";"9.6.2023";"Solare Strahlungsenergie";"0,6";"0,6";"91054";"Erlangen";"(natürliche Person)";"ABR953559848008";"9.6.2023"
"SEE921742715383";"PV 4.4";"In Betrieb";"3.3.2023";"9.6.2023";"Solare Strahlungsenergie";"4,4";"3,6";"86529";"Schrobenhausen";"(natürliche Person)";"ABR965398466831";"28.11.2023"
"SEE927638054383";"EcoFlow 110W Flexible Panel";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,22";"0,22";"81369";"München";"(natürliche Person)";"ABR933336130519";"9.6.2023"
"SEE927494798964";"Photovoltaik";"In Betrieb";"21.4.2023";"9.6.2023";"Solare Strahlungsenergie";"5,85";"5,5";"87700";"Memmingen";"(natürliche Person)";"ABR914211179571";"9.6.2023"
"SEE943121166517";"PV-Anlage";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"13,12";"13,12";"83567";"Unterreit";"(natürliche Person)";"ABR939421753670";"20.10.2023"
"SEE908188210108";"Zusatz_PV";"In Betrieb";"5.6.2023";"9.6.2023";"Solare Strahlungsenergie";"9,6";"9,6";"86674";"Baar";"(natürliche Person)";"ABR954398163789";"9.6.2023"
"SEE999762363273";"Bungalow Erweiterung";"In Betrieb";"1.6.2023";"9.6.2023";"Solare Strahlungsenergie";"5,18";"5";"90619";"Trautskirchen";"(natürliche Person)";"ABR988155543538";"5.12.2023"
"SEE966013185236";"Garagendach";"In Betrieb";"7.5.2023";"9.6.2023";"Solare Strahlungsenergie";"0,8";"0,6";"84072";"Au";"(natürliche Person)";"ABR965432462577";"13.11.2023"
"SEE935626132241";"17a Nord";"In Betrieb";"24.5.2023";"9.6.2023";"Solare Strahlungsenergie";"13,64";"13,64";"83026";"Rosenheim";"(natürliche Person)";"ABR951816193564";"12.7.2023"
"SEE968136124598";"PV-Haus";"In Betrieb";"13.3.2023";"9.6.2023";"Solare Strahlungsenergie";"9,75";"9,75";"84339";"Unterdietfurt";"(natürliche Person)";"ABR929276945320";"7.11.2023"
"SEE939336078875";"Mein Strom";"In Betrieb";"13.4.2023";"9.6.2023";"Solare Strahlungsenergie";"9,9";"9";"93155";"Hemau";"(natürliche Person)";"ABR952250576678";"19.6.2023"
"SEE992003127665";"Balkonkraftwerk";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,6";"0,6";"86381";"Krumbach";"(natürliche Person)";"ABR933727669109";"9.6.2023"
"SEE913648602294";"PVLang";"In Betrieb";"9.6.2023";"9.6.2023";"Solare Strahlungsenergie";"8,4";"8,4";"90556";"Cadolzburg";"(natürliche Person)";"ABR926744058735";"9.6.2023"
"SEE999784573476";"Haselbach";"In Betrieb";"23.6.2023";"9.6.2023";"Solare Strahlungsenergie";"9,75";"8";"94113";"Tiefenbach";"(natürliche Person)";"ABR900948091057";"25.9.2023"
"SEE966571531179";"PV-Haus";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"13,69";"13,69";"91639";"Wolframs-Eschenbach";"(natürliche Person)";"ABR913836035323";"27.9.2023"
"SEE906908901978";"NordWest Garage 2,8";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"2,8";"1,5";"89250";"Senden";"(natürliche Person)";"ABR914395216758";"9.6.2023"
"SEE984392948143";"PV-Anlage";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"16,77";"16,77";"83352";"Altenmarkt";"(natürliche Person)";"ABR947892715509";"17.8.2023"
"SEE948062953752";"BK Solaranlage";"In Betrieb";"19.5.2023";"9.6.2023";"Solare Strahlungsenergie";"0,6";"0,6";"86510";"Ried";"(natürliche Person)";"ABR989530995348";"9.6.2023"
"SEE933889259811";"Meiling 3";"In Betrieb";"9.3.2023";"9.6.2023";"Solare Strahlungsenergie";"29,64";"28";"83543";"Rott";"(natürliche Person)";"ABR981767771016";"28.6.2023"
"SEE930811511214";"Stall";"In Betrieb";"6.6.2023";"9.6.2023";"Solare Strahlungsenergie";"12,15";"10";"97776";"Eußenheim";"(natürliche Person)";"ABR940939535498";"31.7.2023"
"SEE975872612982";"Hausdach";"In Betrieb";"5.6.2023";"9.6.2023";"Solare Strahlungsenergie";"11,2";"10";"86682";"Genderkingen";"(natürliche Person)";"ABR926208614231";"19.1.2024"
"SEE923958823548";"NordOst Garage 2,8";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"2,8";"2";"89250";"Senden";"(natürliche Person)";"ABR914395216758";"9.6.2023"
"SEE902849819860";"Wohnhaus Dach Süd";"In Betrieb";"25.7.2023";"9.6.2023";"Solare Strahlungsenergie";"9";"8";"83549";"Eiselfing";"(natürliche Person)";"ABR954811369583";"13.11.2023"
"SEE939718505449";"Unsere PV-Anlage";"In Betrieb";"2.6.2023";"9.6.2023";"Solare Strahlungsenergie";"12,45";"10";"93155";"Hemau";"(natürliche Person)";"ABR984511941215";"11.9.2023"
"SEE942956909764";"PV- Anlage Schachtenseeon";"In Betrieb";"24.4.2023";"9.6.2023";"Solare Strahlungsenergie";"24,3";"24,3";"84435";"Lengdorf";"(natürliche Person)";"ABR924439891155";"9.6.2023"
"SEE924008617971";"vitali";"In Betrieb";"29.5.2023";"9.6.2023";"Solare Strahlungsenergie";"9,72";"9,72";"86916";"Kaufering";"(natürliche Person)";"ABR931006348189";"24.10.2023"
"SEE934198113931";"PV 9,75 kWp";"In Betrieb";"22.5.2023";"9.6.2023";"Solare Strahlungsenergie";"9,75";"9,75";"85276";"Pfaffenhofen";"(natürliche Person)";"ABR980548147699";"23.1.2024"
"SEE994819853790";"GmbH PV 16 B b";"In Betrieb";"2.6.2023";"9.6.2023";"Solare Strahlungsenergie";"17,6";"15";"92709";"Moosbach";"Rappl Stein GmbH";"ABR908580742030";"15.2.2024"
"SEE920231094992";"ABR914033938769";"In Betrieb";"19.12.2022";"9.6.2023";"Solare Strahlungsenergie";"5,6";"5";"94065";"Waldkirchen";"(natürliche Person)";"ABR914033938769";"9.6.2023"
"SEE961551207631";"Anlage";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"15";"15";"94127";"Neuburg";"(natürliche Person)";"ABR938779615043";"6.9.2023"
"SEE992522276448";"Mäng PV";"In Betrieb";"6.6.2023";"9.6.2023";"Solare Strahlungsenergie";"4,5";"4,5";"87674";"Ruderatshofen";"(natürliche Person)";"ABR917191422910";"19.9.2023"
"SEE921415164456";"Hausdach";"In Betrieb";"7.6.2023";"9.6.2023";"Solare Strahlungsenergie";"8,61";"6";"87435";"Kempten";"(natürliche Person)";"ABR972181300722";"9.6.2023"
"SEE991580172396";"Mypvaplant";"In Betrieb";"22.5.2023";"9.6.2023";"Solare Strahlungsenergie";"8,2";"8";"82008";"Unterhaching";"(natürliche Person)";"ABR910286546256";"6.9.2023"
"SEE973440261341";"PV";"In Betrieb";"15.5.2023";"9.6.2023";"Solare Strahlungsenergie";"8";"8";"82140";"Olching";"(natürliche Person)";"ABR971472396222";"6.12.2023"
"SEE951725080719";"TG-Dach";"In Betrieb";"25.4.2023";"9.6.2023";"Solare Strahlungsenergie";"0,83";"0,6";"85057";"Ingolstadt";"(natürliche Person)";"ABR953345832914";"27.10.2023"
"SEE955218172868";"Hausdach";"In Betrieb";"27.4.2023";"9.6.2023";"Solare Strahlungsenergie";"24,19";"24,19";"89415";"Lauingen";"(natürliche Person)";"ABR955870444570";"4.10.2023"
"SEE979448448913";"Balkonkraftwerk 1 Balkonsüd";"In Betrieb";"1.6.2023";"9.6.2023";"Solare Strahlungsenergie";"0,36";"0,3";"90592";"Schwarzenbruck";"(natürliche Person)";"ABR925239437932";"21.6.2023"
"SEE984617948781";"Solaranlage Dach";"In Betrieb";"25.5.2023";"9.6.2023";"Solare Strahlungsenergie";"9,6";"9,6";"89407";"Dillingen";"(natürliche Person)";"ABR901321227551";"30.10.2023"
"SEE994838384084";"Balkonkraftwerk_Bechheim_IN";"In Betrieb";"12.7.2023";"9.6.2023";"Solare Strahlungsenergie";"0,76";"0,6";"85051";"Ingolstadt";"(natürliche Person)";"ABR968777828794";"17.11.2023"
"SEE904193793704";"PV Anlage 7,29 kwp";"In Betrieb";"2.6.2023";"9.6.2023";"Solare Strahlungsenergie";"7,29";"7,29";"96269";"Großheirath";"(natürliche Person)";"ABR941697550174";"11.8.2023"
"SEE963211873354";"Photovoltaik";"In Betrieb";"24.4.2023";"9.6.2023";"Solare Strahlungsenergie";"6,8";"6,13";"83607";"Holzkirchen";"(natürliche Person)";"ABR904715646396";"22.7.2023"
"SEE962064173246";"Dachwerk";"In Betrieb";"5.6.2023";"9.6.2023";"Solare Strahlungsenergie";"19,51";"18";"94481";"Grafenau";"(natürliche Person)";"ABR926982688657";"3.7.2023"
"SEE920875472385";"AnzerFranz";"In Betrieb";"9.1.2023";"9.6.2023";"Solare Strahlungsenergie";"2,4";"2,4";"92637";"Weiden";"(natürliche Person)";"ABR937126054856";"9.6.2023"
"SEE900648870563";"BKW Anlage 0,6 kwp";"In Betrieb";"15.5.2023";"9.6.2023";"Solare Strahlungsenergie";"0,6";"0,6";"96269";"Großheirath";"(natürliche Person)";"ABR941697550174";"10.8.2023"
