"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE992131025536";"Hausdach";"In Betrieb";"17.10.2015";"5.8.2020";"Solare Strahlungsenergie";"9,88";"9,88";"83737";"Irschenberg";"(natürliche Person)";"ABR992029786167";"5.8.2020"
"SEE900904984492";"Neue Halle 2020";"In Betrieb";"29.5.2020";"5.8.2020";"Solare Strahlungsenergie";"78,725";"75";"84152";"Mengkofen";"(natürliche Person)";"ABR995898594949";"5.8.2020"
"SEE977166470421";"Halle_2";"In Betrieb";"30.5.2020";"5.8.2020";"Solare Strahlungsenergie";"9,9";"9,9";"84419";"Obertaufkirchen";"Andreas Daser, Daser Naturstein";"ABR991536261792";"15.2.2022"
"SEE925586426443";"Nr. 1 Hallendach";"In Betrieb";"10.6.2020";"5.8.2020";"Solare Strahlungsenergie";"9,75";"8,2";"97618";"Hohenroth";"(natürliche Person)";"ABR947141040758";"6.8.2020"
"SEE979842670880";"ABR905388919094";"In Betrieb";"15.5.2016";"5.8.2020";"Solare Strahlungsenergie";"7,84";"7,84";"94551";"Hunding";"(natürliche Person)";"ABR905388918094";"16.9.2020"
"SEE998835979489";"Hausdach";"In Betrieb";"29.7.2020";"5.8.2020";"Solare Strahlungsenergie";"9,28";"8";"85221";"Dachau";"(natürliche Person)";"ABR980700866260";"2.12.2020"
"SEE918860005359";"solar";"In Betrieb";"29.5.2017";"5.8.2020";"Solare Strahlungsenergie";"2,4";"2,4";"82140";"Olching";"(natürliche Person)";"ABR965666369338";"1.12.2021"
"SEE917733343987";"Hausdach";"In Betrieb";"11.5.2018";"5.8.2020";"Solare Strahlungsenergie";"6,27";"5,5";"63828";"Kleinkahl";"(natürliche Person)";"ABR908171643364";"5.8.2020"
"SEE998750911380";"PV V15";"In Betrieb";"4.8.2020";"5.8.2020";"Solare Strahlungsenergie";"7,04";"7";"93080";"Pentling";"(natürliche Person)";"ABR973853189508";"5.8.2020"
"SEE911260034707";"Hausdach";"In Betrieb";"5.8.2020";"5.8.2020";"Solare Strahlungsenergie";"15,54";"15";"92708";"Mantel";"(natürliche Person)";"ABR924870273152";"6.11.2020"
"SEE965627616037";"Hallendach";"In Betrieb";"15.7.2015";"5.8.2020";"Solare Strahlungsenergie";"29,9";"17,5";"94253";"Bischofsmais";"(natürliche Person)";"ABR956498738225";"16.9.2020"
"SEE992622053130";"Hausdach";"In Betrieb";"21.5.2015";"5.8.2020";"Solare Strahlungsenergie";"7,35";"7,35";"91097";"Oberreichenbach";"(natürliche Person)";"ABR954214895801";"5.8.2020"
"SEE960710678015";"PV Anlage";"In Betrieb";"29.6.2015";"5.8.2020";"Solare Strahlungsenergie";"7,8";"7,8";"93354";"Siegenburg";"(natürliche Person)";"ABR917460866308";"5.8.2020"
"SEE933321733558";"PV-Anlage mit 9,75 kWp  (2020)";"In Betrieb";"4.8.2020";"5.8.2020";"Solare Strahlungsenergie";"9,75";"8";"85051";"Ingolstadt";"(natürliche Person)";"ABR945744517844";"3.6.2021"
"SEE941469906819";"PV-Hausdach";"In Betrieb";"29.10.2018";"5.8.2020";"Solare Strahlungsenergie";"6,4";"6,4";"84434";"Kirchberg";"(natürliche Person)";"ABR958777807998";"5.8.2020"
"SEE956628309455";"Hausdach2020";"In Betrieb";"4.8.2020";"5.8.2020";"Solare Strahlungsenergie";"9,86";"8,2";"97218";"Gerbrunn";"(natürliche Person)";"ABR963266674678";"29.11.2020"
"SEE918526880320";"PV Anlage Fam. Gimpl";"In Betrieb";"11.4.2017";"5.8.2020";"Solare Strahlungsenergie";"7,2";"6";"92361";"Berngau";"(natürliche Person)";"ABR929481052813";"5.8.2020"
"SEE950970308616";"PV Betriebsgelände Geiselhöring";"In Betrieb";"31.7.2020";"5.8.2020";"Solare Strahlungsenergie";"95,85";"90";"94333";"Geiselhöring";"(natürliche Person)";"ABR919599438616";"23.2.2021"
"SEE902748934381";"Dorfstraße 8 Amsham";"In Betrieb";"10.4.2018";"5.8.2020";"Solare Strahlungsenergie";"8,8";"7,6";"84385";"Egglham";"(natürliche Person)";"ABR970297669801";"27.9.2021"
"SEE907767308960";"PV Anlage SL";"In Betrieb";"14.4.2018";"5.8.2020";"Solare Strahlungsenergie";"7,56";"7,56";"82538";"Geretsried";"(natürliche Person)";"ABR948392391491";"15.9.2020"
"SEE984326182889";"PV Anlage";"In Betrieb";"11.12.2019";"5.8.2020";"Solare Strahlungsenergie";"0,345";"0,345";"83064";"Raubling";"(natürliche Person)";"ABR925774908782";"28.9.2020"
"SEE966782842552";"Haus- und Garagendach (eine Einheit)";"In Betrieb";"1.3.2017";"5.8.2020";"Solare Strahlungsenergie";"9,86";"9,86";"85092";"Kösching";"(natürliche Person)";"ABR982316457702";"5.8.2020"
"SEE907252073090";"REWO Hausdach";"In Betrieb";"3.2.2016";"5.8.2020";"Solare Strahlungsenergie";"9,5";"9,5";"82110";"Germering";"REWO GmbH";"ABR996291217497";"12.11.2020"
"SEE932073041355";"Hausdach";"In Betrieb";"7.6.2017";"5.8.2020";"Solare Strahlungsenergie";"9,72";"9,72";"82152";"Krailling";"(natürliche Person)";"ABR964051902228";"5.8.2020"
"SEE963336672108";"6,38kW";"In Betrieb";"13.6.2017";"5.8.2020";"Solare Strahlungsenergie";"6,38";"6,38";"84177";"Gottfrieding";"(natürliche Person)";"ABR901007466113";"11.11.2020"
