"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE929505987978";"Eingenverbrauchsanlage";"In Betrieb";"4.3.2020";"28.10.2020";"Solare Strahlungsenergie";"9,76";"9,76";"84094";"Elsendorf";"(natürliche Person)";"ABR999549364578";"12.11.2020"
"SEE993879672563";"Sen10W2.2";"In Betrieb";"5.12.2016";"28.10.2020";"Solare Strahlungsenergie";"99,84";"99,84";"94315";"Straubing";"Sennebogen Maschinenfabrik GmbH";"ABR980074741286";"28.10.2020"
"SEE937109666601";"Hausdach Rödenauen 70";"In Betrieb";"24.9.2020";"28.10.2020";"Solare Strahlungsenergie";"8,375";"8,375";"96465";"Neustadt";"(natürliche Person)";"ABR969952627744";"29.10.2020"
"SEE934724383715";"PV-Wohnhaus";"In Betrieb";"4.8.2018";"28.10.2020";"Solare Strahlungsenergie";"7,15";"3,68";"91607";"Gebsattel";"(natürliche Person)";"ABR964882501041";"28.10.2020"
"SEE949693353164";"Talblick";"In Betrieb";"16.10.2020";"28.10.2020";"Solare Strahlungsenergie";"3,25";"3";"93138";"Lappersdorf";"(natürliche Person)";"ABR970239302032";"28.10.2020"
"SEE968072890892";"Anlage 2";"In Betrieb";"30.8.2017";"28.10.2020";"Solare Strahlungsenergie";"9,44";"9";"63743";"Aschaffenburg";"Büttner Verwaltungs- und Grundstücks GmbH & Co. KG";"ABR903147765149";"2.3.2021"
"SEE974116692896";"Balkonkraftwerk";"Endgültig stillgelegt";"6.5.2020";"28.10.2020";"Solare Strahlungsenergie";"0,6";"0,58";"85139";"Wettstetten";"(natürliche Person)";"";"10.6.2022"
"SEE927318447313";"Werkstatt";"In Betrieb";"15.7.2020";"28.10.2020";"Solare Strahlungsenergie";"9,9";"9,9";"93453";"Neukirchen";"(natürliche Person)";"ABR940941919651";"28.10.2020"
"SEE904176260438";"PV Ostheimer";"In Betrieb";"27.7.2020";"28.10.2020";"Solare Strahlungsenergie";"8,84";"8,5";"63839";"Kleinwallstadt";"(natürliche Person)";"ABR937138285538";"29.5.2021"
"SEE951905973145";"Eigner PV";"In Betrieb";"30.6.2020";"28.10.2020";"Solare Strahlungsenergie";"9,9";"9,9";"96152";"Burghaslach";"(natürliche Person)";"ABR951567326938";"17.11.2020"
"SEE974672631513";"Dach Privathaus";"In Betrieb";"1.9.2020";"28.10.2020";"Solare Strahlungsenergie";"9,9";"9,9";"86405";"Meitingen";"(natürliche Person)";"ABR932464994536";"8.12.2020"
"SEE974773827556";"Anlage 2020";"In Betrieb";"3.7.2020";"28.10.2020";"Solare Strahlungsenergie";"9,9";"8";"84533";"Haiming";"Julia und Alexander Demberger";"ABR953862196001";"30.4.2021"
"SEE910978987077";"Solaranlage20";"In Betrieb";"28.9.2020";"28.10.2020";"Solare Strahlungsenergie";"7,92";"7,92";"86946";"Vilgertshofen";"(natürliche Person)";"ABR990812544949";"22.12.2020"
"SEE994059644820";"Autohaus Eisenhofer";"In Betrieb";"24.2.2015";"28.10.2020";"Solare Strahlungsenergie";"9,98";"9,98";"86156";"Augsburg";"Autohaus Eisenhofer";"ABR999507046515";"21.1.2021"
"SEE945208524296";"Schmidl-Photovoltaik-Hartenricht";"In Betrieb";"12.10.2020";"28.10.2020";"Solare Strahlungsenergie";"9,15";"9,15";"92546";"Schmidgaden";"(natürliche Person)";"ABR973662663183";"14.1.2021"
"SEE972472243646";"Bogenhause_5";"In Betrieb";"31.8.2020";"28.10.2020";"Solare Strahlungsenergie";"9,9";"9,9";"81677";"München";"(natürliche Person)";"ABR937274370761";"27.4.2021"
"SEE944787169638";"Solaranlage Dach 2";"In Betrieb";"28.10.2020";"28.10.2020";"Solare Strahlungsenergie";"7,185";"3,68";"96129";"Strullendorf";"(natürliche Person)";"ABR924797551203";"11.12.2020"
"SEE983549661768";"PV Hersbruck 2020";"In Betrieb";"29.10.2020";"28.10.2020";"Solare Strahlungsenergie";"9,75";"9,75";"91217";"Hersbruck";"Köber Strategie StB GmbH";"ABR945717943625";"2.8.2021"
"SEE948743037849";"Garagendach";"In Betrieb";"31.8.2020";"28.10.2020";"Solare Strahlungsenergie";"9,94";"8";"93133";"Burglengenfeld";"(natürliche Person)";"ABR935800551844";"28.11.2020"
"SEE925735926152";"PV-Anlage STM1";"In Betrieb";"1.10.2020";"28.10.2020";"Solare Strahlungsenergie";"6,93";"6,93";"85125";"Kinding";"(natürliche Person)";"ABR939266484661";"22.4.2021"
"SEE972729678610";"Hausdach";"In Betrieb";"28.10.2020";"28.10.2020";"Solare Strahlungsenergie";"25,83";"25";"93155";"Hemau";"(natürliche Person)";"ABR992711293614";"28.10.2020"
"SEE994310564492";"PV-Anlage";"In Betrieb";"24.8.2020";"28.10.2020";"Solare Strahlungsenergie";"6,21";"5,7";"90482";"Nürnberg";"(natürliche Person)";"ABR922675809743";"21.12.2020"
"SEE940027463993";"G.Werbung";"In Betrieb";"17.8.2017";"28.10.2020";"Solare Strahlungsenergie";"85,8";"71,2";"84453";"Mühldorf";"(natürliche Person)";"ABR940334473319";"6.12.2023"
