"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE933303423255";"Hausdach";"In Betrieb";"10.10.2015";"23.5.2020";"Solare Strahlungsenergie";"5,98";"5,98";"95463";"Bindlach";"(natürliche Person)";"ABR983988381876";"23.5.2020"
"SEE950018926635";"Süd-West Seite";"In Betrieb";"23.4.2020";"23.5.2020";"Solare Strahlungsenergie";"9,67";"3";"87663";"Lengenwang";"(natürliche Person)";"ABR968751527484";"23.5.2020"
"SEE990616931921";"Hausdach";"In Betrieb";"3.2.2020";"23.5.2020";"Solare Strahlungsenergie";"9,735";"9,735";"97453";"Schonungen";"(natürliche Person)";"ABR922841523572";"5.6.2020"
"SEE923609348024";"Fuchs PV";"In Betrieb";"29.7.2019";"23.5.2020";"Solare Strahlungsenergie";"9,735";"9,735";"83308";"Trostberg";"(natürliche Person)";"ABR962179637176";"13.6.2020"
"SEE926650357175";"Hausdach ABR 950932332123";"In Betrieb";"30.4.2020";"23.5.2020";"Solare Strahlungsenergie";"29,4";"25";"93173";"Wenzenbach";"(natürliche Person)";"ABR950932332123";"24.11.2020"
"SEE980480975510";"Wohnhaus Dach";"In Betrieb";"7.10.2019";"22.5.2020";"Solare Strahlungsenergie";"9,75";"9,75";"84367";"Tann";"(natürliche Person)";"ABR944181201057";"8.10.2020"
"SEE917977468682";"S Ost";"In Betrieb";"27.1.2020";"22.5.2020";"Solare Strahlungsenergie";"8,125";"7";"92507";"Nabburg";"(natürliche Person)";"ABR968845172903";"12.1.2023"
"SEE940838833176";"Sunny TG";"In Betrieb";"4.5.2020";"22.5.2020";"Solare Strahlungsenergie";"6,3";"6";"83555";"Gars Bahnhof";"(natürliche Person)";"ABR934239744261";"9.11.2020"
"SEE930791440856";"Hausdach";"In Betrieb";"12.5.2020";"22.5.2020";"Solare Strahlungsenergie";"8,45";"8";"84103";"Postau";"(natürliche Person)";"ABR921714512958";"25.5.2020"
"SEE938115240960";"Garagendach";"In Betrieb";"21.4.2020";"22.5.2020";"Solare Strahlungsenergie";"1,08";"1,08";"85123";"Karlskron";"(natürliche Person)";"ABR977061854531";"3.3.2021"
