"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE995005040413";"Hausdach";"In Betrieb";"24.10.2023";"26.10.2023";"Solare Strahlungsenergie";"5,72";"5,5";"90518";"Altdorf";"(natürliche Person)";"ABR991676080710";"26.10.2023"
"SEE995868445158";"Dach PV";"In Betrieb";"25.10.2023";"26.10.2023";"Solare Strahlungsenergie";"15,695";"15,695";"95448";"Bayreuth";"(natürliche Person)";"ABR983878051445";"26.10.2023"
"SEE939362433945";"DKB-3";"In Betrieb";"25.10.2023";"26.10.2023";"Solare Strahlungsenergie";"6,57";"6";"91550";"Dinkelsbühl";"(natürliche Person)";"ABR934024868707";"16.1.2024"
"SEE973456007742";"PV Eckert Rudolf";"In Betrieb";"23.10.2023";"26.10.2023";"Solare Strahlungsenergie";"4,785";"4,18";"93090";"Bach";"(natürliche Person)";"ABR901054331594";"20.12.2023"
"SEE993420747894";"Balkon";"In Betrieb";"15.10.2023";"26.10.2023";"Solare Strahlungsenergie";"2,125";"0,6";"84307";"Eggenfelden";"(natürliche Person)";"ABR945446835987";"18.12.2023"
"SEE917503860195";"Garagendach";"In Betrieb";"27.9.2023";"26.10.2023";"Solare Strahlungsenergie";"3,36";"3,36";"83365";"Nußdorf";"(natürliche Person)";"ABR987396076119";"15.1.2024"
"SEE936202519944";"PV-Anlage Auweg";"In Betrieb";"26.4.2023";"26.10.2023";"Solare Strahlungsenergie";"134,82";"120";"93055";"Regensburg";"owayo GmbH";"ABR973338462553";"26.10.2023"
"SEE949069495153";"PV Wohnhaus/Garage";"In Betrieb";"19.10.2023";"26.10.2023";"Solare Strahlungsenergie";"7,6";"7,6";"97348";"Willanzheim";"(natürliche Person)";"ABR981527511876";"26.10.2023"
"SEE983061290842";"PV-Anlage";"In Betrieb";"28.9.2023";"26.10.2023";"Solare Strahlungsenergie";"5,88";"4,6";"93057";"Regensburg";"(natürliche Person)";"ABR968580073169";"26.10.2023"
"SEE908025696942";"PV Anne Leicht";"In Betrieb";"23.10.2023";"26.10.2023";"Solare Strahlungsenergie";"7,56";"7,56";"97084";"Würzburg";"(natürliche Person)";"ABR935203145404";"26.10.2023"
"SEE949313554803";"Hausdach";"In Betrieb";"2.8.2023";"26.10.2023";"Solare Strahlungsenergie";"4,15";"4";"86163";"Augsburg";"(natürliche Person)";"ABR907443780554";"18.12.2023"
"SEE978461255850";"Hausdach";"In Betrieb";"29.9.2023";"26.10.2023";"Solare Strahlungsenergie";"9,96";"9,96";"94551";"Hunding";"(natürliche Person)";"ABR904644442120";"2.11.2023"
"SEE997468638343";"PV-Anlage 2023";"In Betrieb";"23.10.2023";"26.10.2023";"Solare Strahlungsenergie";"5,74";"5";"90451";"Nürnberg";"(natürliche Person)";"ABR910034027709";"26.10.2023"
"SEE946962218995";"PV-Anlage 25,20 kWp";"In Betrieb";"20.9.2023";"26.10.2023";"Solare Strahlungsenergie";"25,2";"20";"93197";"Zeitlarn";"SCP Holding GmbH";"ABR918490673027";"26.10.2023"
"SEE930951115624";"PV-Anlage BEH";"In Betrieb";"22.8.2023";"26.10.2023";"Solare Strahlungsenergie";"99,63";"99,63";"85107";"Baar-Ebenhausen";"FormiChem GmbH";"ABR956350512048";"26.10.2023"
"SEE944474074894";"JES-158123";"In Betrieb";"25.10.2023";"26.10.2023";"Solare Strahlungsenergie";"8,61";"8,61";"97753";"Karlstadt";"(natürliche Person)";"ABR984568983909";"26.10.2023"
