"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE905526010567";"Bird4_Hirtengarten 6";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"12,92";"10";"95494";"Gesees";"(natürliche Person)";"ABR904624263837";"11.1.2023"
"SEE909216456314";"Hausdachanbau";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,96";"8,2";"94405";"Landau";"(natürliche Person)";"ABR986190985672";"12.1.2023"
"SEE922797505172";"EhrmJ1Jedesh";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"7,38";"7";"89257";"Illertissen";"(natürliche Person)";"ABR913853291061";"12.9.2023"
"SEE934077446150";"periko";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"0,6";"0,6";"84030";"Ergolding";"(natürliche Person)";"ABR905237384360";"1.2.2024"
"SEE921515142330";"PV  Scheune";"In Betrieb";"4.1.2023";"11.1.2023";"Solare Strahlungsenergie";"29,6";"24";"86669";"Königsmoos";"(natürliche Person)";"ABR912362925559";"9.11.2023"
"SEE959214873880";"Hausdach";"In Betrieb";"24.1.2023";"11.1.2023";"Solare Strahlungsenergie";"10,8";"10";"89368";"Winterbach";"(natürliche Person)";"ABR938913694392";"8.9.2023"
"SEE935196336100";"BalkonKraftwerk";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"0,38";"0,3";"86356";"Neusäß";"(natürliche Person)";"ABR919187246289";"11.1.2023"
"SEE962015403460";"PV Wiedemann Hausdach";"In Betrieb";"14.10.2022";"11.1.2023";"Solare Strahlungsenergie";"3,42";"3";"83646";"Wackersberg";"(natürliche Person)";"ABR911112275982";"7.3.2023"
"SEE970827221677";"Scheune";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"23,37";"20";"92711";"Parkstein";"(natürliche Person)";"ABR901828285337";"19.6.2023"
"SEE952143111634";"PV 14.8";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"15,2";"15";"84140";"Gangkofen";"(natürliche Person)";"ABR958399954513";"12.1.2023"
"SEE927659720717";"Maschinenhalle";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"29,2";"20";"93497";"Willmering";"(natürliche Person)";"ABR941906820517";"6.3.2023"
"SEE908788445979";"PB Eigenes Haus";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"6,08";"4,6";"82216";"Maisach";"(natürliche Person)";"ABR913299658992";"19.4.2023"
"SEE938735327485";"Nebengebäude";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,96";"9,96";"94344";"Wiesenfelden";"(natürliche Person)";"ABR980715875493";"29.3.2023"
"SEE913633720132";"PV Anlage 8,505 kWp";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"8,505";"8";"89257";"Illertissen";"(natürliche Person)";"ABR985293653143";"23.11.2023"
"SEE997989638778";"Dach Süd-Ost";"In Betrieb";"2.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9";"9";"92421";"Schwandorf";"(natürliche Person)";"ABR961509955218";"31.7.2023"
"SEE924791892166";"PVWirn23";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"14,82";"14,82";"84489";"Burghausen";"(natürliche Person)";"ABR947871987941";"19.6.2023"
"SEE942903177628";"Jasebi";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,875";"9,875";"86643";"Rennertshofen";"(natürliche Person)";"ABR915486183430";"13.12.2023"
"SEE996730732963";"Peter PV1";"In Betrieb";"12.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,48";"9,48";"85459";"Berglern";"(natürliche Person)";"ABR907085503306";"15.2.2023"
"SEE925227649804";"Gaube Süd";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"3,24";"3,24";"90542";"Eckental";"(natürliche Person)";"ABR924019250440";"27.6.2023"
"SEE943621552209";"Hausdach Ost-West";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9";"8";"91619";"Obernzenn";"(natürliche Person)";"ABR964274116983";"26.1.2023"
"SEE928387750823";"Sonne_Kastanie";"In Betrieb";"13.10.2022";"11.1.2023";"Solare Strahlungsenergie";"9,84";"9,84";"97534";"Waigolshausen";"(natürliche Person)";"ABR925215893653";"23.2.2023"
"SEE973271990243";"PV Hausdach";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"13,125";"13,125";"92287";"Schmidmühlen";"(natürliche Person)";"ABR989122514520";"31.7.2023"
"SEE909643145744";"PV-Anlage Garage";"In Betrieb";"2.1.2023";"11.1.2023";"Solare Strahlungsenergie";"6";"6";"86609";"Donauwörth";"(natürliche Person)";"ABR943151430084";"22.10.2023"
"SEE911130550955";"KA20220630-163295";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"8,085";"8";"94356";"Kirchroth";"(natürliche Person)";"ABR985519207938";"20.4.2023"
"SEE950960654570";"C000242268_KK_Hausdach";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"5,32";"4";"95183";"Töpen";"(natürliche Person)";"ABR910387498959";"29.12.2023"
"SEE989515520695";"PVAnlage";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"0,8";"0,6";"88138";"Sigmarszell";"(natürliche Person)";"ABR904438159326";"16.1.2024"
"SEE943905365792";"PV-1 - 9,6 kWp";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,6";"8";"84333";"Malgersdorf";"(natürliche Person)";"ABR967894602232";"19.6.2023"
"SEE907849202681";"Hausdach";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,84";"9,84";"90559";"Burgthann";"(natürliche Person)";"ABR964861460697";"1.7.2023"
"SEE934385464617";"Grado";"In Betrieb";"1.9.2022";"11.1.2023";"Solare Strahlungsenergie";"7";"7";"93138";"Lappersdorf";"(natürliche Person)";"ABR923347745734";"11.1.2023"
"SEE909032795123";"Hausdach";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,6";"8";"94428";"Eichendorf";"(natürliche Person)";"ABR924112115219";"11.1.2023"
"SEE915182198660";"PV Perlingerweg";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"12,15";"10";"93437";"Furth im Wald";"(natürliche Person)";"ABR920243194192";"9.2.2023"
"SEE919511428800";"Photovoltaik_1_L";"In Betrieb";"22.12.2022";"11.1.2023";"Solare Strahlungsenergie";"12";"10";"63846";"Laufach";"(natürliche Person)";"ABR979326621346";"11.1.2023"
"SEE970030233047";"Hausdach";"In Betrieb";"10.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,36";"9,36";"96049";"Bamberg";"(natürliche Person)";"ABR996405740057";"20.12.2023"
"SEE947462991364";"Halle PV1";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"9,84";"9,84";"97456";"Dittelbrunn";"(natürliche Person)";"ABR994594660651";"31.7.2023"
"SEE927192580380";"Hazele PV-Anlage 1";"In Betrieb";"9.1.2023";"11.1.2023";"Solare Strahlungsenergie";"14,35";"10";"97688";"Bad Kissingen";"(natürliche Person)";"ABR987819036638";"22.3.2023"
"SEE907849367502";"Anlage 1";"In Betrieb";"11.1.2023";"11.1.2023";"Solare Strahlungsenergie";"20,8";"16";"85757";"Karlsfeld";"(natürliche Person)";"ABR971331065092";"27.3.2023"
"SEE954868821799";"PV-Anlage";"In Betrieb";"4.1.2023";"11.1.2023";"Solare Strahlungsenergie";"8,1";"8,1";"97475";"Zeil";"(natürliche Person)";"ABR937291542240";"23.7.2023"
"SEE999118803064";"Hausdach";"In Betrieb";"19.12.2022";"11.1.2023";"Solare Strahlungsenergie";"6,8";"6,8";"82275";"Emmering";"(natürliche Person)";"ABR991532440313";"1.2.2023"
"SEE946978571459";"pv1";"In Betrieb";"12.1.2023";"11.1.2023";"Solare Strahlungsenergie";"14,76";"12";"93468";"Miltach";"(natürliche Person)";"ABR916941987341";"22.9.2023"
