"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE981037393986";"Balkonkraftwerk";"In Betrieb";"25.7.2023";"18.10.2023";"Solare Strahlungsenergie";"0,83";"0,6";"94036";"Passau";"(natürliche Person)";"ABR946336753749";"21.11.2023"
"SEE962933235334";"Dachkraftwerk";"In Betrieb";"21.9.2023";"18.10.2023";"Solare Strahlungsenergie";"8,82";"8,82";"90562";"Kalchreuth";"(natürliche Person)";"ABR929950817561";"5.3.2024"
"SEE948533689777";"Garage";"In Betrieb";"17.8.2023";"18.10.2023";"Solare Strahlungsenergie";"7,3";"7,3";"85053";"Ingolstadt";"(natürliche Person)";"ABR964016548096";"18.10.2023"
"SEE955204015780";"Carport";"In Betrieb";"17.10.2023";"18.10.2023";"Solare Strahlungsenergie";"3,32";"3";"93471";"Arnbruck";"(natürliche Person)";"ABR969326829132";"18.10.2023"
"SEE908350772571";"PV-Anlage auf Feldscheune";"In Betrieb";"2.5.2023";"18.10.2023";"Solare Strahlungsenergie";"18";"18";"97714";"Oerlenbach";"(natürliche Person)";"ABR994601788002";"18.10.2023"
"SEE934037264671";"Gartengerätehaus";"In Betrieb";"17.10.2023";"18.10.2023";"Solare Strahlungsenergie";"1,09";"0,6";"96450";"Coburg";"(natürliche Person)";"ABR959619756917";"18.10.2023"
"SEE955505246180";"ABR996633323176";"In Betrieb";"11.5.2023";"18.10.2023";"Solare Strahlungsenergie";"9,24";"8";"89343";"Jettingen-Scheppach";"(natürliche Person)";"ABR996633323176";"21.2.2024"
"SEE924171970262";"FHDBRpv23!";"In Betrieb";"15.10.2023";"18.10.2023";"Solare Strahlungsenergie";"12,18";"10";"97517";"Rannungen";"(natürliche Person)";"ABR977608748569";"18.10.2023"
"SEE933158466827";"Hausdach";"In Betrieb";"4.10.2023";"18.10.2023";"Solare Strahlungsenergie";"9,84";"8";"84051";"Essenbach";"(natürliche Person)";"ABR993659837540";"23.10.2023"
"SEE993087941949";"PV Anlage Frost";"In Betrieb";"1.8.2023";"18.10.2023";"Solare Strahlungsenergie";"16,185";"14";"84307";"Eggenfelden";"(natürliche Person)";"ABR926047954925";"18.10.2023"
"SEE928057915958";"Balkonkraftwerk";"In Betrieb";"22.9.2023";"18.10.2023";"Solare Strahlungsenergie";"0,77";"0,6";"91598";"Colmberg";"(natürliche Person)";"ABR963556560704";"18.10.2023"
