"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE982195437901";"Hausdach";"In Betrieb";"15.9.2023";"21.9.2023";"Solare Strahlungsenergie";"7,055";"6";"91278";"Pottenstein";"(natürliche Person)";"ABR929679416168";"21.9.2023"
"SEE937891716881";"PV Srock";"In Betrieb";"21.9.2023";"21.9.2023";"Solare Strahlungsenergie";"14,08";"10";"86836";"Klosterlechfeld";"(natürliche Person)";"ABR969922089992";"21.9.2023"
"SEE994195067088";"Familie Amelang-Schmidt";"In Betrieb";"21.9.2023";"21.9.2023";"Solare Strahlungsenergie";"11,745";"10";"85459";"Berglern";"(natürliche Person)";"ABR907383119896";"5.12.2023"
"SEE945955764969";"Balkonkraftwerk";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"0,83";"0,6";"91227";"Leinburg";"(natürliche Person)";"ABR931561680120";"21.9.2023"
"SEE939332425802";"Hausdach";"In Betrieb";"15.11.2022";"21.9.2023";"Solare Strahlungsenergie";"3,24";"3";"97320";"Albertshofen";"(natürliche Person)";"ABR926856107246";"19.10.2023"
"SEE995423400462";"PV Anlage01";"In Betrieb";"13.9.2023";"21.9.2023";"Solare Strahlungsenergie";"7,98";"7,98";"91465";"Ergersheim";"(natürliche Person)";"ABR950062311418";"21.9.2023"
"SEE993713475831";"PV-Anlage mit 14,79 kWp (2023)";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"14,79";"10";"85293";"Reichertshausen";"(natürliche Person)";"ABR979715037901";"21.9.2023"
"SEE945577070707";"Hausdach";"In Betrieb";"7.7.2023";"21.9.2023";"Solare Strahlungsenergie";"7,38";"7,38";"90602";"Pyrbaum";"(natürliche Person)";"ABR959268245923";"8.2.2024"
"SEE972294093160";"Hausdach";"In Betrieb";"19.6.2023";"21.9.2023";"Solare Strahlungsenergie";"13,32";"9,6";"97253";"Gaukönigshofen";"(natürliche Person)";"ABR976984121492";"21.9.2023"
"SEE951414815066";"Holzhütte";"In Betrieb";"20.10.2022";"21.9.2023";"Solare Strahlungsenergie";"5,32";"5";"85649";"Brunnthal";"(natürliche Person)";"ABR935621145970";"5.2.2024"
"SEE989481024746";"Balkonkraftwerk";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"0,8";"0,6";"92224";"Amberg";"(natürliche Person)";"ABR961792120072";"27.1.2024"
"SEE980186253240";"Pergula";"In Betrieb";"15.9.2023";"21.9.2023";"Solare Strahlungsenergie";"7,3";"7,3";"97688";"Bad Kissingen";"(natürliche Person)";"ABR982509939145";"21.9.2023"
"SEE988185847903";"PV-Anlage (Willy-Brandt-Str. 4)";"In Betrieb";"20.7.2023";"21.9.2023";"Solare Strahlungsenergie";"10";"8";"93133";"Burglengenfeld";"(natürliche Person)";"ABR954617996105";"10.1.2024"
"SEE928935091859";"Schauerhof";"In Betrieb";"21.9.2023";"21.9.2023";"Solare Strahlungsenergie";"10,79";"10";"94209";"Regen";"(natürliche Person)";"ABR946644569797";"2.11.2023"
"SEE946021232207";"Hausdach Richtung Osten";"In Betrieb";"11.5.2023";"21.9.2023";"Solare Strahlungsenergie";"7,68";"7,68";"91785";"Pleinfeld";"(natürliche Person)";"ABR958202182591";"21.9.2023"
"SEE950658139167";"BKW Garage";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"0,82";"0,6";"84034";"Landshut";"(natürliche Person)";"ABR923540627684";"21.9.2023"
"SEE933530848715";"Spruegel3";"In Betrieb";"1.9.2023";"21.9.2023";"Solare Strahlungsenergie";"15,58";"13";"63868";"Großwallstadt";"(natürliche Person)";"ABR948889365455";"21.9.2023"
"SEE920154475052";"Hausdachanlage (Norddach)";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"5,53";"5,53";"96486";"Lautertal";"(natürliche Person)";"ABR902495232570";"31.10.2023"
"SEE946805193427";"Balkonanlage";"In Betrieb";"10.8.2023";"21.9.2023";"Solare Strahlungsenergie";"0,6";"0,36";"92265";"Edelsfeld";"(natürliche Person)";"ABR970599237173";"21.9.2023"
"SEE948284050963";"PV Anlage Fichtelberg";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"5,25";"5,25";"95686";"Fichtelberg";"(natürliche Person)";"ABR921566960792";"21.9.2023"
"SEE901096714782";"PV-Anlage";"In Betrieb";"12.9.2023";"21.9.2023";"Solare Strahlungsenergie";"12";"11,8";"82285";"Hattenhofen";"(natürliche Person)";"ABR996317209581";"9.2.2024"
"SEE984531236476";"Hausdach";"In Betrieb";"25.7.2023";"21.9.2023";"Solare Strahlungsenergie";"7,56";"5";"91207";"Lauf";"(natürliche Person)";"ABR971352116773";"23.12.2023"
"SEE983312073279";"PVNEF9NEN";"In Betrieb";"19.9.2023";"21.9.2023";"Solare Strahlungsenergie";"10";"10";"92431";"Neunburg";"(natürliche Person)";"ABR936637665353";"21.9.2023"
"SEE995840987768";"Stinnauer84";"In Betrieb";"8.5.2023";"21.9.2023";"Solare Strahlungsenergie";"9,72";"9,72";"84424";"Isen";"(natürliche Person)";"ABR975909955570";"13.2.2024"
"SEE911313684507";"Dach";"In Betrieb";"18.9.2023";"21.9.2023";"Solare Strahlungsenergie";"0,82";"0,6";"63776";"Mömbris";"(natürliche Person)";"ABR932342946343";"21.12.2023"
"SEE928865894346";"PV-Anlage";"In Betrieb";"31.8.2023";"21.9.2023";"Solare Strahlungsenergie";"9,12";"8";"89264";"Weißenhorn";"(natürliche Person)";"ABR915938011441";"29.2.2024"
"SEE946197134770";"Wohnhaus";"In Betrieb";"20.9.2023";"21.9.2023";"Solare Strahlungsenergie";"11,76";"10";"87719";"Mindelheim";"(natürliche Person)";"ABR952056754928";"21.9.2023"
"SEE950103950675";"SoHeRe";"In Betrieb";"1.8.2023";"21.9.2023";"Solare Strahlungsenergie";"4";"4";"86343";"Königsbrunn";"(natürliche Person)";"ABR940498267953";"7.11.2023"
"SEE958897355058";"Huettendach";"In Betrieb";"17.6.2023";"21.9.2023";"Solare Strahlungsenergie";"0,76";"0,6";"84453";"Mühldorf";"(natürliche Person)";"ABR979958141182";"21.9.2023"
"SEE985897622705";"PV Anlage";"In Betrieb";"18.9.2023";"21.9.2023";"Solare Strahlungsenergie";"10,5";"10,5";"91207";"Lauf";"(natürliche Person)";"ABR998333733927";"21.9.2023"
"SEE962049284189";"Balkonkraftwerk";"In Betrieb";"31.5.2023";"21.9.2023";"Solare Strahlungsenergie";"0,6";"0,6";"86633";"Neuburg";"(natürliche Person)";"ABR921327234544";"21.9.2023"
"SEE901937133628";"Hauptgebäude";"In Betrieb";"14.9.2023";"21.9.2023";"Solare Strahlungsenergie";"45";"30";"94356";"Kirchroth";"DonauWald Forstmaschinen GmbH & Co. KG";"ABR922248982941";"8.11.2023"
"SEE965152612214";"PV Anlage";"In Betrieb";"18.9.2023";"21.9.2023";"Solare Strahlungsenergie";"8,3";"7,5";"97762";"Hammelburg";"(natürliche Person)";"ABR936912117942";"21.9.2023"
"SEE907525551904";"C000657026_EP_Hausdach";"In Betrieb";"7.8.2023";"21.9.2023";"Solare Strahlungsenergie";"11,07";"8,8";"91522";"Ansbach";"(natürliche Person)";"ABR978787064129";"4.12.2023"
"SEE971965698628";"Wintergarten-Balkonkraftwerk";"In Betrieb";"15.9.2023";"21.9.2023";"Solare Strahlungsenergie";"0,84";"0,8";"83135";"Schechen";"(natürliche Person)";"ABR973376734049";"21.9.2023"
"SEE933793159962";"PV Anlage Stall";"In Betrieb";"30.6.2023";"21.9.2023";"Solare Strahlungsenergie";"39,36";"30";"95473";"Creußen";"(natürliche Person)";"ABR903843148413";"17.11.2023"
"SEE954782500497";"Hausdach";"In Betrieb";"21.9.2023";"21.9.2023";"Solare Strahlungsenergie";"12,45";"10";"95326";"Kulmbach";"(natürliche Person)";"ABR978059228174";"21.9.2023"
"SEE900318635270";"priFlat Quattro";"In Betrieb";"9.7.2023";"21.9.2023";"Solare Strahlungsenergie";"1,64";"0,6";"85540";"Haar";"(natürliche Person)";"ABR959300347820";"28.9.2023"
