"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE915606530892";"Hofham";"In Betrieb";"29.8.2023";"5.9.2023";"Solare Strahlungsenergie";"7,79";"7,79";"84174";"Eching";"(natürliche Person)";"ABR991044831975";"5.9.2023"
"SEE943343093868";"PV-Anlage SN OBW Dach";"In Betrieb";"27.7.2023";"5.9.2023";"Solare Strahlungsenergie";"7,98";"7,98";"97464";"Niederwerrn";"(natürliche Person)";"ABR928537857266";"28.2.2024"
"SEE979282922297";"MS2-WEND-PV";"In Betrieb";"31.8.2023";"5.9.2023";"Solare Strahlungsenergie";"8,925";"8";"86690";"Mertingen";"(natürliche Person)";"ABR931396558069";"7.3.2024"
"SEE978907455929";"Wohnhaus";"In Betrieb";"5.9.2023";"5.9.2023";"Solare Strahlungsenergie";"14,525";"10";"84427";"Sankt Wolfgang";"(natürliche Person)";"ABR905360479582";"20.2.2024"
"SEE909733114483";"Balkonkraftwerk";"In Betrieb";"26.8.2023";"5.9.2023";"Solare Strahlungsenergie";"0,82";"0,6";"94372";"Rattiszell";"(natürliche Person)";"ABR901685547708";"2.11.2023"
"SEE946219715093";"Balkonkraftwerk Arbeitszimmer";"In Betrieb";"5.9.2023";"5.9.2023";"Solare Strahlungsenergie";"0,93";"0,93";"90763";"Fürth";"(natürliche Person)";"ABR989748439436";"5.9.2023"
"SEE906601604985";"Photovoltaik";"In Betrieb";"4.9.2023";"5.9.2023";"Solare Strahlungsenergie";"11,34";"10";"91083";"Baiersdorf";"(natürliche Person)";"ABR907205347421";"5.9.2023"
"SEE934605959022";"PV-Anlage";"In Betrieb";"10.8.2023";"5.9.2023";"Solare Strahlungsenergie";"0,83";"0,6";"95236";"Stammbach";"(natürliche Person)";"ABR925873581367";"5.9.2023"
"SEE979781765999";"Solar Hausdach";"In Betrieb";"5.9.2023";"5.9.2023";"Solare Strahlungsenergie";"5,25";"5";"63906";"Erlenbach";"(natürliche Person)";"ABR985868946335";"9.11.2023"
"SEE958134999991";"PV Eichenstraße 20";"In Betrieb";"5.9.2023";"5.9.2023";"Solare Strahlungsenergie";"7,83";"7,83";"86561";"Aresing";"(natürliche Person)";"ABR974515497382";"5.9.2023"
"SEE975141318553";"PV-Anlage";"In Betrieb";"17.8.2023";"5.9.2023";"Solare Strahlungsenergie";"29,6";"27";"94315";"Straubing";"(natürliche Person)";"ABR909597329030";"16.12.2023"
"SEE946246295254";"Hausdach";"In Betrieb";"25.8.2023";"5.9.2023";"Solare Strahlungsenergie";"10,78";"10";"84051";"Essenbach";"(natürliche Person)";"ABR928696850665";"6.9.2023"
"SEE932232746732";"PV-Bambi";"In Betrieb";"23.8.2023";"5.9.2023";"Solare Strahlungsenergie";"11";"11";"92339";"Beilngries";"(natürliche Person)";"ABR997441517184";"5.9.2023"
"SEE984011838213";"PV-Anlage";"In Betrieb";"9.8.2023";"5.9.2023";"Solare Strahlungsenergie";"9,02";"8,8";"83052";"Bruckmühl";"(natürliche Person)";"ABR993898952295";"29.12.2023"
"SEE993574990993";"Hausdach Süden";"In Betrieb";"4.8.2023";"5.9.2023";"Solare Strahlungsenergie";"11,31";"8";"94065";"Waldkirchen";"(natürliche Person)";"ABR956042192534";"5.9.2023"
