"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE905194695080";"Stromhalle";"In Betrieb";"27.5.2015";"18.11.2020";"Solare Strahlungsenergie";"18,36";"16";"90613";"Großhabersdorf";"(natürliche Person)";"ABR966836408079";"18.1.2021"
"SEE906446732416";"Neue Anlage alter Stall";"In Betrieb";"30.6.2020";"18.11.2020";"Solare Strahlungsenergie";"29,24";"29,24";"91595";"Burgoberbach";"(natürliche Person)";"ABR927907437619";"17.1.2021"
"SEE970121904740";"Hausdach";"In Betrieb";"13.11.2020";"18.11.2020";"Solare Strahlungsenergie";"9,92";"9,2";"97499";"Donnersdorf";"(natürliche Person)";"ABR913462020021";"22.2.2021"
"SEE913925901935";"Schuppen";"In Betrieb";"4.10.2020";"18.11.2020";"Solare Strahlungsenergie";"7,37";"5";"93466";"Chamerau";"(natürliche Person)";"ABR932972947345";"31.8.2021"
"SEE963097605612";"Solaranlage Hallendach Carl-von-Linde-Straße 6";"In Betrieb";"5.11.2020";"18.11.2020";"Solare Strahlungsenergie";"299,88";"250";"86551";"Aichach";"Johannes Ankner Vermietung";"ABR970332591425";"24.5.2022"
"SEE912045860566";"Dach PV";"In Betrieb";"18.11.2020";"18.11.2020";"Solare Strahlungsenergie";"9,72";"9,72";"83364";"Neukirchen a.Teisenberg";"(natürliche Person)";"ABR988153956880";"18.11.2020"
"SEE988142184126";"5,180KWP Bachweg 6";"In Betrieb";"16.11.2020";"18.11.2020";"Solare Strahlungsenergie";"5,18";"5,18";"94065";"Waldkirchen";"(natürliche Person)";"ABR963780988657";"21.12.2020"
"SEE991052339326";"PV-Anlage mit 1,425 kWp (2020)";"In Betrieb";"11.11.2020";"18.11.2020";"Solare Strahlungsenergie";"1,425";"1,425";"85049";"Ingolstadt";"(natürliche Person)";"ABR927566284432";"7.4.2021"
"SEE917556455805";"Hausdach";"In Betrieb";"19.6.2018";"18.11.2020";"Solare Strahlungsenergie";"8,37";"8,37";"83471";"Schönau";"(natürliche Person)";"ABR960550010044";"27.12.2020"
"SEE903419680460";"Hausdach";"In Betrieb";"16.11.2020";"18.11.2020";"Solare Strahlungsenergie";"9,26";"8";"85354";"Freising";"(natürliche Person)";"ABR958068615844";"4.3.2021"
