"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE945278370472";"Lenaustraße 4";"In Betrieb";"2.1.2023";"6.2.2023";"Solare Strahlungsenergie";"28,86";"25";"96465";"Neustadt";"Gemeinnützige Wohnungsbaugenossenschaft Neustadt bei Coburg eG";"ABR986828551002";"7.3.2023"
"SEE926284200625";"PV-Anlage";"In Betrieb";"24.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,75";"9,75";"87534";"Oberstaufen";"(natürliche Person)";"ABR961612472046";"4.5.2023"
"SEE957420215838";"Hausdach hinten süd";"In Betrieb";"30.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,9";"9,9";"83342";"Tacherting";"(natürliche Person)";"ABR969761622688";"13.2.2024"
"SEE988368908452";"Hausdach";"In Betrieb";"11.7.2022";"6.2.2023";"Solare Strahlungsenergie";"9,9";"9,9";"86356";"Neusäß";"(natürliche Person)";"ABR965432554890";"3.6.2023"
"SEE995666103458";"Gar. Ostlandstr. 20/22";"In Betrieb";"2.1.2023";"6.2.2023";"Solare Strahlungsenergie";"45,6";"44";"96465";"Neustadt";"Gemeinnützige Wohnungsbaugenossenschaft Neustadt bei Coburg eG";"ABR986828551002";"6.9.2023"
"SEE935654366335";"Hausdach";"In Betrieb";"1.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,3";"9,3";"94065";"Waldkirchen";"(natürliche Person)";"ABR917693643301";"26.12.2023"
"SEE940176667983";"Hausdach-Süd_25";"In Betrieb";"31.1.2023";"6.2.2023";"Solare Strahlungsenergie";"10,25";"10";"91207";"Lauf";"(natürliche Person)";"ABR944454494339";"21.6.2023"
"SEE917323076080";"Hausdach";"In Betrieb";"21.9.2022";"6.2.2023";"Solare Strahlungsenergie";"12";"10";"86899";"Landsberg";"Raumausstattung Heigl GbR";"ABR994439315784";"26.5.2023"
"SEE951329980613";"Pv Anlage";"In Betrieb";"26.1.2023";"6.2.2023";"Solare Strahlungsenergie";"12,555";"8";"86508";"Rehling";"(natürliche Person)";"ABR947208181219";"29.12.2023"
"SEE970214663882";"SolarGoodwe";"In Betrieb";"29.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,6";"9,6";"87439";"Kempten";"(natürliche Person)";"ABR915458859400";"7.7.2023"
"SEE948734656158";"Mini-PV-Sonne";"In Betrieb";"7.1.2023";"6.2.2023";"Solare Strahlungsenergie";"0,75";"0,6";"90537";"Feucht";"(natürliche Person)";"ABR910354998178";"6.2.2023"
"SEE977657995983";"Untere Stadt 2";"In Betrieb";"17.1.2023";"6.2.2023";"Solare Strahlungsenergie";"16";"16";"84137";"Vilsbiburg";"ZOLLNER Heimtextil GmbH";"ABR980645183514";"6.2.2023"
"SEE907085969638";"Photovoltaik";"In Betrieb";"25.1.2023";"6.2.2023";"Solare Strahlungsenergie";"13,2";"10";"96114";"Hirschaid";"(natürliche Person)";"ABR967647227743";"26.2.2024"
"SEE913308385918";"WalliPV";"In Betrieb";"31.1.2023";"6.2.2023";"Solare Strahlungsenergie";"16,5";"14";"93173";"Wenzenbach";"(natürliche Person)";"ABR913678982205";"24.8.2023"
"SEE932809376348";"Sudetenstr. 13";"In Betrieb";"2.1.2023";"6.2.2023";"Solare Strahlungsenergie";"26,4";"22";"96465";"Neustadt";"Gemeinnützige Wohnungsbaugenossenschaft Neustadt bei Coburg eG";"ABR986828551002";"6.2.2023"
"SEE948842161292";"Sudetenstr. 15";"In Betrieb";"2.1.2023";"6.2.2023";"Solare Strahlungsenergie";"26,4";"22";"96465";"Neustadt";"Gemeinnützige Wohnungsbaugenossenschaft Neustadt bei Coburg eG";"ABR986828551002";"6.2.2023"
"SEE937678359201";"Hausdach";"In Betrieb";"2.1.2023";"6.2.2023";"Solare Strahlungsenergie";"8,51";"8,51";"90571";"Schwaig";"(natürliche Person)";"ABR906099053951";"21.4.2023"
"SEE930537119077";"Photovoltaik";"In Betrieb";"31.1.2023";"6.2.2023";"Solare Strahlungsenergie";"28,56";"25";"93158";"Teublitz";"(natürliche Person)";"ABR984722807980";"12.6.2023"
"SEE972004263609";"Dachkraftwerk";"In Betrieb";"24.1.2023";"6.2.2023";"Solare Strahlungsenergie";"12,32";"12,32";"97320";"Sulzfeld";"(natürliche Person)";"ABR973114162936";"26.6.2023"
"SEE988510894947";"Ortis-Häuschenkraftwerk2023";"In Betrieb";"6.2.2023";"6.2.2023";"Solare Strahlungsenergie";"0,88";"0,6";"97654";"Bastheim";"(natürliche Person)";"ABR989533198241";"6.2.2023"
"SEE914239930437";"PV2 H37a";"In Betrieb";"1.12.2022";"6.2.2023";"Solare Strahlungsenergie";"5,33";"5,33";"85570";"Markt Schwaben";"(natürliche Person)";"ABR982848090521";"3.5.2023"
"SEE983047588710";"Balkonanlage mit 2 Modulen";"In Betrieb";"20.1.2023";"6.2.2023";"Solare Strahlungsenergie";"0,79";"0,6";"93449";"Waldmünchen";"(natürliche Person)";"ABR961722426274";"6.2.2023"
"SEE924822025037";"PV_53c";"In Betrieb";"3.2.2023";"6.2.2023";"Solare Strahlungsenergie";"9,625";"9,625";"85354";"Freising";"(natürliche Person)";"ABR905293154341";"2.2.2024"
"SEE984466038282";"PV-Anlage Hausdach";"In Betrieb";"23.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,2";"8,5";"92256";"Hahnbach";"(natürliche Person)";"ABR953660205707";"20.9.2023"
"SEE902768695446";"Rinderstall";"In Betrieb";"6.2.2023";"6.2.2023";"Solare Strahlungsenergie";"8,36";"8,36";"83119";"Obing";"(natürliche Person)";"ABR952508728545";"7.6.2023"
"SEE993575759377";"PV Hausdach";"In Betrieb";"1.2.2023";"6.2.2023";"Solare Strahlungsenergie";"15";"15";"93055";"Regensburg";"(natürliche Person)";"ABR959954767470";"14.12.2023"
"SEE977085345015";"PV-Falterweg 4";"In Betrieb";"3.2.2023";"6.2.2023";"Solare Strahlungsenergie";"10";"9,2";"86199";"Augsburg";"(natürliche Person)";"ABR977413764853";"27.4.2023"
"SEE994403721184";"Growatt Balkonkraftwerk";"In Betrieb";"6.2.2023";"6.2.2023";"Solare Strahlungsenergie";"0,81";"0,6";"90579";"Langenzenn";"(natürliche Person)";"ABR920237845826";"6.2.2023"
"SEE964643500993";"Hausdach";"In Betrieb";"3.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,75";"9,75";"92546";"Schmidgaden";"(natürliche Person)";"ABR959732880483";"24.8.2023"
"SEE956486166207";"PV-Anlage Hausdach";"In Betrieb";"6.2.2023";"6.2.2023";"Solare Strahlungsenergie";"4,86";"4,86";"89264";"Weißenhorn";"(natürliche Person)";"ABR999770483147";"6.2.2023"
"SEE927097558002";"Hausdach";"In Betrieb";"12.7.2022";"6.2.2023";"Solare Strahlungsenergie";"9,43";"8";"97488";"Stadtlauringen";"(natürliche Person)";"ABR919309261800";"21.2.2023"
"SEE948635491834";"Hausdach";"In Betrieb";"1.2.2023";"6.2.2023";"Solare Strahlungsenergie";"7,98";"7,98";"97337";"Dettelbach";"(natürliche Person)";"ABR944509566431";"7.12.2023"
"SEE947129950161";"Balkonkraftwerk";"In Betrieb";"4.2.2023";"6.2.2023";"Solare Strahlungsenergie";"0,76";"0,6";"92224";"Amberg";"(natürliche Person)";"ABR907784620762";"28.6.2023"
"SEE954387281340";"Hausdach";"In Betrieb";"4.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,72";"8,6";"97422";"Schweinfurt";"(natürliche Person)";"ABR944817493269";"17.3.2023"
"SEE975295793350";"Wohnhaus";"In Betrieb";"4.2.2023";"6.2.2023";"Solare Strahlungsenergie";"9,375";"9,375";"94161";"Ruderting";"(natürliche Person)";"ABR964601372921";"6.2.2023"
"SEE976805003495";"Balkonkraftwerk 600 Watt";"In Betrieb";"6.2.2023";"6.2.2023";"Solare Strahlungsenergie";"0,75";"0,6";"93142";"Maxhütte-Haidhof";"(natürliche Person)";"ABR923661452011";"6.2.2023"
"SEE935290139027";"Hausdach";"In Betrieb";"11.1.2023";"6.2.2023";"Solare Strahlungsenergie";"9,12";"9,12";"89359";"Kötz";"(natürliche Person)";"ABR922788911715";"17.9.2023"
"SEE927963518918";"PV-Wohnhaus";"In Betrieb";"23.1.2023";"6.2.2023";"Solare Strahlungsenergie";"13";"12";"97215";"Uffenheim";"(natürliche Person)";"ABR972868580669";"13.9.2023"
"SEE965540860074";"PV Heide 2h";"In Betrieb";"26.1.2023";"6.2.2023";"Solare Strahlungsenergie";"7,6";"7,6";"90587";"Veitsbronn";"(natürliche Person)";"ABR946026108118";"21.8.2023"
