"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE952267409105";"Physiodach";"In Betrieb";"31.7.2019";"15.11.2019";"Solare Strahlungsenergie";"7,2";"4,6";"97342";"Obernbreit";"(natürliche Person)";"ABR922667798826";"20.12.2019"
"SEE952439261449";"PV-Anlage";"In Betrieb";"14.11.2019";"15.11.2019";"Solare Strahlungsenergie";"4,96";"4,96";"82409";"Wildsteig";"(natürliche Person)";"ABR940689475570";"19.3.2020"
"SEE942421355690";"HJW_Hausdach";"In Betrieb";"30.10.2019";"15.11.2019";"Solare Strahlungsenergie";"3,84";"3,84";"92364";"Deining";"(natürliche Person)";"ABR958259176956";"15.11.2019"
"SEE921116361826";"Mikro-PV";"In Betrieb";"14.11.2019";"15.11.2019";"Solare Strahlungsenergie";"0,25";"0,25";"85579";"Neubiberg";"(natürliche Person)";"ABR914857366014";"15.11.2019"
"SEE943598672931";"PV-Anlage 2019";"In Betrieb";"28.10.2019";"15.11.2019";"Solare Strahlungsenergie";"8,96";"8,2";"97488";"Stadtlauringen";"(natürliche Person)";"ABR931171375638";"20.11.2020"
"SEE967813739063";"Aufdachphotovoltaikanlange";"In Betrieb";"18.10.2019";"15.11.2019";"Solare Strahlungsenergie";"9,9";"8,6";"97353";"Wiesentheid";"(natürliche Person)";"ABR905554481582";"18.5.2020"
"SEE977738166387";"PiMa Au";"In Betrieb";"11.11.2019";"15.11.2019";"Solare Strahlungsenergie";"29,25";"27,6";"89335";"Ichenhausen";"(natürliche Person)";"ABR932824018308";"1.7.2020"
"SEE940640444713";"PV-Anlage 2019";"In Betrieb";"28.10.2019";"15.11.2019";"Solare Strahlungsenergie";"9,92";"8,2";"97656";"Oberelsbach";"(natürliche Person)";"ABR986281850872";"18.2.2021"
"SEE901040515236";"PV H";"In Betrieb";"9.9.2019";"15.11.2019";"Solare Strahlungsenergie";"9,75";"9,75";"84100";"Niederaichbach";"(natürliche Person)";"ABR907685466520";"31.10.2022"
"SEE927187065502";"PV Haupthaus 82,36 Kwp";"In Betrieb";"5.9.2019";"15.11.2019";"Solare Strahlungsenergie";"82,36";"82,36";"85716";"Unterschleißheim";"(natürliche Person)";"ABR965567082183";"28.4.2020"
"SEE973634198019";"BB4";"In Betrieb";"31.10.2019";"15.11.2019";"Solare Strahlungsenergie";"9,1";"7";"85410";"Haag";"(natürliche Person)";"ABR953591659457";"29.3.2020"
"SEE966219399802";"PV-Anlage 2019";"In Betrieb";"25.9.2019";"15.11.2019";"Solare Strahlungsenergie";"9,92";"8,2";"97618";"Hohenroth";"(natürliche Person)";"ABR932401505788";"19.11.2019"
"SEE937901914672";"Lagerhaus Unk 2018";"In Betrieb";"20.4.2018";"15.11.2019";"Solare Strahlungsenergie";"25,92";"25,55";"84579";"Unterneukirchen";"Raiffeisen-Volksbank Tüßling-Unterneukirchen eG";"ABR947601053427";"21.12.2023"
"SEE924992516038";"PV-Eyrich";"In Betrieb";"16.10.2019";"15.11.2019";"Solare Strahlungsenergie";"9,3";"8,2";"97836";"Bischbrunn";"(natürliche Person)";"ABR935198183221";"15.11.2019"
"SEE947565821902";"Photovoltaik 1";"In Betrieb";"29.10.2019";"15.11.2019";"Solare Strahlungsenergie";"9,92";"9,92";"94447";"Plattling";"(natürliche Person)";"ABR927198111960";"4.5.2021"
"SEE985086752664";"Raiff Unk 2018";"In Betrieb";"23.3.2018";"15.11.2019";"Solare Strahlungsenergie";"27";"25,55";"84579";"Unterneukirchen";"Raiffeisen-Volksbank Tüßling-Unterneukirchen eG";"ABR947601053427";"27.4.2021"
"SEE970959458880";"PV-Anlage 2019";"In Betrieb";"16.9.2019";"15.11.2019";"Solare Strahlungsenergie";"9,92";"8,2";"91617";"Oberdachstetten";"(natürliche Person)";"ABR927860168117";"15.12.2022"
"SEE982265825058";"Hausdach";"In Betrieb";"7.11.2019";"15.11.2019";"Solare Strahlungsenergie";"9,9";"8";"93352";"Rohr";"(natürliche Person)";"ABR957997012014";"15.11.2019"
"SEE920599324212";"Solaranlage J. Beginn";"In Betrieb";"27.7.2017";"15.11.2019";"Solare Strahlungsenergie";"5,4";"5,4";"82284";"Grafrath";"(natürliche Person)";"ABR935351995678";"15.12.2020"
"SEE968293779495";"PV-Anlage 2019";"In Betrieb";"28.10.2019";"15.11.2019";"Solare Strahlungsenergie";"9,9";"9,2";"97532";"Üchtelhausen";"(natürliche Person)";"ABR946283587473";"28.10.2020"
"SEE997639226348";"PV-Anlage 2019";"In Betrieb";"30.7.2019";"15.11.2019";"Solare Strahlungsenergie";"18,56";"17,5";"97508";"Grettstadt";"(natürliche Person)";"ABR982779664389";"15.11.2019"
"SEE990207772056";"Hausdach";"In Betrieb";"31.10.2019";"15.11.2019";"Solare Strahlungsenergie";"24,18";"24,18";"84152";"Mengkofen";"(natürliche Person)";"ABR912537650231";"10.10.2023"
"SEE958186001697";"Hausdach";"In Betrieb";"12.10.2019";"15.11.2019";"Solare Strahlungsenergie";"6,5";"6";"91180";"Heideck";"(natürliche Person)";"ABR986563293441";"6.9.2020"
"SEE917467265630";"Garage West";"In Betrieb";"9.6.2015";"15.11.2019";"Solare Strahlungsenergie";"9,3";"9";"86833";"Ettringen";"(natürliche Person)";"ABR953558047167";"14.2.2020"
"SEE979337376655";"PV-Anlage";"In Betrieb";"14.11.2019";"15.11.2019";"Solare Strahlungsenergie";"9,9";"9,2";"90592";"Schwarzenbruck";"(natürliche Person)";"ABR958702728480";"15.11.2019"
"SEE978629620384";"PV Anlage";"In Betrieb";"14.11.2019";"15.11.2019";"Solare Strahlungsenergie";"27,805";"25";"94060";"Pocking";"(natürliche Person)";"ABR974637335432";"15.11.2019"
"SEE996507419103";"KNAXQ";"In Betrieb";"15.11.2019";"15.11.2019";"Solare Strahlungsenergie";"9,3";"8";"82541";"Münsing";"(natürliche Person)";"ABR978535269738";"14.2.2024"
"SEE906221029595";"OstWest531";"In Betrieb";"6.6.2017";"15.11.2019";"Solare Strahlungsenergie";"5,31";"5,31";"86720";"Nördlingen";"(natürliche Person)";"ABR938617068901";"1.3.2021"
