"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE924765341041";"Hausdach";"In Betrieb";"27.9.2017";"4.3.2019";"Solare Strahlungsenergie";"9,075";"9,075";"89231";"Neu-Ulm";"(natürliche Person)";"ABR959350670817";"3.12.2019"
"SEE930050025381";"Hausdach";"In Betrieb";"12.1.2015";"4.3.2019";"Solare Strahlungsenergie";"10";"10";"94357";"Konzell";"(natürliche Person)";"ABR960810122630";"27.8.2019"
"SEE935287239594";"Zwiebellagerhalle";"In Betrieb";"8.6.2018";"4.3.2019";"Solare Strahlungsenergie";"213,96";"213,96";"94522";"Wallersdorf";"(natürliche Person)";"ABR937826110784";"28.5.2019"
"SEE930195974094";"Zanker-Stodl";"In Betrieb";"12.11.2018";"4.3.2019";"Solare Strahlungsenergie";"25,2";"25,2";"94501";"Beutelsbach";"(natürliche Person)";"ABR927375907683";"28.5.2019"
"SEE910900029752";"PV-Anlage Hausdach";"In Betrieb";"12.6.2018";"4.3.2019";"Solare Strahlungsenergie";"6,72";"6,72";"93449";"Waldmünchen";"(natürliche Person)";"ABR991421942805";"28.5.2019"
"SEE937075314681";"Solardach auf Pool";"In Betrieb";"26.3.2018";"4.3.2019";"Solare Strahlungsenergie";"6,48";"6,48";"85419";"Mauern";"(natürliche Person)";"ABR956682028378";"17.8.2021"
"SEE921142411274";"Jugler_PV_Großkaro";"In Betrieb";"1.2.2018";"4.3.2019";"Solare Strahlungsenergie";"9,9";"9";"83109";"Großkarolinenfeld";"(natürliche Person)";"ABR967277041214";"28.5.2019"
"SEE917669517537";"Drei4Fun";"In Betrieb";"26.4.2018";"4.3.2019";"Solare Strahlungsenergie";"4,24";"4,24";"88142";"Wasserburg";"(natürliche Person)";"ABR924609859282";"28.8.2019"
"SEE985170757650";"Solar 4,77 kWp";"In Betrieb";"31.5.2016";"4.3.2019";"Solare Strahlungsenergie";"4,77";"4,5";"82223";"Eichenau";"(natürliche Person)";"ABR935978837757";"28.5.2019"
"SEE992804123439";"Hausdach Otto";"In Betrieb";"11.11.2018";"4.3.2019";"Solare Strahlungsenergie";"9,9";"9,9";"94086";"Bad Griesbach";"(natürliche Person)";"ABR933764496690";"28.5.2019"
"SEE910031174055";"PSB20604";"In Betrieb";"15.4.2015";"4.3.2019";"Solare Strahlungsenergie";"9,945";"8,2";"83083";"Riedering";"(natürliche Person)";"ABR976198523174";"29.8.2019"
"SEE919697469789";"Heckert 255";"In Betrieb";"7.10.2016";"4.3.2019";"Solare Strahlungsenergie";"15,3";"15";"84326";"Falkenberg";"(natürliche Person)";"ABR907216534896";"28.5.2019"
"SEE970807115545";"PV 9,75";"In Betrieb";"27.2.2019";"4.3.2019";"Solare Strahlungsenergie";"9,75";"9,75";"96129";"Strullendorf";"(natürliche Person)";"ABR995613804094";"4.3.2019"
"SEE975869335467";"Sued1";"In Betrieb";"1.3.2019";"4.3.2019";"Solare Strahlungsenergie";"0,6";"0,6";"81545";"München";"(natürliche Person)";"ABR941956360537";"4.3.2019"
