"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE951448669932";"PV-Anlage";"In Betrieb";"30.6.2023";"25.7.2023";"Solare Strahlungsenergie";"8";"8";"86935";"Rott";"(natürliche Person)";"ABR984660654776";"23.1.2024"
"SEE940787123755";"PV-Anlage";"In Betrieb";"29.11.2022";"25.7.2023";"Solare Strahlungsenergie";"7,2";"7,2";"91245";"Simmelsdorf";"(natürliche Person)";"ABR903929368520";"10.8.2023"
"SEE945368553648";"Haus West2023";"In Betrieb";"25.7.2023";"25.7.2023";"Solare Strahlungsenergie";"6,525";"6,525";"89343";"Jettingen-Scheppach";"(natürliche Person)";"ABR955629911261";"25.7.2023"
"SEE901888464062";"MH3";"In Betrieb";"1.6.2023";"25.7.2023";"Solare Strahlungsenergie";"0,6";"0,6";"85309";"Pörnbach";"(natürliche Person)";"ABR946882240472";"25.7.2023"
"SEE901788752580";"Hausdach Ost und West";"In Betrieb";"12.7.2023";"25.7.2023";"Solare Strahlungsenergie";"12,47";"10";"92318";"Neumarkt";"(natürliche Person)";"ABR982634397100";"24.10.2023"
"SEE907239978097";"Fauser Balkonkraftwerk";"In Betrieb";"28.7.2023";"25.7.2023";"Solare Strahlungsenergie";"1";"0,6";"82515";"Wolfratshausen";"(natürliche Person)";"ABR965679001102";"6.12.2023"
"SEE951212004563";"PV-Anlage Hausdach";"In Betrieb";"25.5.2023";"25.7.2023";"Solare Strahlungsenergie";"9,84";"9,84";"87616";"Marktoberdorf";"(natürliche Person)";"ABR975816555542";"6.8.2023"
"SEE964673635245";"Garagendach";"In Betrieb";"5.5.2023";"25.7.2023";"Solare Strahlungsenergie";"13,91";"13,91";"97769";"Bad Brückenau";"(natürliche Person)";"ABR997995541604";"25.7.2023"
"SEE965269762260";"PV Südwest";"In Betrieb";"30.5.2023";"25.7.2023";"Solare Strahlungsenergie";"13,44";"10";"82299";"Türkenfeld";"(natürliche Person)";"ABR918132012672";"28.7.2023"
"SEE983619365879";"EcoFlow Balkonkraftwerk";"In Betrieb";"25.7.2023";"25.7.2023";"Solare Strahlungsenergie";"0,8";"0,6";"90584";"Allersberg";"(natürliche Person)";"ABR925536399964";"25.7.2023"
"SEE948908450971";"Balkonkraftwerk";"In Betrieb";"20.10.2022";"25.7.2023";"Solare Strahlungsenergie";"1";"1";"95491";"Ahorntal";"(natürliche Person)";"ABR985428366047";"5.12.2023"
"SEE973215798577";"Lagerhalle";"In Betrieb";"30.5.2023";"25.7.2023";"Solare Strahlungsenergie";"24,6";"20";"92554";"Thanstein";"(natürliche Person)";"ABR932245573387";"2.12.2023"
"SEE950553897384";"PV Süd-Nord Weichs";"In Betrieb";"5.7.2023";"25.7.2023";"Solare Strahlungsenergie";"7,02";"7,02";"85258";"Weichs";"(natürliche Person)";"ABR901521172453";"25.7.2023"
"SEE942260884979";"PV Anlage";"In Betrieb";"11.7.2023";"25.7.2023";"Solare Strahlungsenergie";"5,33";"5";"96482";"Ahorn";"(natürliche Person)";"ABR934354574637";"6.9.2023"
"SEE971551706942";"PV5a5b";"In Betrieb";"14.7.2023";"25.7.2023";"Solare Strahlungsenergie";"22,68";"22,68";"82152";"Planegg";"(natürliche Person)";"ABR906384616816";"25.7.2023"
"SEE906588262451";"Hausdach";"In Betrieb";"22.7.2023";"25.7.2023";"Solare Strahlungsenergie";"13,12";"11";"91805";"Polsingen";"(natürliche Person)";"ABR993042220249";"2.12.2023"
"SEE980377387754";"Maxschidlostraßepv";"In Betrieb";"15.7.2023";"25.7.2023";"Solare Strahlungsenergie";"15,355";"10";"92348";"Berg";"(natürliche Person)";"ABR980672224822";"3.11.2023"
"SEE952319005323";"Balkonkraftwerk";"In Betrieb";"24.7.2023";"25.7.2023";"Solare Strahlungsenergie";"0,82";"0,6";"93449";"Waldmünchen";"(natürliche Person)";"ABR990407666322";"2.12.2023"
"SEE991135557647";"C000431852_JF_Hausdach";"In Betrieb";"25.7.2023";"25.7.2023";"Solare Strahlungsenergie";"10,66";"8";"83115";"Neubeuern";"(natürliche Person)";"ABR975434546847";"12.12.2023"
"SEE943826511551";"priRoof Duo";"In Betrieb";"21.7.2023";"25.7.2023";"Solare Strahlungsenergie";"0,82";"0,6";"97711";"Maßbach";"(natürliche Person)";"ABR955406513565";"25.7.2023"
"SEE949159498088";"Haus Matze";"In Betrieb";"11.7.2023";"25.7.2023";"Solare Strahlungsenergie";"10,125";"10,125";"92339";"Beilngries";"(natürliche Person)";"ABR973373400053";"25.7.2023"
"SEE981523747651";"Terz";"In Betrieb";"25.6.2023";"25.7.2023";"Solare Strahlungsenergie";"1,6";"0,6";"91359";"Leutenbach";"(natürliche Person)";"ABR999247670254";"25.7.2023"
"SEE967259458542";"Gartenhaus2";"In Betrieb";"30.1.2022";"25.7.2023";"Solare Strahlungsenergie";"2,31";"2";"94522";"Wallersdorf";"(natürliche Person)";"ABR970218763670";"25.7.2023"
"SEE927681577655";"Hausdach + Garagendach";"In Betrieb";"11.7.2023";"25.7.2023";"Solare Strahlungsenergie";"8,17";"8,17";"91522";"Ansbach";"(natürliche Person)";"ABR908958600146";"28.12.2023"
"SEE997768433457";"Dach";"In Betrieb";"20.9.2022";"25.7.2023";"Solare Strahlungsenergie";"7,11";"6";"94505";"Bernried";"(natürliche Person)";"ABR921100695692";"5.12.2023"
"SEE958728276873";"Terrasse";"In Betrieb";"19.5.2023";"25.7.2023";"Solare Strahlungsenergie";"0,6";"0,6";"86916";"Kaufering";"(natürliche Person)";"ABR951800836767";"22.12.2023"
