"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE945234341904";"Hausdach";"In Betrieb";"18.10.2022";"24.4.2023";"Solare Strahlungsenergie";"12,15";"10";"91325";"Adelsdorf";"(natürliche Person)";"ABR957231940905";"5.11.2023"
"SEE957438787556";"Photovoltaik-König-Schulenburgstrasse";"In Betrieb";"21.4.2023";"24.4.2023";"Solare Strahlungsenergie";"7,11";"6";"81369";"München";"(natürliche Person)";"ABR908372038341";"24.4.2023"
"SEE942796986079";"Balkonkraftwerk";"In Betrieb";"24.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,82";"0,6";"95666";"Mitterteich";"(natürliche Person)";"ABR943401822614";"24.4.2023"
"SEE982745948581";"Photovoltaik";"In Betrieb";"18.1.2023";"24.4.2023";"Solare Strahlungsenergie";"3,4";"3,4";"90425";"Nürnberg";"(natürliche Person)";"ABR938006242950";"8.9.2023"
"SEE900001445513";"Garagendach_W6";"In Betrieb";"24.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,82";"0,6";"91564";"Neuendettelsau";"(natürliche Person)";"ABR959695990397";"24.4.2023"
"SEE915937485922";"PV Garage";"In Betrieb";"13.3.2023";"24.4.2023";"Solare Strahlungsenergie";"2,16";"1,5";"85221";"Dachau";"(natürliche Person)";"ABR947204534378";"27.12.2023"
"SEE912239202288";"PV-Anlage";"In Betrieb";"13.4.2023";"24.4.2023";"Solare Strahlungsenergie";"9,315";"9,2";"97276";"Margetshöchheim";"(natürliche Person)";"ABR998960649066";"16.10.2023"
"SEE949412360749";"PV-Anlage";"In Betrieb";"19.4.2023";"24.4.2023";"Solare Strahlungsenergie";"22,875";"18";"91572";"Bechhofen";"(natürliche Person)";"ABR921415515272";"14.8.2023"
"SEE942455424812";"BalkonkraftWerk";"In Betrieb";"24.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,8";"0,6";"91058";"Erlangen";"(natürliche Person)";"ABR991326520559";"24.4.2023"
"SEE973047669144";"SuperBabsi";"In Betrieb";"30.1.2023";"24.4.2023";"Solare Strahlungsenergie";"9,8";"8";"96049";"Bamberg";"(natürliche Person)";"ABR927498258563";"23.5.2023"
"SEE904321822443";"Balkonkraftwerk";"In Betrieb";"21.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,6";"0,6";"95666";"Mitterteich";"(natürliche Person)";"ABR947545185314";"24.4.2023"
"SEE972616379521";"Hausdach";"In Betrieb";"24.4.2023";"24.4.2023";"Solare Strahlungsenergie";"8,36";"8,36";"86916";"Kaufering";"(natürliche Person)";"ABR938998312990";"23.2.2024"
"SEE968203571744";"Hausdachanlage  ABR962532...";"In Betrieb";"13.4.2023";"24.4.2023";"Solare Strahlungsenergie";"10,08";"10";"83259";"Schleching";"(natürliche Person)";"ABR962532341634";"12.9.2023"
"SEE993984589312";"Gartenhaus";"In Betrieb";"15.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,76";"0,6";"92318";"Neumarkt";"(natürliche Person)";"ABR963178094632";"24.4.2023"
"SEE956137038891";"Balkonanlage 600Wp";"In Betrieb";"28.8.2022";"24.4.2023";"Solare Strahlungsenergie";"0,6";"0,6";"86833";"Ettringen";"(natürliche Person)";"ABR934859923725";"27.1.2024"
"SEE959995126069";"Erste PV-Anlage";"In Betrieb";"21.2.2023";"24.4.2023";"Solare Strahlungsenergie";"8,61";"8,037";"82256";"Fürstenfeldbruck";"(natürliche Person)";"ABR959145711466";"17.6.2023"
"SEE943733690165";"Balkonkraftwerk";"In Betrieb";"25.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,83";"0,6";"90556";"Seukendorf";"(natürliche Person)";"ABR963826692647";"4.3.2024"
"SEE971534385775";"Lerchenauer Straße 321, Privat Haus";"In Betrieb";"12.1.2023";"24.4.2023";"Solare Strahlungsenergie";"16,94";"15";"80995";"München";"(natürliche Person)";"ABR987184326310";"27.4.2023"
"SEE904111498636";"Winterloch Haus";"In Betrieb";"8.12.2022";"24.4.2023";"Solare Strahlungsenergie";"8,4";"8";"63879";"Weibersbrunn";"(natürliche Person)";"ABR907160579578";"15.12.2023"
"SEE985040162065";"Hausdach";"In Betrieb";"29.3.2023";"24.4.2023";"Solare Strahlungsenergie";"9,84";"9,84";"85465";"Langenpreising";"(natürliche Person)";"ABR964298203966";"24.4.2023"
"SEE963635711348";"SunZilla";"In Betrieb";"18.4.2023";"24.4.2023";"Solare Strahlungsenergie";"17,885";"16";"85452";"Moosinning";"(natürliche Person)";"ABR931334239937";"11.9.2023"
"SEE932124233074";"Balkonkraftwerk";"In Betrieb";"24.4.2023";"24.4.2023";"Solare Strahlungsenergie";"0,82";"0,6";"95666";"Mitterteich";"(natürliche Person)";"ABR936785303411";"24.4.2023"
"SEE981457367581";"priBalcony 45°";"In Betrieb";"15.2.2023";"24.4.2023";"Solare Strahlungsenergie";"0,395";"0,3";"97225";"Zellingen";"(natürliche Person)";"ABR902374913934";"24.4.2023"
