"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE964729862946";"GlombWH";"In Betrieb";"4.1.2021";"4.1.2021";"Solare Strahlungsenergie";"9,9";"9,9";"89284";"Pfaffenhofen";"(natürliche Person)";"ABR959086057111";"26.4.2021"
"SEE921458568631";"Solar";"In Betrieb";"17.5.2017";"4.1.2021";"Solare Strahlungsenergie";"6,89";"6,89";"84085";"Langquaid";"(natürliche Person)";"ABR928766506065";"12.8.2021"
"SEE930430560686";"Halle_1";"In Betrieb";"29.6.2018";"4.1.2021";"Solare Strahlungsenergie";"9,9";"9";"84419";"Obertaufkirchen";"Andreas Daser, Daser Naturstein";"ABR991536261792";"4.1.2021"
"SEE957398546873";"PV-Anlage Inn-Stahl";"In Betrieb";"1.1.2021";"4.1.2021";"Solare Strahlungsenergie";"199,98";"180";"84453";"Mühldorf";"Inn Stahl GmbH";"ABR909106321364";"4.1.2021"
"SEE928482812549";"PV-Garage 7,40kWp";"In Betrieb";"20.4.2015";"4.1.2021";"Solare Strahlungsenergie";"7,4";"7,4";"91723";"Dittenheim";"(natürliche Person)";"ABR929750669193";"31.3.2021"
"SEE935844414884";"Anlage 6";"In Betrieb";"10.7.2015";"4.1.2021";"Solare Strahlungsenergie";"20,8";"20";"85447";"Fraunberg";"(natürliche Person)";"ABR944264792519";"8.1.2021"
"SEE946513011563";"PV-Anlage auf Nebengebäude";"In Betrieb";"1.12.2020";"4.1.2021";"Solare Strahlungsenergie";"9,94";"9";"92444";"Rötz";"(natürliche Person)";"ABR959452781565";"2.2.2021"
"SEE984975435268";"Einheit 94259";"In Betrieb";"7.3.2017";"4.1.2021";"Solare Strahlungsenergie";"9,8";"9,8";"94259";"Kirchberg i.Wald";"(natürliche Person)";"ABR991547041192";"4.1.2021"
"SEE909339809271";"Haus";"In Betrieb";"29.6.2018";"4.1.2021";"Solare Strahlungsenergie";"9,9";"9";"84419";"Obertaufkirchen";"Andreas Daser, Daser Naturstein";"ABR991536261792";"4.1.2021"
"SEE953546158707";"PV-Wohnhaus 5,04 kWp";"In Betrieb";"10.4.2017";"4.1.2021";"Solare Strahlungsenergie";"5,04";"5,04";"91785";"Pleinfeld";"(natürliche Person)";"ABR943018677836";"4.1.2021"
