"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE907897913850";"PV-Anlage";"In Betrieb";"7.8.2023";"28.12.2023";"Solare Strahlungsenergie";"11,89";"8";"91174";"Spalt";"(natürliche Person)";"ABR909510299297";"28.12.2023"
"SEE940178069648";"PV Anlage Angerwiese in Grafing";"In Betrieb";"23.6.2023";"28.12.2023";"Solare Strahlungsenergie";"7,2";"7,2";"85567";"Grafing";"(natürliche Person)";"ABR940861956149";"28.12.2023"
"SEE900455083521";"Garage";"In Betrieb";"9.10.2023";"28.12.2023";"Solare Strahlungsenergie";"6,15";"6";"93354";"Siegenburg";"(natürliche Person)";"ABR978624027607";"28.12.2023"
"SEE906954160435";"Gewächshaus";"In Betrieb";"28.12.2023";"28.12.2023";"Solare Strahlungsenergie";"0,6";"0,6";"95666";"Mitterteich";"(natürliche Person)";"ABR994804273138";"28.12.2023"
"SEE978758820648";"Hausdach";"In Betrieb";"16.8.2023";"28.12.2023";"Solare Strahlungsenergie";"8,4";"8";"85748";"Garching";"(natürliche Person)";"ABR999569525232";"9.1.2024"
"SEE918985552301";"Dach Sozialraum";"In Betrieb";"22.9.2021";"28.12.2023";"Solare Strahlungsenergie";"16,75";"16,75";"96106";"Ebern";"(natürliche Person)";"ABR988044993055";"28.12.2023"
"SEE974813850513";"Solaranlage";"In Betrieb";"26.10.2023";"28.12.2023";"Solare Strahlungsenergie";"7,56";"7,56";"80636";"München";"Kinderfreunde gGmbH";"ABR950945032607";"28.12.2023"
"SEE919996719738";"My_Qcells_91338";"In Betrieb";"28.12.2023";"28.12.2023";"Solare Strahlungsenergie";"10,625";"10";"91338";"Igensdorf";"(natürliche Person)";"ABR997153570279";"28.12.2023"
"SEE996888219682";"Balkonkraftwerk";"In Betrieb";"28.12.2023";"28.12.2023";"Solare Strahlungsenergie";"5,04";"2";"93164";"Brunn";"(natürliche Person)";"ABR954320814116";"28.12.2023"
"SEE932336877134";"Anlage";"In Betrieb";"26.10.2023";"28.12.2023";"Solare Strahlungsenergie";"12,18";"11,8";"80636";"München";"Kinderfreunde gGmbH";"ABR950945032607";"28.12.2023"
"SEE945690596900";"PV-Anlage Schweiger";"In Betrieb";"8.9.2023";"28.12.2023";"Solare Strahlungsenergie";"10,64";"10";"83346";"Bergen";"(natürliche Person)";"ABR908370493128";"28.12.2023"
"SEE956974768456";"PV86";"In Betrieb";"7.11.2023";"28.12.2023";"Solare Strahlungsenergie";"17,4";"15";"84494";"Neumarkt-Sankt Veit";"(natürliche Person)";"ABR936762929719";"28.12.2023"
"SEE912405318928";"Rahmhügel 11,62 13.10.2023";"In Betrieb";"13.10.2023";"28.12.2023";"Solare Strahlungsenergie";"11,62";"10";"97478";"Knetzgau";"(natürliche Person)";"ABR984116094590";"1.3.2024"
"SEE916419659244";"PV 2023";"In Betrieb";"25.9.2023";"28.12.2023";"Solare Strahlungsenergie";"10,2";"10";"96146";"Altendorf";"(natürliche Person)";"ABR987339743641";"28.12.2023"
"SEE958415467607";"PV-Anlage Dach Schreinerei";"In Betrieb";"28.12.2023";"28.12.2023";"Solare Strahlungsenergie";"22,88";"20";"87466";"Oy-Mittelberg";"(natürliche Person)";"ABR936056716070";"28.12.2023"
"SEE977368952541";"ETW Christian Schad Strasse";"In Betrieb";"28.12.2023";"28.12.2023";"Solare Strahlungsenergie";"0,6";"0,6";"63743";"Aschaffenburg";"(natürliche Person)";"ABR972351121928";"28.12.2023"
"SEE912029782167";"Oberscheckenbach 56";"In Betrieb";"28.7.2023";"28.12.2023";"Solare Strahlungsenergie";"15,01";"15";"91620";"Ohrenbach";"(natürliche Person)";"ABR921060062961";"24.1.2024"
"SEE995339934303";"Gartenhausdach";"In Betrieb";"28.12.2023";"28.12.2023";"Solare Strahlungsenergie";"1";"0,6";"82386";"Oberhausen";"(natürliche Person)";"ABR970764609118";"28.12.2023"
"SEE952980186932";"Balkonkraftwerk 1";"In Betrieb";"27.11.2023";"28.12.2023";"Solare Strahlungsenergie";"0,6";"0,6";"63874";"Dammbach";"(natürliche Person)";"ABR999725238570";"28.12.2023"
"SEE964142751872";"Photovoltaik 2, Schonunger Straße 27, 97453 Forst";"In Betrieb";"17.5.2023";"28.12.2023";"Solare Strahlungsenergie";"15,54";"15";"97453";"Schonungen";"(natürliche Person)";"ABR927144796180";"16.2.2024"
