"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE914726570771";"Hausdach West";"In Betrieb";"27.5.2019";"29.5.2019";"Solare Strahlungsenergie";"9,57";"9,57";"85049";"Ingolstadt";"(natürliche Person)";"ABR913987532894";"13.1.2024"
"SEE925689698105";"PV Anlage enerix";"In Betrieb";"18.5.2018";"29.5.2019";"Solare Strahlungsenergie";"9,9";"9,9";"94563";"Otzing";"(natürliche Person)";"ABR930485221709";"29.5.2019"
"SEE946875222218";"Robert Nusser";"In Betrieb";"8.4.2019";"29.5.2019";"Solare Strahlungsenergie";"7,63";"6";"86807";"Buchloe";"(natürliche Person)";"ABR978219251493";"4.6.2020"
"SEE966146848497";"Photovoltaik";"In Betrieb";"13.5.2019";"29.5.2019";"Solare Strahlungsenergie";"8,99";"8,99";"92256";"Hahnbach";"(natürliche Person)";"ABR933401223924";"27.4.2021"
"SEE905366718821";"Hausdach";"In Betrieb";"3.11.2015";"29.5.2019";"Solare Strahlungsenergie";"3,57";"3,15";"92363";"Breitenbrunn";"(natürliche Person)";"ABR972440239466";"29.5.2019"
"SEE975753340898";"Garagendach";"In Betrieb";"16.4.2019";"29.5.2019";"Solare Strahlungsenergie";"5,36";"5,2";"90469";"Nürnberg";"(natürliche Person)";"ABR909258427044";"15.12.2022"
"SEE940489192523";"KW1";"Endgültig stillgelegt";"6.5.2019";"29.5.2019";"Solare Strahlungsenergie";"9,1";"9,1";"83629";"Weyarn";"(natürliche Person)";"";"1.12.2022"
"SEE909081373945";"ABR927780566574";"In Betrieb";"11.12.2018";"29.5.2019";"Solare Strahlungsenergie";"7,93";"7,93";"83556";"Griesstätt";"(natürliche Person)";"ABR927780566574";"17.1.2021"
"SEE952330855693";"Hausdach";"In Betrieb";"1.12.2017";"29.5.2019";"Solare Strahlungsenergie";"2,616";"2,616";"90592";"Schwarzenbruck";"(natürliche Person)";"ABR915012362308";"29.5.2019"
"SEE999378985401";"Hausdach";"In Betrieb";"2.8.2017";"29.5.2019";"Solare Strahlungsenergie";"5,559";"5";"90537";"Feucht";"(natürliche Person)";"ABR905745805975";"29.5.2019"
"SEE943940668049";"Haus";"In Betrieb";"16.8.2017";"29.5.2019";"Solare Strahlungsenergie";"6,96";"6,96";"84106";"Volkenschwand";"(natürliche Person)";"ABR948120485416";"29.11.2020"
"SEE997258398570";"Sonnendach";"In Betrieb";"25.11.2016";"29.5.2019";"Solare Strahlungsenergie";"6,63";"6";"82435";"Bad Bayersoien";"(natürliche Person)";"ABR975106314125";"5.1.2021"
"SEE961486072564";"markweize";"In Betrieb";"14.12.2018";"29.5.2019";"Solare Strahlungsenergie";"6,05";"6,05";"87549";"Rettenberg";"(natürliche Person)";"ABR904773665957";"26.9.2019"
"SEE997289438191";"Tettenagger";"In Betrieb";"13.5.2019";"29.5.2019";"Solare Strahlungsenergie";"5";"5";"93349";"Mindelstetten";"(natürliche Person)";"ABR916795782574";"1.9.2020"
"SEE910675970785";"Süddach";"In Betrieb";"31.7.2019";"29.5.2019";"Solare Strahlungsenergie";"9,92";"8";"87679";"Westendorf";"(natürliche Person)";"ABR938805563508";"16.4.2020"
"SEE951579773164";"ZiesingABR901597167117";"In Betrieb";"23.5.2019";"29.5.2019";"Solare Strahlungsenergie";"5,185";"5,185";"86420";"Diedorf";"(natürliche Person)";"ABR901597167117";"10.6.2023"
"SEE972417920557";"Obere Kellerstraße Hausdach";"In Betrieb";"17.5.2018";"29.5.2019";"Solare Strahlungsenergie";"9,72";"9";"91301";"Forchheim";"(natürliche Person)";"ABR914505311823";"26.6.2019"
"SEE990817508571";"Anlage";"In Betrieb";"15.5.2019";"29.5.2019";"Solare Strahlungsenergie";"5,8";"5,8";"94157";"Perlesreut";"(natürliche Person)";"ABR981116666178";"21.8.2019"
"SEE968008742912";"PV";"In Betrieb";"24.4.2019";"29.5.2019";"Solare Strahlungsenergie";"5,13";"5,13";"89358";"Kammeltal";"(natürliche Person)";"ABR911974384501";"17.4.2020"
"SEE972532702472";"PV-Anlage";"In Betrieb";"21.5.2019";"29.5.2019";"Solare Strahlungsenergie";"7,19";"7";"92318";"Neumarkt";"Gemeinschaft Sebastian und Sabine Feierle";"ABR963481929881";"29.5.2019"
"SEE992522584062";"EnergeticumBW";"In Betrieb";"28.5.2019";"28.5.2019";"Solare Strahlungsenergie";"8,99";"8";"85276";"Pfaffenhofen";"(natürliche Person)";"ABR921435443029";"28.8.2019"
"SEE993281469072";"Kiwo";"In Betrieb";"4.4.2019";"28.5.2019";"Solare Strahlungsenergie";"9,9";"8,2";"92242";"Hirschau";"(natürliche Person)";"ABR992532135018";"25.5.2020"
"SEE975814054498";"Wohnhaus";"In Betrieb";"30.11.2018";"28.5.2019";"Solare Strahlungsenergie";"8,82";"8,82";"95365";"Rugendorf";"(natürliche Person)";"ABR966755014269";"28.5.2019"
"SEE937378978498";"Amatec PV 30 GmbH & Co. KG";"In Betrieb";"23.5.2019";"28.5.2019";"Solare Strahlungsenergie";"1999,275";"1836";"84332";"Hebertsfelden";"Amatec PV 30 GmbH & Co. KG";"ABR954762098273";"16.7.2020"
"SEE900242614303";"PV-AnlageFA";"In Betrieb";"3.5.2019";"28.5.2019";"Solare Strahlungsenergie";"5,13";"4";"85092";"Kösching";"(natürliche Person)";"ABR969654208241";"24.1.2020"
"SEE981943027609";"BUWEKAHU12";"In Betrieb";"7.5.2019";"28.5.2019";"Solare Strahlungsenergie";"9,75";"9,75";"86668";"Karlshuld";"(natürliche Person)";"ABR961563250861";"28.5.2019"
"SEE958076395035";"Duplo";"In Betrieb";"27.5.2019";"28.5.2019";"Solare Strahlungsenergie";"8,99";"8";"86874";"Tussenhausen";"(natürliche Person)";"ABR975133982571";"18.1.2020"
"SEE962147618404";"Kraus E3DC S10Peo";"In Betrieb";"21.1.2019";"28.5.2019";"Solare Strahlungsenergie";"9,9";"9,9";"94469";"Deggendorf";"(natürliche Person)";"ABR976304593077";"1.8.2019"
"SEE977210864381";"Hausdach 8,06 kWp";"In Betrieb";"10.5.2019";"28.5.2019";"Solare Strahlungsenergie";"8,06";"8";"95517";"Seybothenreuth";"(natürliche Person)";"ABR913808061947";"28.1.2020"
"SEE908326144807";"Schafnitzel-PV";"In Betrieb";"6.5.2019";"28.5.2019";"Solare Strahlungsenergie";"9,9";"9,9";"86554";"Pöttmes";"(natürliche Person)";"ABR937944468569";"28.5.2019"
"SEE917294030234";"PV1";"In Betrieb";"17.5.2019";"28.5.2019";"Solare Strahlungsenergie";"9,9";"8,2";"83457";"Bayerisch Gmain";"(natürliche Person)";"ABR914427367373";"28.5.2019"
"SEE933768722634";"Mila 12345!";"In Betrieb";"5.3.2019";"28.5.2019";"Solare Strahlungsenergie";"4,2";"4";"93492";"Treffelstein";"(natürliche Person)";"ABR931275075847";"28.5.2019"
"SEE926174528846";"Überschußeinspeisung";"In Betrieb";"24.5.2019";"28.5.2019";"Solare Strahlungsenergie";"4,96";"4,96";"91575";"Windsbach";"(natürliche Person)";"ABR962364890911";"7.12.2023"
"SEE963379085934";"CA-Stromerzeugung Garage";"In Betrieb";"25.9.2015";"28.5.2019";"Solare Strahlungsenergie";"6,24";"5,5";"91330";"Eggolsheim";"(natürliche Person)";"ABR943136089054";"16.5.2023"
"SEE954102519291";"Hausdach";"In Betrieb";"17.5.2019";"28.5.2019";"Solare Strahlungsenergie";"9,92";"9";"93186";"Pettendorf";"Ehegattengemeinschaft Dieterle";"ABR927537382587";"9.2.2020"
"SEE904179718622";"KOSTAL-Anlage";"In Betrieb";"29.5.2019";"28.5.2019";"Solare Strahlungsenergie";"4,34";"4,2";"97753";"Karlstadt";"(natürliche Person)";"ABR901804784014";"12.11.2019"
"SEE904880604962";"Solaranlage Mietshaus";"In Betrieb";"8.5.2019";"28.5.2019";"Solare Strahlungsenergie";"11,88";"11,88";"93155";"Hemau";"(natürliche Person)";"ABR958731915158";"9.6.2021"
