"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE957215706527";"Modul1-6";"In Betrieb";"18.5.2018";"1.2.2019";"Solare Strahlungsenergie";"1,788";"1,25";"85276";"Pfaffenhofen";"(natürliche Person)";"ABR946206570384";"5.11.2020"
"SEE927607594292";"Sunnyboy";"In Betrieb";"20.12.2018";"1.2.2019";"Solare Strahlungsenergie";"12,54";"11";"85139";"Wettstetten";"(natürliche Person)";"ABR936077908645";"7.7.2019"
"SEE921990672827";"Anlage Gewerbepark 3";"In Betrieb";"31.1.2019";"1.2.2019";"Solare Strahlungsenergie";"180,495";"175";"84183";"Niederviehbach";"(natürliche Person)";"ABR961003874022";"15.5.2019"
"SEE912886610283";"Fahrsilo";"In Betrieb";"7.1.2019";"1.2.2019";"Solare Strahlungsenergie";"9,98";"9,98";"93476";"Blaibach";"(natürliche Person)";"ABR991430650722";"3.7.2019"
"SEE986157160036";"ABR955637181113";"In Betrieb";"31.3.2017";"1.2.2019";"Solare Strahlungsenergie";"5,9";"5,5";"83527";"Haag";"(natürliche Person)";"ABR955637181113";"28.5.2019"
"SEE985897139777";"PV-Dach";"In Betrieb";"18.1.2019";"1.2.2019";"Solare Strahlungsenergie";"29,76";"25";"87634";"Obergünzburg";"(natürliche Person)";"ABR974935453098";"4.5.2020"
"SEE965104440520";"Photovoltaikanlage";"In Betrieb";"26.9.2016";"1.2.2019";"Solare Strahlungsenergie";"6";"5,5";"93138";"Lappersdorf";"(natürliche Person)";"ABR920573329417";"28.5.2019"
"SEE910852780442";"EFH-PV-Anlage";"In Betrieb";"1.7.2016";"1.2.2019";"Solare Strahlungsenergie";"7,7";"7,5";"95191";"Leupoldsgrün";"(natürliche Person)";"ABR966409759423";"28.5.2019"
"SEE910315072664";"Hausdach";"In Betrieb";"7.1.2015";"1.2.2019";"Solare Strahlungsenergie";"9,24";"9,24";"85410";"Haag";"(natürliche Person)";"ABR933352302273";"28.5.2019"
"SEE965998159195";"PV Anlage Dach Auburger";"In Betrieb";"25.9.2018";"1.2.2019";"Solare Strahlungsenergie";"7,56";"7";"94127";"Neuburg";"(natürliche Person)";"ABR962962978875";"28.5.2019"
"SEE955865752291";"PV Schönwald";"In Betrieb";"3.12.2015";"1.2.2019";"Solare Strahlungsenergie";"6,615";"6,615";"95173";"Schönwald";"(natürliche Person)";"ABR919321903634";"28.5.2019"
"SEE977636258108";"Hausdach";"In Betrieb";"9.10.2017";"1.2.2019";"Solare Strahlungsenergie";"4,32";"4,32";"93489";"Schorndorf";"(natürliche Person)";"ABR975471244546";"3.7.2019"
"SEE988250926236";"Dach34PV";"In Betrieb";"12.1.2017";"1.2.2019";"Solare Strahlungsenergie";"9,35";"9,35";"63857";"Waldaschaff";"(natürliche Person)";"ABR903769208833";"25.2.2023"
"SEE905279649007";"GSP Neustadt";"In Betrieb";"31.1.2019";"1.2.2019";"Solare Strahlungsenergie";"723,33";"723,33";"96465";"Neustadt";"GSP Service und Verwaltung GmbH";"ABR951669206800";"28.2.2024"
"SEE970880004514";"Photovoltaik";"In Betrieb";"2.5.2018";"1.2.2019";"Solare Strahlungsenergie";"9,9";"9,9";"93142";"Maxhütte-Haidhof";"(natürliche Person)";"ABR978435915032";"28.5.2019"
"SEE939614078641";"Energie1";"In Betrieb";"23.7.2015";"1.2.2019";"Solare Strahlungsenergie";"6,05";"6";"84419";"Schwindegg";"(natürliche Person)";"ABR927734938068";"28.5.2019"
