"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE953837978861";"Solaranlage Dach";"In Betrieb";"16.6.2023";"3.7.2023";"Solare Strahlungsenergie";"10,625";"10,625";"82054";"Sauerlach";"(natürliche Person)";"ABR965114807009";"3.7.2023"
"SEE949121965846";"Hausdach";"In Betrieb";"30.6.2023";"3.7.2023";"Solare Strahlungsenergie";"8";"8";"82377";"Penzberg";"(natürliche Person)";"ABR960889560418";"5.8.2023"
"SEE935355579119";"Pv-Dach";"In Betrieb";"9.6.2023";"3.7.2023";"Solare Strahlungsenergie";"6";"6";"83512";"Wasserburg";"(natürliche Person)";"ABR948200629242";"1.2.2024"
"SEE957468821275";"Karlstraße 14";"In Betrieb";"22.6.2023";"3.7.2023";"Solare Strahlungsenergie";"29,52";"29";"93093";"Donaustauf";"(natürliche Person)";"ABR911951553883";"3.7.2023"
"SEE971506594587";"PV Haus 3";"In Betrieb";"30.6.2023";"3.7.2023";"Solare Strahlungsenergie";"2,4";"2,4";"97469";"Gochsheim";"(natürliche Person)";"ABR953647906177";"3.7.2023"
"SEE976614685035";"Hausdach";"In Betrieb";"28.6.2023";"3.7.2023";"Solare Strahlungsenergie";"10,875";"8";"83707";"Bad Wiessee";"(natürliche Person)";"ABR921033165897";"31.8.2023"
"SEE976644960430";"BalkAnl";"In Betrieb";"3.7.2023";"3.7.2023";"Solare Strahlungsenergie";"0,82";"0,6";"90537";"Feucht";"(natürliche Person)";"ABR964172156388";"18.7.2023"
"SEE930370469414";"Garagendach";"In Betrieb";"22.6.2023";"3.7.2023";"Solare Strahlungsenergie";"8,5";"8";"89269";"Vöhringen";"(natürliche Person)";"ABR957631540507";"28.11.2023"
"SEE900552395343";"Hausdach";"In Betrieb";"18.4.2023";"3.7.2023";"Solare Strahlungsenergie";"9,99";"8";"93101";"Pfakofen";"(natürliche Person)";"ABR983849083826";"9.11.2023"
"SEE988139342904";"Hausdach PV";"In Betrieb";"3.7.2023";"3.7.2023";"Solare Strahlungsenergie";"12,04";"10";"83209";"Prien";"(natürliche Person)";"ABR921934047391";"11.8.2023"
