"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE948154573264";"Hausdach";"In Betrieb";"1.9.2022";"22.11.2022";"Solare Strahlungsenergie";"9,84";"9,84";"85051";"Ingolstadt";"(natürliche Person)";"ABR935013006940";"25.12.2022"
"SEE906519963754";"Balkongeländer";"In Betrieb";"4.10.2022";"22.11.2022";"Solare Strahlungsenergie";"1,2";"1";"92318";"Neumarkt";"(natürliche Person)";"ABR965702791543";"13.12.2022"
"SEE978103198071";"C000111151_SS_Hausdach";"In Betrieb";"8.7.2022";"22.11.2022";"Solare Strahlungsenergie";"4,56";"4";"85635";"Höhenkirchen-Siegertsbrunn";"(natürliche Person)";"ABR998659546058";"22.8.2023"
"SEE922706623447";"PV- Anlage";"In Betrieb";"11.11.2022";"22.11.2022";"Solare Strahlungsenergie";"5,265";"5,265";"97688";"Bad Kissingen";"(natürliche Person)";"ABR925951361928";"30.11.2022"
"SEE956088578231";"PV-Anlage";"In Betrieb";"28.10.2022";"22.11.2022";"Solare Strahlungsenergie";"9,43";"7";"92660";"Neustadt";"(natürliche Person)";"ABR974696700943";"24.2.2023"
"SEE937804401866";"Solax";"In Betrieb";"22.3.2022";"22.11.2022";"Solare Strahlungsenergie";"0,6";"0,6";"92637";"Weiden";"(natürliche Person)";"ABR915866394968";"28.9.2023"
"SEE986629493051";"Garage";"In Betrieb";"1.9.2022";"22.11.2022";"Solare Strahlungsenergie";"5,135";"4,6";"91477";"Markt Bibart";"(natürliche Person)";"ABR986137463072";"12.12.2022"
"SEE945305620341";"SONNE 580-38T";"In Betrieb";"2.1.2023";"22.11.2022";"Solare Strahlungsenergie";"21,33";"16";"92546";"Schmidgaden";"Sunvigo Energy I GmbH";"ABR922330502361";"12.7.2023"
"SEE931858029519";"SONNE XTL-60W";"In Betrieb";"16.11.2022";"22.11.2022";"Solare Strahlungsenergie";"14,22";"14";"84036";"Landshut";"Sunvigo Energy I GmbH";"ABR922330502361";"22.5.2023"
"SEE901292883954";"50965778812 - Auhuber Ralph 9,43kWp";"In Betrieb";"17.11.2022";"22.11.2022";"Solare Strahlungsenergie";"9,43";"9,43";"93309";"Kelheim";"(natürliche Person)";"ABR906542002451";"27.3.2023"
"SEE941060413426";"Haupt-PV-Anlage";"In Betrieb";"15.11.2022";"22.11.2022";"Solare Strahlungsenergie";"3,75";"3,6";"91154";"Roth";"(natürliche Person)";"ABR934560566914";"23.11.2022"
"SEE931703115015";"Dach Halle";"In Betrieb";"11.11.2022";"22.11.2022";"Solare Strahlungsenergie";"10,14";"10,14";"86660";"Tapfheim";"(natürliche Person)";"ABR929047393633";"30.12.2022"
"SEE936228872351";"PV Home";"In Betrieb";"10.11.2022";"22.11.2022";"Solare Strahlungsenergie";"9,49";"8";"86698";"Oberndorf";"(natürliche Person)";"ABR944769923340";"19.12.2022"
"SEE951701235294";"PV-Anlage1";"In Betrieb";"20.10.2022";"22.11.2022";"Solare Strahlungsenergie";"9,9";"9,9";"84419";"Obertaufkirchen";"(natürliche Person)";"ABR977879972489";"14.2.2023"
"SEE932446552754";"Haus2";"In Betrieb";"29.6.2022";"22.11.2022";"Solare Strahlungsenergie";"14,95";"14,95";"87496";"Untrasried";"(natürliche Person)";"ABR996123543862";"9.12.2023"
"SEE973854455671";"WD22";"In Betrieb";"30.6.2022";"22.11.2022";"Solare Strahlungsenergie";"1,26";"1,26";"87541";"Bad Hindelang";"(natürliche Person)";"ABR991848923487";"24.11.2022"
"SEE961040327789";"C000195079_JV_Hausdach";"In Betrieb";"18.11.2022";"22.11.2022";"Solare Strahlungsenergie";"12,92";"10";"94568";"St. Oswald";"(natürliche Person)";"ABR930911790816";"17.7.2023"
"SEE949144272686";"PV Garage";"In Betrieb";"14.9.2022";"22.11.2022";"Solare Strahlungsenergie";"9,12";"8";"84359";"Simbach";"(natürliche Person)";"ABR979240429141";"23.11.2022"
"SEE971229807773";"Dachanlage";"In Betrieb";"26.8.2022";"22.11.2022";"Solare Strahlungsenergie";"9,625";"9,625";"81829";"München";"(natürliche Person)";"ABR992286295686";"30.11.2022"
"SEE961715385779";"Hausdach";"In Betrieb";"13.9.2022";"22.11.2022";"Solare Strahlungsenergie";"9,88";"9,2";"91602";"Dürrwangen";"(natürliche Person)";"ABR926306020903";"1.12.2022"
"SEE933595691950";"Hausdach";"In Betrieb";"22.11.2022";"22.11.2022";"Solare Strahlungsenergie";"7,15";"7";"63928";"Eichenbühl";"(natürliche Person)";"ABR913419125502";"27.4.2023"
"SEE966239550993";"Solardach 37";"In Betrieb";"31.5.2022";"22.11.2022";"Solare Strahlungsenergie";"13,26";"10";"85586";"Poing";"(natürliche Person)";"ABR955454802031";"17.1.2023"
"SEE959033734546";"C000252439_MH_Hausdach";"In Betrieb";"17.11.2022";"22.11.2022";"Solare Strahlungsenergie";"6,08";"5,5";"63801";"Kleinostheim";"(natürliche Person)";"ABR939751819343";"10.5.2023"
"SEE950598946924";"Balkonkraftwerk";"In Betrieb";"21.11.2022";"22.11.2022";"Solare Strahlungsenergie";"0,8";"0,6";"91058";"Erlangen";"(natürliche Person)";"ABR994486796710";"22.11.2022"
"SEE982449907266";"Balkon";"In Betrieb";"22.11.2022";"22.11.2022";"Solare Strahlungsenergie";"0,6";"0,6";"63853";"Mömlingen";"(natürliche Person)";"ABR932471443416";"3.11.2023"
"SEE994824410148";"C000234574_WM_Hausdach";"In Betrieb";"17.11.2022";"22.11.2022";"Solare Strahlungsenergie";"6,08";"5";"84574";"Taufkirchen";"(natürliche Person)";"ABR977589756591";"5.7.2023"
"SEE964199581026";"PV-Steg10";"In Betrieb";"29.10.2022";"22.11.2022";"Solare Strahlungsenergie";"38";"30";"83329";"Waging a. See";"PV-Steg10 GbR";"ABR912419960199";"1.2.2023"
"SEE953507426807";"Mini PV E. Vogler";"In Betrieb";"5.6.2020";"22.11.2022";"Solare Strahlungsenergie";"0,57";"0,57";"87538";"Fischen";"(natürliche Person)";"ABR970180036970";"22.11.2022"
"SEE997209729071";"Hausdach West-Ost";"In Betrieb";"10.10.2022";"22.11.2022";"Solare Strahlungsenergie";"7,98";"7,98";"97505";"Geldersheim";"(natürliche Person)";"ABR952240998077";"6.12.2022"
"SEE954821338418";"PV Brunnenweg 7";"In Betrieb";"26.4.2021";"22.11.2022";"Solare Strahlungsenergie";"6,5";"6,5";"85609";"Aschheim";"(natürliche Person)";"ABR963963020617";"23.11.2022"
"SEE974647220889";"Hausdach";"In Betrieb";"24.8.2022";"22.11.2022";"Solare Strahlungsenergie";"29,76";"25";"97076";"Würzburg";"(natürliche Person)";"ABR951465057743";"22.11.2022"
"SEE946871918917";"Hausdach";"In Betrieb";"15.11.2022";"22.11.2022";"Solare Strahlungsenergie";"19,355";"19,355";"90562";"Kalchreuth";"(natürliche Person)";"ABR904171141824";"25.12.2022"
"SEE962651111576";"Hausdach";"In Betrieb";"15.2.2022";"22.11.2022";"Solare Strahlungsenergie";"10,79";"10";"85113";"Böhmfeld";"(natürliche Person)";"ABR929890197440";"12.1.2023"
"SEE940805264897";"PV-Matzner";"In Betrieb";"14.9.2022";"22.11.2022";"Solare Strahlungsenergie";"13,6";"12";"82166";"Gräfelfing";"(natürliche Person)";"ABR931775620271";"3.1.2023"
"SEE992947028936";"Photovoltaik Reg 41";"In Betrieb";"27.9.2022";"22.11.2022";"Solare Strahlungsenergie";"0,75";"0,6";"95643";"Tirschenreuth";"(natürliche Person)";"ABR996877282987";"22.11.2022"
"SEE945655385211";"Hausdach";"In Betrieb";"22.11.2022";"22.11.2022";"Solare Strahlungsenergie";"5";"5";"85617";"Aßling";"(natürliche Person)";"ABR985324475843";"8.3.2023"
"SEE998261732887";"HuSol";"In Betrieb";"4.11.2022";"22.11.2022";"Solare Strahlungsenergie";"9,875";"9,875";"94342";"Straßkirchen";"(natürliche Person)";"ABR960444435489";"15.11.2023"
"SEE962135834151";"PV Dach";"In Betrieb";"6.10.2022";"22.11.2022";"Solare Strahlungsenergie";"9,75";"7,67";"97084";"Würzburg";"(natürliche Person)";"ABR969593620654";"12.1.2023"
"SEE933294578958";"Garage";"In Betrieb";"17.11.2022";"22.11.2022";"Solare Strahlungsenergie";"5,16";"5,16";"84036";"Landshut";"(natürliche Person)";"ABR929412747191";"14.4.2023"
"SEE952849121128";"PV-Anlage";"In Betrieb";"17.3.2022";"22.11.2022";"Solare Strahlungsenergie";"3,9";"3,9";"97332";"Volkach";"(natürliche Person)";"ABR989205655232";"22.3.2023"
"SEE903682316554";"Storchennest 3";"In Betrieb";"3.3.2022";"21.11.2022";"Solare Strahlungsenergie";"6,825";"6,825";"86567";"Hilgertshausen-Tandern";"Hubert Fottner u. Helga Plattner Grundstücksgemeinschaft";"ABR943576273662";"24.8.2023"
"SEE966834437408";"Am Storchenest 2";"In Betrieb";"3.3.2022";"21.11.2022";"Solare Strahlungsenergie";"9,9";"9,9";"86567";"Hilgertshausen-Tandern";"Hubert Fottner u. Helga Plattner Grundstücksgemeinschaft";"ABR943576273662";"21.2.2023"
"SEE916887264445";"Am Storchennest 16";"In Betrieb";"3.3.2022";"21.11.2022";"Solare Strahlungsenergie";"9,9";"9,9";"86567";"Hilgertshausen-Tandern";"Hubert Fottner u. Helga Plattner Grundstücksgemeinschaft";"ABR943576273662";"21.11.2022"
"SEE987414072178";"ABR943355197349";"In Betrieb";"13.9.2022";"21.11.2022";"Solare Strahlungsenergie";"8,58";"8";"86641";"Rain";"(natürliche Person)";"ABR943355197349";"22.12.2022"
"SEE987874161399";"PV Anlage Westdach";"In Betrieb";"30.10.2022";"21.11.2022";"Solare Strahlungsenergie";"10";"10";"82281";"Egenhofen";"(natürliche Person)";"ABR982085496100";"21.11.2022"
"SEE966186870557";"Hausdach";"In Betrieb";"21.7.2022";"21.11.2022";"Solare Strahlungsenergie";"14,06";"9,9";"96172";"Mühlhausen";"(natürliche Person)";"ABR926893236893";"3.1.2023"
"SEE929403055793";"ABR992562356780";"In Betrieb";"11.11.2022";"21.11.2022";"Solare Strahlungsenergie";"9,84";"9,84";"91438";"Bad Windsheim";"(natürliche Person)";"ABR992562356780";"21.11.2022"
"SEE900867904971";"Methusalix";"In Betrieb";"21.11.2022";"21.11.2022";"Solare Strahlungsenergie";"0,6";"0,6";"92318";"Neumarkt";"(natürliche Person)";"ABR965337744273";"27.12.2022"
"SEE971146218423";"PV Garage";"In Betrieb";"15.11.2022";"21.11.2022";"Solare Strahlungsenergie";"9,72";"8";"84508";"Burgkirchen";"(natürliche Person)";"ABR931921882645";"21.11.2022"
"SEE971537681898";"Grabenstätt";"In Betrieb";"31.8.2022";"21.11.2022";"Solare Strahlungsenergie";"5,46";"5";"83355";"Grabenstätt";"(natürliche Person)";"ABR911203634247";"10.5.2023"
"SEE949623171158";"Atriumdach";"In Betrieb";"27.9.2022";"21.11.2022";"Solare Strahlungsenergie";"8,8";"7,8";"85551";"Kirchheim";"(natürliche Person)";"ABR933588026097";"27.1.2023"
"SEE908666991987";"PV_Gai_GS";"In Betrieb";"21.11.2022";"21.11.2022";"Solare Strahlungsenergie";"9,6";"9,6";"85080";"Gaimersheim";"(natürliche Person)";"ABR913793078227";"10.3.2023"
"SEE957704406303";"Hallendach";"In Betrieb";"26.9.2022";"21.11.2022";"Solare Strahlungsenergie";"30";"21,7";"92286";"Rieden";"RS GbR Michael Rebler";"ABR913639494624";"19.12.2022"
"SEE932376110857";"PV-Anlage1";"In Betrieb";"26.10.2022";"21.11.2022";"Solare Strahlungsenergie";"9,72";"7,5";"94474";"Vilshofen";"(natürliche Person)";"ABR941840197577";"21.12.2022"
