"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE970539175640";"Dach";"In Betrieb";"20.4.2020";"23.4.2020";"Solare Strahlungsenergie";"9,76";"9,76";"82444";"Schlehdorf";"(natürliche Person)";"ABR935529359684";"29.1.2021"
"SEE967497550671";"Hausdach";"In Betrieb";"23.4.2020";"23.4.2020";"Solare Strahlungsenergie";"9,8";"9,8";"91189";"Rohr";"(natürliche Person)";"ABR982474013093";"7.2.2021"
"SEE916704264986";"Parkplatz";"In Betrieb";"23.4.2020";"23.4.2020";"Solare Strahlungsenergie";"130,56";"125";"87733";"Markt Rettenbach";"BVU Bioverfahrenstechnik und Umweltanalytik GmbH";"ABR995187442456";"3.1.2024"
"SEE967608604606";"PV-Anlage mit 8,125 kWp (2020)";"In Betrieb";"23.4.2020";"23.4.2020";"Solare Strahlungsenergie";"8,125";"8,125";"84048";"Mainburg";"(natürliche Person)";"ABR913568420428";"23.4.2020"
"SEE905278359617";"Hausdach";"In Betrieb";"6.7.2018";"23.4.2020";"Solare Strahlungsenergie";"9,72";"9,72";"92702";"Kohlberg";"(natürliche Person)";"ABR957214672540";"23.4.2020"
"SEE939309064218";"Solar Hacki";"In Betrieb";"15.11.2019";"23.4.2020";"Solare Strahlungsenergie";"9,61";"9,24";"91623";"Sachsen";"(natürliche Person)";"ABR990346463051";"15.12.2022"
"SEE997284649349";"Hausdach";"In Betrieb";"9.5.2016";"23.4.2020";"Solare Strahlungsenergie";"6,6";"6";"85416";"Langenbach";"(natürliche Person)";"ABR990151750049";"5.8.2020"
"SEE980119808929";"Hausdach";"In Betrieb";"3.4.2017";"23.4.2020";"Solare Strahlungsenergie";"7,56";"7,56";"91187";"Röttenbach";"(natürliche Person)";"ABR906561017412";"23.4.2020"
"SEE961234041019";"Solarstromanlage Dach 2020";"In Betrieb";"22.4.2020";"23.4.2020";"Solare Strahlungsenergie";"9,9";"9";"94116";"Hutthurm";"(natürliche Person)";"ABR912988207725";"23.4.2020"
"SEE945042540018";"PV-Anlage mit 9,75 kWp (2020)";"In Betrieb";"23.4.2020";"23.4.2020";"Solare Strahlungsenergie";"9,75";"9";"85399";"Hallbergmoos";"(natürliche Person)";"ABR980278617523";"23.4.2020"
"SEE946010309187";"Photovoltaikanlage";"In Betrieb";"25.1.2019";"23.4.2020";"Solare Strahlungsenergie";"9,57";"9,57";"91799";"Langenaltheim";"(natürliche Person)";"ABR935990333992";"5.11.2021"
"SEE909581666172";"ABR941793578461";"In Betrieb";"13.1.2020";"23.4.2020";"Solare Strahlungsenergie";"4,725";"4,6";"94127";"Neuburg";"(natürliche Person)";"ABR941793578461";"23.4.2020"
"SEE973510997552";"PV_GTS11";"In Betrieb";"19.2.2019";"23.4.2020";"Solare Strahlungsenergie";"5,13";"4,6";"92342";"Freystadt";"(natürliche Person)";"ABR958889204340";"3.12.2020"
"SEE994585441894";"PV-Anlage 2020, Hausnummer 11";"In Betrieb";"15.4.2020";"23.4.2020";"Solare Strahlungsenergie";"96,9";"96,9";"91617";"Oberdachstetten";"(natürliche Person)";"ABR965956887948";"2.6.2021"
"SEE941414063383";"PV Anlage";"In Betrieb";"21.10.2019";"23.4.2020";"Solare Strahlungsenergie";"9,99";"9,9";"85110";"Kipfenberg";"(natürliche Person)";"ABR933991867461";"1.1.2021"
"SEE964855040546";"Mini-Solaranlage";"In Betrieb";"2.7.2022";"23.4.2020";"Solare Strahlungsenergie";"0,57";"0,57";"85301";"Schweitenkirchen";"(natürliche Person)";"ABR990862518808";"2.7.2022"
"SEE916533364963";"Hausdach";"In Betrieb";"7.2.2017";"23.4.2020";"Solare Strahlungsenergie";"5,13";"5,13";"84069";"Schierling";"(natürliche Person)";"ABR933247249140";"23.4.2020"
"SEE973450282770";"Zettner Brillenfabrikation GmbH";"In Betrieb";"19.2.2020";"23.4.2020";"Solare Strahlungsenergie";"85,68";"72";"90766";"Fürth";"Zettner Brillenfabrikation GmbH";"ABR980282656600";"29.1.2021"
"SEE989147921907";"PV-Anlage 85667";"In Betrieb";"22.5.2020";"23.4.2020";"Solare Strahlungsenergie";"7,15";"7,15";"85667";"Oberpframmern";"(natürliche Person)";"ABR980459924525";"30.1.2021"
"SEE931280609938";"Hausdach";"In Betrieb";"25.4.2019";"23.4.2020";"Solare Strahlungsenergie";"7,15";"7,15";"86836";"Klosterlechfeld";"(natürliche Person)";"ABR976699043515";"8.7.2020"
