"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE998838533299";"Garage";"Endgültig stillgelegt";"6.7.2022";"14.6.2022";"Solare Strahlungsenergie";"0,77";"0,6";"97422";"Schweinfurt";"(natürliche Person)";"";"1.12.2022"
"SEE902394328862";"PV Hausdach";"In Betrieb";"8.8.2022";"14.6.2022";"Solare Strahlungsenergie";"16";"12";"84323";"Massing";"(natürliche Person)";"ABR989555688904";"20.10.2022"
"SEE959399996961";"Haus";"In Betrieb";"14.6.2022";"14.6.2022";"Solare Strahlungsenergie";"9,86";"9,86";"92272";"Freudenberg";"(natürliche Person)";"ABR900043359649";"14.6.2022"
"SEE944617797925";"PV Anlage 15kw";"In Betrieb";"14.6.2022";"14.6.2022";"Solare Strahlungsenergie";"15,01";"10";"83512";"Wasserburg";"(natürliche Person)";"ABR992961579070";"14.6.2022"
"SEE913210483627";"Dome PV 13";"In Betrieb";"14.6.2022";"14.6.2022";"Solare Strahlungsenergie";"14,44";"10";"94154";"Neukirchen";"(natürliche Person)";"ABR983708524170";"20.1.2023"
"SEE954465034523";"PV";"In Betrieb";"26.3.2022";"13.6.2022";"Solare Strahlungsenergie";"13,8";"10";"91575";"Windsbach";"(natürliche Person)";"ABR991881813677";"5.1.2024"
"SEE914957305517";"Dach";"In Betrieb";"2.12.2021";"13.6.2022";"Solare Strahlungsenergie";"5,25";"4,6";"91626";"Schopfloch";"(natürliche Person)";"ABR975915044862";"1.12.2022"
"SEE985772133517";"Balkonkraftwerk 600W";"In Betrieb";"3.6.2022";"13.6.2022";"Solare Strahlungsenergie";"0,8";"0,6";"85276";"Pfaffenhofen";"(natürliche Person)";"ABR985790068730";"19.8.2022"
"SEE905544237007";"pSol W. Meixner";"In Betrieb";"31.3.2022";"13.6.2022";"Solare Strahlungsenergie";"6,66";"6,66";"97078";"Würzburg";"(natürliche Person)";"ABR981092485589";"28.12.2022"
"SEE950249931637";"PV-Anlage Dach Schule Hohenroth";"In Betrieb";"27.1.2022";"13.6.2022";"Solare Strahlungsenergie";"163,5";"110";"97618";"Hohenroth";"Gemeinde Hohenroth";"ABR981490596009";"30.10.2022"
"SEE933565130670";"Hausdach";"In Betrieb";"13.6.2022";"13.6.2022";"Solare Strahlungsenergie";"6,75";"4,6";"85247";"Schwabhausen";"(natürliche Person)";"ABR912025653690";"5.9.2022"
"SEE927904422342";"Verwaltungs- und Eingangsgebäude";"In Betrieb";"16.3.2022";"13.6.2022";"Solare Strahlungsenergie";"29,64";"25";"83123";"Amerang";"Claudia Richartz";"ABR902937934802";"15.9.2022"
"SEE973125633296";"Hausdach-Nordseite";"In Betrieb";"8.4.2022";"13.6.2022";"Solare Strahlungsenergie";"12,58";"10";"95145";"Oberkotzau";"(natürliche Person)";"ABR946153495082";"27.6.2022"
"SEE939914764046";"PV-Anlage Hausdach";"In Betrieb";"13.6.2022";"13.6.2022";"Solare Strahlungsenergie";"24";"24";"94116";"Hutthurm";"(natürliche Person)";"ABR941321863229";"29.8.2022"
"SEE977944121255";"Garage";"In Betrieb";"13.6.2022";"13.6.2022";"Solare Strahlungsenergie";"0,75";"0,6";"85445";"Oberding";"(natürliche Person)";"ABR946247287500";"13.6.2022"
"SEE923819024091";"AWO Sozialzentrum";"In Betrieb";"16.5.2022";"13.6.2022";"Solare Strahlungsenergie";"0,6";"0,6";"91056";"Erlangen";"AWO Sozialzentrum Erlangen";"ABR994434044795";"13.6.2022"
"SEE990306241743";"Sonnstrom_Duo_Q8_STE_BN12";"In Betrieb";"2.6.2022";"13.6.2022";"Solare Strahlungsenergie";"0,6";"0,6";"96231";"Bad Staffelstein";"(natürliche Person)";"ABR940575393834";"27.7.2022"
"SEE929297731100";"SEE964339641917";"In Betrieb";"1.3.2022";"13.6.2022";"Solare Strahlungsenergie";"4,6";"4,6";"86169";"Augsburg";"(natürliche Person)";"ABR990000242978";"13.6.2022"
"SEE998720254646";"bobo";"In Betrieb";"26.4.2022";"13.6.2022";"Solare Strahlungsenergie";"9,75";"9,75";"94529";"Aicha";"(natürliche Person)";"ABR927050417568";"1.11.2022"
